rank	username	minecraft:mined/minecraft:purple_candle
1	luseis	19
1	Legendosh	19
3	hermmm_	8
4	skroobiez	5
5	thewindmillman	4
6	PlasticOtari	3
7	Mahoose	2
8	Huwulling	1
8	crashomon	1
8	PaperCanvas	1
8	Manaateee	1
8	FILIP1e	1
8	Pumpkin_P_Patch	1
