rank	username	minecraft:mined/minecraft:ice
1	EcksD	2093757
2	noam464	962377
3	gcaisawesome	317958
4	12Magner05	93362
5	joethahobo	61127
6	Di_infiri	60678
7	Smoke____	46610
8	Werbe	36454
8	AssEatrAndLicker	36454
10	Ezekson	31112
11	PlasticOtari	25924
12	Eraxa	24796
13	HellsSponge	12415
14	LexMakesHistory	10403
15	Sky_light_KING	8201
16	Blaiku	7746
17	thewindmillman	7540
18	himak1	6495
19	jnp_gaming	6100
20	Hyp3rion_	5978
21	Frozil12	5864
22	set67	5736
23	eitanzaki	5560
24	YungMaki	5449
25	MightyWertu	4817
26	Sral7	4733
27	m_be9	4723
28	Spacewardharpy7	4711
29	obzii	3959
30	Winklepicker279	3161
31	censorsheep	2842
32	trexgb	2700
33	MyNameIsJobo	2595
34	ImpavidArcher	2208
35	Snowflowe	2174
36	Skylord_Luke	1991
37	thescout7	1891
38	Alexanderjac	1683
39	Groovy_MoonBird	1505
40	Blackberry1310	1479
41	Kateesaur	1465
42	FlashMigma	1415
43	RebelAndroid	1395
44	Warlord324	1354
45	diggydog67	1343
46	CoffeeNoir	1332
47	FelixPSY375	1257
48	The_slideV3	1167
49	MilleGrug	1093
50	Mahoose	1068
51	voiding_	1013
52	Fullut	981
53	ROY4LE	975
54	drumine	962
55	Xalithia	951
56	eviltunix	871
57	Spenduh	864
58	AuroraValkyrie	845
59	sebastiensaborio	740
60	SellyZ	722
61	Lowjinx	692
62	Soplight	677
63	MineMaster0012	673
64	_Bguette_	659
65	_Boipl_	634
66	Chromary	631
67	FishisTTV	626
68	lillips	625
69	diamondgolem35	612
70	KG1999	601
71	sp00ky_ghost977	550
72	Drlzyy	497
73	chipklip	493
74	Merv__	469
75	El_Jalapeno	456
76	Rumpletaezer	445
77	Zythose	441
77	lordpipe	441
79	Cocoamallows	437
80	Deathkob	432
81	pintsizedrogue	414
82	kekhon	412
83	andy_rex	409
84	Historical_Sand	400
85	Kakolbus	380
86	Freak_Genius	378
87	FirsTimeGamingTV	367
88	Ardennes	365
89	Hoid_the_Roamer	362
90	Hisiste	353
91	Nicserso	345
92	Bobby808	344
93	loveseeker	341
94	Barlycorn	323
95	Ze_BaronKrigler	313
96	Maenara	312
97	Bumpy419	303
98	Kamflame10	302
99	Hermanni__	280
100	Marbz_	277
100	SlayerCrypto	277
102	1442	265
103	Incinere	257
104	CrateOfBoxes	256
105	Crowvens	254
106	wezzzi	252
107	Razzgriz	233
108	DTwenty	223
109	Paintz	215
110	TheSecondLord	214
111	FennYuzuna	211
112	Jiminie	208
112	smogfrog	208
114	FishyBoy3811	205
115	pappaberg	202
116	titanlax	200
117	QueenOfDirt	196
118	TheSeismicDuck	191
119	rarrq	190
120	Akoot_	183
121	fr_ser	180
122	Dragonlfw	176
123	ewsophie	175
124	bloodbiter	171
125	AshleeCW	170
126	Aryamanee	169
127	Kkanot	168
128	PigDab	167
129	_8man	160
130	Zoeyfortnite	155
131	Smiguli_	152
132	Enderslayerxz3	150
133	ShedJr_	149
133	beeperbeeper5	149
135	Groundler	137
136	EcksDofficial	128
137	500am	127
138	jushykins	124
139	Stynxy	123
139	Fizznut909	123
141	Dusk_95	119
142	claivin	115
143	fxiryglitch	110
143	Optiprimus	110
143	oxfordschool	110
146	Onennon	109
147	DermeinUser	108
148	Rocco_Lane	107
149	I_Am_Mushkin	106
