rank	username	minecraft:mined/minecraft:blue_terracotta
1	ApophisNova	5542
1	MyNamaSheff	5542
3	joethahobo	793
4	thewindmillman	520
5	EveryonesUncle	455
6	YungMaki	397
7	RatatJuice	378
8	Jackattack53	367
9	TheShyPig	365
10	Manaateee	361
11	kekhon	316
12	NameGenerat0r	282
13	nocturne78	261
14	Merv__	255
15	jcool7	211
16	The_slideV3	206
17	Rumpletaezer	192
18	KarlKaek	187
18	Hyp3rion_	187
20	_Nuf	169
21	Parcc	167
22	Kakolbus	164
22	WyngGoy	164
24	mwrty	159
25	Xclax101	157
26	MakeHistory157	148
27	AltnumberF4	138
28	Steelynan	135
29	MightyWertu	120
30	Jovaphobic	116
31	ooga47	103
32	lunathelemon	102
33	Akoot_	97
34	rarrq	90
35	luseis	84
36	SSytex_X	82
37	Blamphe	79
38	Notta	77
39	Hpdinosaur	76
40	MattieHD	74
41	TechnoNinja64	73
42	Awyrlas	64
43	Groovy_MoonBird	63
43	AuroraValkyrie	63
43	groofles	63
46	MovingFish7	53
47	mariominejedi	52
48	Sral7	51
49	Deathkob	47
50	MunkaKris	44
51	EcksD	42
52	Lez_	40
52	Barlycorn	40
54	Crowman1	39
55	Werbe	35
56	Soplight	34
57	pintsizedrogue	33
58	ImpavidArcher	32
58	bearlystraight	32
58	Jimb0nat0r	32
61	TheSecondLord	31
62	Mattesco	29
63	theonlymagikarp	24
63	noam464	24
65	pixelviolin	21
65	Vellu21	21
67	ConnorDanky_	20
68	Chrisdeadeye	19
68	Kouridragon	19
68	DarlaMeow	19
71	Di_infiri	18
71	Steve897	18
71	Kowcio_	18
74	_stets	16
75	jessewegottacook	15
76	Huwulling	13
77	H72l9w	11
77	Blackberry1310	11
77	12Magner05	11
77	PigDab	11
77	_Karmaa	11
82	impossibleteapot	10
82	Inbefour	10
82	XxCookiequeenxX	10
85	6king6colt6	9
85	xxPipperDipperxx	9
85	Blu3beast	9
85	xolstoi	9
89	Tyrannosplart	8
89	wwwwinnebagoooo	8
89	JohnPrice	8
92	mobunni	7
93	Blaiku	6
93	Kijiki	6
93	Ezekson	6
96	Yatitay	5
96	EMC_	5
96	BodaciousCake	5
96	NNikitas	5
96	Invisie	5
96	censorsheep	5
96	Skippeh	5
96	CattSoup	5
104	hm947	4
104	beeperbeeper5	4
104	WET_WET_WET	4
104	_Bguette_	4
104	LeEricc	4
104	The_SlideV5	4
104	AdmiralSmoke	4
104	561cool	4
112	Lepthymo	3
112	livingdaydreams	3
112	Myszoaz	3
112	m_be9	3
112	Masssonnn	3
112	SellyZ	3
112	AmbroseForLife	3
112	hanaryheatwave	3
112	Bumpy419	3
112	oscminus	3
112	Wowful	3
112	claivin	3
112	yatsuta	3
112	Segotep999	3
112	Quotary	3
127	Bandito_Roamer	2
127	NatalieTW	2
127	BPTY4618	2
127	Frozil20	2
127	TheMilkerOfCats	2
127	Jakobo1337	2
127	ThePoliteG	2
127	Smashic	2
127	Z3braYTIL	2
127	Diavri	2
127	Snowflowe	2
127	HAIRYCLOUD626	2
127	k1ngGilgamesh	2
127	Nicky19	2
127	TheSeismicDuck	2
127	Syropatathe	2
127	FreakGenius	2
127	ItsDeltaMC	2
127	sp00ky_ghost977	2
127	IdeallyGrey	2
127	lcvezra	2
127	KingMatthew506	2
127	Iamthejo	2
127	Powowowow	2
151	PhantomsGhost_	1
151	SmashingPump	1
151	shineh10	1
151	Wolf_Mauler_73	1
151	_Razaria	1
151	eitanzaki	1
151	Alteriity	1
151	Natty	1
151	ZaneABrain	1
151	SpaceGrenadier	1
151	Da_Boss_Rani	1
151	tramizu	1
151	Euclidoris	1
151	aikabot	1
151	Frxnkz	1
151	ratglock	1
151	Comma__	1
151	MinttyFressh	1
151	ProfessorBee	1
151	_lildarki3	1
151	UncreativeArtist	1
151	thescout7	1
151	lorpus	1
151	Blazebit	1
151	fade_emerge78823	1
151	ROY4LE	1
151	r123moore	1
151	Kubelz	1
151	SuperPooch06	1
151	Arceus1975	1
151	Misty_Breeze	1
151	Krowuss	1
151	Billious	1
151	Donutt	1
151	Hiryu27	1
151	Chuvacevedo	1
151	KartivGal	1
151	jewbacaman	1
151	ougstur	1
151	sammidk	1
151	sxc_	1
151	ADEXTV	1
151	fw3xy74	1
151	Jiminbub	1
151	fkGrim	1
151	sufjanlover	1
151	wateo	1
151	Meatlaugh	1
151	HellsSponge	1
151	sq0id	1
151	fluddd	1
151	Warlord324	1
151	lordpipe	1
151	ElectricDragon81	1
151	_Tilariel_	1
151	BlankityMcBlank	1
151	Spenduh	1
151	MilleGrug	1
151	striker90333	1
151	TheOuterCore	1
151	ScarmedLeft	1
151	Enderxz3	1
151	Legendosh	1
151	momis24	1
151	diggydog67	1
151	00000000-0000-0000-0009-01fc796cc078	1
