rank	username	minecraft:mined/minecraft:cartography_table
1	pintsizedrogue	96
2	HellsSponge	80
3	noam464	75
4	Kowcio_	71
5	SyntheticSurgeon	62
6	Legendosh	43
7	Lez_	35
8	Skippeh	32
9	luseis	29
9	fluddd	29
11	Onennon	27
12	Soplight	25
13	NameGenerat0r	24
14	diamondgolem35	23
14	TheShyPig	23
16	pixelviolin	21
17	Apollo_993	20
17	Xclax101	20
19	Merv__	18
19	FreakGenius	18
21	thewindmillman	17
21	Mattesco	17
23	ROY4LE	16
23	ApophisNova	16
23	EfficientC52	16
23	Eraxa	16
23	MyNamaSheff	16
28	Werbe	14
28	_Karmaa	14
28	YungMaki	14
28	Steelynan	14
28	PlasticOtari	14
33	beeperbeeper5	13
33	kekhon	13
33	Ezekson	13
36	mariominejedi	12
37	EMC_	11
37	Huwulling	11
37	Fullut	11
37	Luigipunch989	11
41	Bandito_Roamer	10
41	Historical_Sand	10
41	Vizzoid	10
41	12Magner05	10
41	500am	10
41	claivin	10
47	Mr_Byzantine	9
47	joethahobo	9
47	Smashic	9
47	Kubelz	9
47	Bumpy419	9
47	Kim_Jong_eel	9
47	Enderxz3	9
54	eitanzaki	8
54	ShedJr_	8
54	H72l9w	8
54	FreddyFart	8
54	RoofTyler	8
54	Spacewardharpy7	8
54	mihimihimihi	8
61	Ssor69	7
61	legal_tax_evader	7
61	Arceus1975	7
61	Zythose	7
61	ADEXTV	7
61	Fildyr	7
61	Zoeyfortnite	7
68	Jovaphobic	6
68	heysushii	6
68	FazeObama69	6
68	SmashingPump	6
68	MattieHD	6
68	thescout7	6
68	Hoid_the_Roamer	6
68	AuroraSkies	6
68	XxCookiequeenxX	6
68	sp00ky_ghost977	6
68	jnp_gaming	6
68	Smoke____	6
80	Touched_Bread	5
80	Di_infiri	5
80	Rumpletaezer	5
80	kiluaemc	5
80	El_Jalapeno	5
80	Njensen7	5
80	AstroLightz_	5
87	ImpavidArcher	4
87	Ryker	4
87	NoHaHeHa	4
87	Mahoose	4
87	Euclidoris	4
87	TheSecondLord	4
87	mwrty	4
87	Kakolbus	4
87	whoaluv	4
87	Skylord_Luke	4
87	CarryLine	4
87	DarlaMeow	4
87	Blu3beast	4
87	stavgod	4
87	Quotary	4
102	Hyugo	3
102	_Razaria	3
102	Alteriity	3
102	ITDV	3
102	jessewegottacook	3
102	UncreativeArtist	3
102	Noah_Bez	3
102	CollinMH06	3
102	gabriels543	3
102	SuperPooch06	3
102	victorLIE	3
102	aec9	3
102	TheSeismicDuck	3
102	fkGrim	3
102	DarkS0L	3
102	Fuad_R	3
102	Blaiku	3
102	Factoroni	3
102	Kyrum2169	3
102	xzvu	3
102	KingMatthew506	3
102	Hermanni__	3
102	Vellu21	3
102	ConnorDanky_	3
126	fanofbands101	2
126	TooManyDuck	2
126	imthatpikachu	2
126	youhjjhhhjj	2
126	Natty	2
126	ThiccExotic	2
126	Comma__	2
126	SpicyMeatballs	2
126	TableTim	2
126	prizm_	2
126	Marbz_	2
126	LAVA129	2
126	AnnieBathory	2
126	NarwhalTaco	2
126	Kynigito	2
126	Moofyman	2
126	Mr_Sun15	2
126	jewbacaman	2
126	BunkeredTree	2
126	theofiel	2
126	wezzzi	2
126	Lord_Zacler	2
126	MinuteMira	2
126	MAns_44	2
126	Shin69	2
126	SvenskaHugo	2
126	Kijiki	2
126	MineMaster0012	2
126	__tomato	2
126	xorompole	2
126	cichy096	2
126	MirielThePastor	2
126	Jimb0nat0r	2
126	camando92	2
126	satuern	2
126	diggydog67	2
126	00000000-0000-0000-0009-01ff0c3e5e4f	2
163	Louiis123	1
163	Groovy_MoonBird	1
163	RoskobiOne	1
163	dimondking777	1
163	soundad	1
163	Tommhh	1
163	KarlKaek	1
163	SaucyDark	1
163	Wooptey	1
163	livingdaydreams	1
163	Humpcat	1
163	ewsophie	1
163	Jahara	1
163	IWorkAtIkea	1
163	rarrq	1
163	Upstro10	1
163	Malorn_Aetherius	1
163	Cryptacity	1
163	jacxhadow	1
163	Nicky_H225	1
163	MrExplorer	1
163	Guillemet	1
163	G1ldor	1
163	Tmb1	1
163	hcb238	1
163	gcaisawesome	1
163	TylerDupree	1
163	Paintz	1
163	olliebollie48	1
163	ARandomHedge	1
163	DirtyBoar	1
163	CharlieButt	1
163	mimbo1211	1
163	Zorin_Blitz	1
163	ImDisconnected_	1
163	Jackattack53	1
163	Chromary	1
163	Hyp3rion_	1
163	burbankbuilder28	1
163	pappaberg	1
163	thebaddruid	1
163	Hiryu27	1
163	F_Uhre	1
163	AlexxO_o	1
163	ougstur	1
163	FishyBoy3811	1
163	fw3xywashere	1
163	Darkgon	1
163	The_slideV3	1
163	DanTheBuilderino	1
163	560cool	1
163	RedcatVII	1
163	Groundler	1
163	MS_Pryxx	1
163	ProfessorDiaper	1
163	Toriankel	1
163	Vorlice	1
163	lordpipe	1
163	Dusk_95	1
163	verynothing	1
163	IAmTheWalrus910	1
163	IdeallyGrey	1
163	ReyTheLegend	1
163	StreetLouis	1
163	Dogcorn69420	1
163	fffMike	1
163	mawileite	1
163	Kubeusz2010	1
163	EngagedGrub41	1
163	Apicomplexa	1
163	EcksD	1
163	CattSoup	1
163	Sral7	1
163	xolstoi	1
163	JayToe	1
