rank	username	minecraft:mined/minecraft:potted_azalea_bush
1	pintsizedrogue	15
2	ImpavidArcher	8
3	Avocadogerms	4
4	pixelviolin	3
4	Steelynan	3
6	Kowcio_	2
6	Enderxz3	2
8	jessewegottacook	1
8	TheSecondLord	1
8	12Magner05	1
8	luseis	1
8	Dakar_	1
