rank	username	minecraft:mined/minecraft:basalt
1	Hyp3rion_	174924
2	Skylord_Luke	40170
3	EcksD	33080
4	PigDab	29845
5	Enderxz3	26108
6	thewindmillman	25377
7	gcaisawesome	22428
8	AdmiralSmoke	19415
9	Snowflowe	17071
10	Mahoose	15665
11	PlasticOtari	12345
12	eitanzaki	10780
13	noam464	10479
14	Sheldor097	10154
15	beeperbeeper5	9734
16	RebelAndroid	9489
17	NomadicRobin_	9486
18	Marbz_	8727
19	Cowison	8627
20	Segotep999	8394
21	SingedBread	8027
22	EMC_	7711
23	ProfessorDiaper	7093
24	Spacewardharpy7	7048
25	_Karmaa	7008
26	_Mythic____	6966
27	burbankbuilder28	5802
28	12Magner05	5728
29	Optiprimus	5567
30	SuperPooch06	5085
31	Arceus1975	4654
32	BlancoFlaco	4539
33	lizardfightclub	4519
34	pintsizedrogue	4386
35	Blackberry1310	4373
36	TheSecondLord	4293
37	Kowcio_	4269
38	Jimb0nat0r	4214
39	NinjaKnifeKill	3833
40	Druid95	3724
41	500am	3702
42	Di_infiri	3672
43	weabis	3250
44	mihimihimihi	3198
45	Winklepicker279	3152
46	Legendosh	3099
47	jacxhadow	3009
48	Mr_Byzantine	2920
49	Kakolbus	2916
50	joethahobo	2907
51	mwrty	2860
52	EveryonesUncle	2844
53	bigstankyy	2729
54	NatalieTW	2681
55	Fullut	2578
56	TheShyPig	2560
57	monky_irl	2549
58	YungMaki	2434
59	Groovy_MoonBird	2418
60	Paint	2410
61	ogoa	2354
62	Rebytre	2317
63	4774	2255
64	AltnumberF4	2242
65	Ryan_GEMS	2222
66	Hermanni__	2087
67	Wooptey	2041
68	djancak	2012
69	SpacesickPrism	1925
70	Ezekson	1924
71	Alteriity	1889
72	CoffeeNoir	1871
73	luseis	1848
74	Badenbeele	1839
75	ECstardust	1788
76	BPTY4618	1738
77	Jackattack53	1653
78	PuFY	1619
79	Merv__	1569
80	Spenduh	1553
81	Zythose	1508
82	Apollo_993	1426
83	MinttyFressh	1421
84	mimbo1211	1419
85	SkateboardR6	1359
86	r123moore	1354
87	CalebDHawk	1350
87	FelixPSY375	1350
89	Nicserso	1349
90	ReSynced	1346
91	Deathkob	1338
92	thescout7	1307
93	chipklip	1273
94	Blaiku	1269
95	set67	1264
95	PaperCanvas	1264
97	MineMaster0012	1262
98	Krowuss	1258
99	k_ce	1230
100	00000000-0000-0000-0009-01ff0c3e5e4f	1197
101	excelsionprime	1181
102	Racengan	1179
103	MAns_44	1148
104	F_Uhre	1118
105	Werbe	1116
106	Steelynan	1110
107	NameGenerat0r	1064
108	kekhon	1036
108	anbbang	1036
110	m_be9	1027
111	zToasty69z	997
112	CollinMH06	983
113	hanaryheatwave	980
114	rarrq	957
115	shineh10	951
116	ImpavidArcher	942
117	Moofyman	935
118	Eraxa	912
119	SammiWolfGirl	906
120	NATE_the_HALO	875
121	StinkyDiplomat	865
122	FishyBoy3811	854
123	ShedJr_	834
124	Iamthejo	823
125	fw3xy74	821
126	Erased_Identity	815
127	fluddd	807
128	ROY4LE	785
129	LagVibes	778
130	obzii	771
131	PortlyPete69	769
132	hm947	766
133	FishisTTV	760
134	T045RTY	756
135	Frozil20	753
136	HellsSponge	750
137	RoskobiOne	749
137	AuroraValkyrie	749
137	I_Am_Mushkin	749
140	Rocco_Lane	734
141	TheImperial	733
142	shadowthemonkey	715
142	Jonafrog99	715
142	Hiryu27	715
145	PazinGaming	712
145	Lez_	712
147	Samificator	700
148	_Razaria	692
149	PegLegPete93	669
149	theonlymagikarp	669
151	GravitySaint	656
152	XboxPanda	633
153	xPixelRainx	624
154	Luigipunch989	621
154	xolstoi	621
156	TheEnderMan548	605
157	AuroraSkies	604
158	Covalents	600
159	Smashic	594
160	HolyVenom	592
161	ITDV	585
162	athereall	583
163	Myrlewen	582
164	Awyrlas	570
165	NieToksikpl	569
166	sp00ky_ghost977	567
167	fade_emerge78823	563
168	Gab4101	554
169	Maenara	549
169	AstreaTSS	549
171	Mattesco	545
172	FreakGenius	540
173	pixelviolin	538
174	UltraZombie	532
175	Nycteus_	529
176	ratglock	520
177	MissCeleste7	519
178	PhantomsGhost_	517
179	H0UNDFRMH3LL	515
180	The_Fulgurator	500
181	calamariclam_I	497
182	Windo_licker	495
183	Manaateee	493
184	__TheNorseMan__	481
184	Heisenbberrg	481
186	Dakar_	478
187	SyntheticSurgeon	474
188	gustarlep	471
189	hdtpm	465
190	_i_ERROR_i_	464
191	striker90333	460
192	KeruNatsema	458
193	Fuad_R	455
194	itburb	453
195	lorywithay	452
196	IgnoredBee	441
197	Lord_Jord	434
198	DarlaMeow	422
199	fxiryglitch	420
200	Hahaa_0	417
201	Lutres_	407
202	q_wq	402
203	Tiberonus	399
204	ChronoSounds	394
205	Cellcorgi649	393
206	Ze_BaronKrigler	392
207	lordpipe	391
208	Sleek_Storm_721	390
209	Shogunite	388
210	JitteryJared2	387
211	LeGold	382
212	jnp_gaming	377
213	trexgb	371
214	SirBreadward	368
215	catandmoose	364
215	ConnorDanky_	364
217	KliBeast21	357
218	M_Patata	347
219	Yatitay	343
219	XxCookiequeenxX	343
221	MasterNueve	342
222	noodlepack	337
223	teslawolf38	336
223	diggydog67	336
225	groofles	327
226	iSammael	326
227	Nicky_H225	315
227	Toriankel	315
229	Z3braYTIL	313
230	Presisor	310
231	6king6colt6	301
232	pumpfonzo	292
233	lorpus	289
234	imcombxt	288
234	bee_gorl	288
236	Arch3lia	285
237	SquadMonster	283
238	CliffEmAll	282
239	tortillatitan	273
239	_Dean_123	273
241	ooga47	269
242	chimpmunker	268
243	Kamflame10	265
244	lunathelemon	263
245	JohnnyFyes	254
246	Akoot_	250
247	Lumien_	247
248	prizm_	244
249	_Virify_	242
249	Jordan_R	242
251	diamondgolem35	234
252	Historical_Sand	231
253	Quaintster	228
254	livingdaydreams	227
255	Touched_Bread	224
256	whoaluv	222
257	Decaying_Lotus	218
258	masskedman	212
259	DanTheBuilderino	209
259	Razzgriz	209
261	KartivGal	208
261	IvarEXE	208
263	SvenskaAlvar	202
264	ccwildfire1	201
265	Kura2218	200
266	Da_Boss_Rani	197
267	Kubeusz2010	196
268	Strangemonkey71	192
268	Skippeh	192
270	Njensen7	191
271	xxPipperDipperxx	189
272	drunkeeez	184
273	Chromary	183
274	Aryamanee	178
275	Jindong	176
276	yheece	171
277	KarlKaek	170
277	Steve897	170
279	_Huge_Male_	167
279	tramizu	167
281	kalzor	165
282	breadbowlgamer	164
283	AlexxO_o	163
284	LeonelSalamanca	161
284	Kekoo	161
286	oscminus	155
286	Vorlice	155
288	soundad	150
289	j5ylim	149
290	MS_Pryxx	143
291	CarltheCuck	142
292	Vryistal	140
292	remmisrat	140
294	ExtraDumb	131
294	Ryker	131
294	orxngejuice	131
297	censorsheep	130
297	non089	130
299	Myszoaz	129
299	titanlax	129
