rank	username	minecraft:mined/minecraft:crimson_nylium
1	YungMaki	27769
2	gustarbite	2458
3	gcaisawesome	1321
4	Enderslayerxz3	1196
5	HellsSponge	1188
6	joethahobo	1033
7	noam464	1017
8	thewindmillman	998
9	Winklepicker279	949
10	Spacewardharpy7	924
11	TheSecondLord	594
12	trexgb	550
13	CoffeeNoir	501
14	Werbe	466
14	AssEatrAndLicker	466
16	EveryonesUncle	459
17	mwrty	425
18	Freak_Genius	397
19	RebelAndroid	367
20	lizardfightclub	364
21	Awyrlas	289
22	brofrickcheaters	285
23	pintsizedrogue	272
24	500am	266
25	beeperbeeper5	264
26	CliffEmAll	257
27	fffMike	250
28	Kakolbus	249
29	ShedJr_	248
30	Blackberry1310	231
31	crying_wolf_13	223
32	Hyp3rion_	218
33	Smoke____	207
34	lordpipe	189
35	TheEnderman548	177
36	Rebytre	175
37	Dedalus36	172
38	SammiWolfGirl	141
39	_NieToksikpl_	139
40	Fullut	136
41	jnp_gaming	135
42	Snowflowe	133
43	12Magner05	125
43	Jackattack53	125
45	BobDeBouwer1337	124
46	bloodbiter	119
47	DanTheBuilderino	115
48	Chromary	112
49	diggydog67	110
50	SingedBread	103
51	Legendosh	98
52	monky_irl	92
53	MSK__	87
54	Lord_Jord	86
55	NomadicRobin_	85
55	MilleGrug	85
57	hm947	82
57	Nycteus_	82
57	oxfordschool	82
60	Kubeusz2010	80
61	ItsDeltaMC	76
62	PortlyPete69	71
63	MinttyFressh	70
64	Arceus1975	68
65	Ezekson	65
66	MyNameIsDakar	64
67	SkateboardR6	63
68	Cowison	61
69	Deathkob	60
70	MightyWertu	59
70	UltraZombie	59
72	Hermanni__	58
73	2blox	53
74	fanofbands101	51
74	Sheldor097	51
76	Inchef	46
77	eitanzaki	44
78	Historical_Sand	43
78	Miko_Fullbuster	43
78	MeetTheWollo	43
81	bigstankyy	42
81	Kubelz	42
83	Lutres_Torane	41
83	PlasticOtari	41
85	TheShyPig	40
86	diamondgolem35	39
87	jacxhadow	38
87	orxngejuice	38
89	Myszoaz	37
89	07shiny	37
91	Akoot_	36
91	Kowcio_	36
93	Xalithia	35
93	Jiminie	35
