rank	username	minecraft:mined/minecraft:polished_basalt
1	rarrq	2581
2	lizardfightclub	1948
3	Legendosh	1129
4	noam464	921
5	beeperbeeper5	822
6	pintsizedrogue	670
7	Optiprimus	600
8	eitanzaki	437
9	joethahobo	427
10	Deathkob	423
11	Kakolbus	419
12	m_be9	382
13	ogoa	378
14	jacxhadow	275
14	lordpipe	275
16	Mahoose	274
17	kekhon	271
18	r123moore	258
19	Freak_Genius	243
20	Hermanni__	242
21	Hyp3rion_	234
22	CalebDHawk	231
23	Smoke____	224
24	Skylord_Luke	223
25	Kamflame10	218
26	EveryonesUncle	215
27	MissCeleste7	209
28	Eraxa	192
29	YungMaki	177
30	Cowison	174
31	Spacewardharpy7	170
32	Werbe	149
33	Enderslayerxz3	146
34	ImpavidArcher	145
35	Winklepicker279	143
36	thewindmillman	135
37	IvarEXE	123
38	Blaiku	118
38	sp00ky_ghost977	118
40	set67	106
41	XboxPanda	104
42	TheSecondLord	103
43	Maenara	88
43	djancak	88
45	YoshikageBites	82
46	EMC_	80
47	Fullut	77
47	Ze_BaronKrigler	77
49	Shogunite	73
50	AuroraValkyrie	65
51	Chromary	64
51	PortlyPete69	64
53	Kubeusz2010	63
54	Blackberry1310	61
54	Lord_Jord	61
56	Menthas	57
57	Nesquiczek	53
58	Racengan	52
59	Arceus1975	42
60	ShedJr_	40
61	CoffeeNoir	33
62	Akoot_	31
62	Jiminie	31
64	oxfordschool	30
65	King_Pancake1	29
66	himak1	27
67	KarlKaek	24
67	TheShyPig	24
69	DanTheBuilderino	23
69	Sheldor097	23
71	Snowflowe	22
71	EcksDofficial	22
73	6king6colt6	21
73	ProfessorDiaper	21
75	KliBeast21	19
76	Hpdinosaur	18
77	anbbang	15
78	XxCookiequeenxX	14
78	pixelviolin	14
80	12Magner05	12
80	MinttyFressh	12
80	fred870d	12
83	Ardennes	11
83	PegLegPete93	11
83	lillips	11
83	Frozil12	11
87	Historical_Sand	10
88	Paint	9
88	PigDab	9
88	Spenduh	9
91	nataliecool	8
91	YungJakobo	8
91	Di_infiri	8
94	CarltheCuck	7
95	Earlesstrain4	6
96	teslawolf38	5
96	livingdaydreams	5
96	eclipseboi	5
96	NotTrixi	5
96	gustarbite	5
96	Dusk_95	5
96	Steelynan	5
103	q_wq	4
103	MSK__	4
103	titanlax	4
103	Decaying_Lotus	4
103	Soplight	4
108	RebelAndroid	3
108	gcaisawesome	3
108	burbankbuilder28	3
108	RoBe__	3
108	monky_irl	3
108	MineMaster0012	3
108	Luigipunch989	3
115	T045RTY	2
115	Swexti	2
115	ayqq	2
115	NomadicRobin_	2
115	masskedman	2
115	Syropatathe	2
115	HellsSponge	2
115	NameGenerat0r	2
115	Ezekson	2
115	2blox	2
125	Merv__	1
125	AgressiveEggdog	1
125	ExtraDumb	1
125	Myrlewen	1
125	LoboTheLobster	1
125	MrExplorer	1
125	mwrty	1
125	Awyrlas	1
125	breadbowlgamer	1
125	eli_tschki	1
125	Jackattack53	1
125	whoaluv	1
125	Chuvacevedo	1
125	ApophisNova	1
125	DScatgirls	1
125	TheCordicus	1
125	Nycteus_	1
125	mistertrollface	1
125	KingMatthew506	1
125	Skippeh	1
125	EcksD	1
125	MyNamaSheff	1
125	jnp_gaming	1
125	trexgb	1
