rank	username	minecraft:mined/minecraft:orange_concrete
1	QuiCreans	5133
2	TheKingK_	2917
3	Mattesco	1967
4	luseis	1760
5	lordpipe	1728
6	IAmTheWalrus910	1176
7	MakeHistory157	1138
8	beeperbeeper5	947
9	Hoid_the_Roamer	811
10	Onennon	708
11	Sheldor097	528
12	Di_infiri	460
13	ImpavidArcher	341
14	TechnoNinja64	333
15	Sral7	323
16	Spacewardharpy7	283
17	CoffeeNoir	265
18	doublemaki	236
19	Tongon	219
20	HellsSponge	199
21	oreee	195
22	TheSecondLord	178
22	ConnorDanky_	178
24	Hiryu27	176
25	Blackberry1310	161
26	Jackattack53	152
27	CornOnTheCobalt	148
28	pintsizedrogue	134
29	Huwulling	128
30	sp00ky_ghost977	124
31	thewindmillman	107
32	Manaateee	105
33	PortlyPete69	99
34	ShedJr_	91
35	himak1	90
36	Kowcio_	87
37	Sophia_Irene	85
38	royal_2	82
38	ROY4LE	82
40	noam464	68
40	Soap_Bender	68
42	Merv__	67
43	EdGalbraith	66
44	cutelilreno	64
45	craaaash	54
46	diamondgolem35	52
47	teslawolf38	51
48	_Huge_Male_	48
48	Frozil20	48
50	AuroraValkyrie	46
51	StanceTB	43
51	500am	43
53	hanaryheatwave	40
54	RobotMinion101	33
55	k_ce	28
56	PlasticOtari	25
57	Steelynan	24
58	ElectricDragon81	22
59	Truckoss	21
60	jnp_gaming	20
61	Fullut	19
62	SSytex_X	18
63	LexMakesHistory	17
64	6king6colt6	15
64	SammiWolfGirl	15
66	Lez_	14
67	Werbe	12
68	Blaiku	10
68	The_SlideV5	10
70	Mahoose	8
70	Hyp3rion_	8
70	Jimb0nat0r	8
73	robertsnose	7
74	robonya_	6
75	Legendosh	5
76	Incinere	4
76	joethahobo	4
76	MightyWertu	4
79	mwrty	3
79	Soplight	3
81	knarian	2
81	TUNDR0	2
81	Arceus1975	2
81	Eraxa	2
81	pixelviolin	2
81	Enderxz3	2
87	PazinGaming	1
87	pr33tu	1
87	MousePlays	1
87	EcksD	1
87	Yamdalorian	1
