rank	username	minecraft:mined/minecraft:green_wall_banner
1	joethahobo	86
2	beeperbeeper5	77
3	_Dean_123	28
4	Skylord_Luke	22
5	luseis	17
6	Huwulling	15
6	Mahoose	15
8	Kakolbus	14
9	pintsizedrogue	10
9	Snowflowe	10
11	ShedJr_	7
11	lordpipe	7
13	pixelviolin	6
13	Smoke____	6
15	toj__	5
15	SvenskaHugo	5
17	TheShyPig	4
18	Merv__	3
18	seramalen	3
18	Xclax101	3
18	Legendosh	3
18	jnp_gaming	3
23	Frozil20	2
23	Lez_	2
23	tlal002	2
23	ProfessorBee	2
23	Fullut	2
23	EveryonesUncle	2
23	Spacewardharpy7	2
23	YungMaki	2
23	SammiWolfGirl	2
23	CalebDHawk	2
33	RatatJuice	1
33	Blackberry1310	1
33	Smashic	1
33	r123moore	1
33	noam464	1
33	groofles	1
33	_Karmaa	1
33	Blaiku	1
33	TheAlmightyMoist	1
33	Kowcio_	1
33	Soplight	1
33	MythicalyMew	1
