rank	username	minecraft:mined/minecraft:nether_quartz_ore
1	m_be9	29099
2	Groundler	25210
3	Snowflowe	21636
4	Deerfoot	20915
5	Di_infiri	18368
6	lordpipe	16065
7	wwwwinnebagoooo	12309
8	Rumpletaezer	11865
9	Smoke____	11362
10	Skylord_Luke	11347
11	thewindmillman	10425
12	TheShyPig	10339
13	TheSecondLord	10042
14	fred870d	9546
15	YungMaki	8983
16	noam464	8917
17	beeperbeeper5	7982
18	EveryonesUncle	7742
19	RadarHz	7694
20	Frozil12	7626
21	500am	7334
22	Kouridragon	7150
23	RebelAndroid	7054
24	ApophisNova	6674
24	MyNamaSheff	6674
26	PigDab	5961
27	Marbz_	5756
28	Hyp3rion_	5549
29	Blaiku	5464
30	Spacewardharpy7	5425
31	SingedBread	5310
32	Xclax101	5187
33	Yatitay	4881
34	_Karmaa	4665
35	Skippeh	4619
36	Dedalus36	4547
37	Winklepicker279	4456
38	Cowison	4388
39	joethahobo	3912
40	Blackberry1310	3892
41	EcksD	3866
42	Fullut	3742
43	Mewar	3711
44	Enderslayerxz3	3626
45	set67	3608
46	SuperPooch06	3573
47	yulgur1	3452
48	cedric72	3443
49	TooManyDuck	3418
50	pintsizedrogue	3378
51	Akoot_	3208
52	EcksDofficial	3177
53	Ezekson	3165
54	HellsSponge	3069
55	Zythose	3038
56	CoffeeNoir	3004
57	ImpavidArcher	2987
58	AltnumberF4	2976
59	Reamdin	2964
60	Menthas	2928
61	Kakolbus	2904
62	xPixelRainx	2804
63	livingdaydreams	2787
64	Legendosh	2761
65	Zaridey	2751
66	KartivGal	2717
67	AJplaysMC_	2682
68	NomadicRobin_	2631
69	Hermanni__	2617
70	BlancoFlaco	2561
71	nocturne78	2543
72	PlasticOtari	2541
73	CharlieButt	2508
74	SSytex_X	2399
75	_Virify_	2393
76	Racengan	2386
77	Nycteus_	2354
78	Merv__	2255
79	himak1	2235
80	tobinwilliams	2211
81	NinjaKnifeKill	2184
82	lcvezra	2131
83	EMC_	2069
84	marumochis	1969
85	MightyWertu	1923
86	ProfessorBee	1904
87	stahouo	1877
88	Lord_Jord	1840
89	Rocco_Lane	1829
90	geekbird	1828
91	Sky_light_KING	1825
92	bigstankyy	1823
93	PhantomsGhost_	1803
94	M_Patata	1756
94	MasterNueve	1756
96	Barlycorn	1697
97	Xalithia	1694
98	UltraZombie	1678
99	_Nuf	1658
100	Freak_Genius	1654
101	XboxPanda	1632
102	Rasmanden	1627
103	Batman922	1588
104	Maenara	1573
105	Nicserso	1560
106	gcaisawesome	1528
107	_TCARREIRA_	1509
108	Razzgriz	1505
109	MyNameIsJobo	1504
110	Blu3beast	1502
111	voiding_	1484
112	Valoth	1480
113	Rebytre	1439
114	surfinggiraffejp	1436
115	Miko_Fullbuster	1432
116	eitanzaki	1425
117	MAns_44	1410
118	Mahoose	1406
119	MeetTheWollo	1400
120	Dusk_95	1392
121	UrbanPlanner1978	1378
122	claivin	1359
123	Njensen7	1357
124	Deathkob	1347
125	Soplight	1330
126	gabriels543	1319
127	Shogunite	1311
128	Strangemonkey71	1309
129	censorsheep	1301
130	ROY4LE	1258
131	kekhon	1254
132	Jovaphobic	1238
133	TechnoNinja64	1210
134	fw3xywashere	1206
135	JEWISHBadenBeele	1199
136	dudcreeper	1170
137	trexgb	1168
138	Hisiste	1161
139	zmpeg	1152
140	TheSeismicDuck	1148
141	Incinere	1141
142	Smashic	1128
143	mwrty	1078
144	Bumpy419	1065
144	ooga47	1065
146	paranoid_plant	1044
147	Groovy_MoonBird	1024
148	FishyBoy3811	1023
149	El_Jalapeno	1019
150	Truckoss	1017
151	vandmanden	1016
152	DarlaMeow	1007
153	RodSerlingCringe	1005
154	6king6colt6	999
155	r123moore	990
156	JitteryJared2	976
157	301851	970
157	RefluxRatio	970
159	fade_emerge78823	966
160	Jackattack53	957
161	jacxhadow	946
162	PuFY	916
163	__tomato	905
164	Wooptey	881
165	mariominejedi	873
166	diamondgolem35	868
167	GlitchyPlate810	855
168	KliBeast21	847
169	Ryker	836
170	Eraxa	834
171	SammiWolfGirl	832
172	Swexti	829
173	Eczbek	818
174	leaf26	804
175	RoBe__	793
176	Bandito_Roamer	790
177	OfficerAnvil	787
178	Inbefour	782
179	Tobinator_007	768
179	thescout7	768
181	striker90333	766
182	Sral7	759
183	bloodbiter	757
184	SaucyDark	755
185	audiocracked	750
186	ssleepless	744
187	coobert42	741
188	Sleek_Storm_721	731
189	Steelynan	725
190	Cortexia	724
191	hm947	723
192	TheEnderman548	717
193	T045RTY	708
194	djancak	690
195	Awyrlas	684
196	pumpfonzo	682
197	CliffEmAll	680
197	SvenskaHugo	680
199	Ssor69	674
199	eiC_	674
201	MilleGrug	670
202	Factoroni	652
203	BlueZabu	651
204	kinas45y5	645
205	12Magner05	633
206	rarrq	622
207	AuroraValkyrie	620
208	FirsTimeGamingTV	617
208	oxfordschool	617
210	andy_rex	614
211	XxCookiequeenxX	606
212	selectrix	602
213	chimpmunker	596
214	Cocoamallows	590
215	Werbe	589
215	00000000-0000-0000-0009-01ff0c3e5e4f	589
217	Touched_Bread	587
218	Luigipunch989	577
219	AngalexikCZ	575
220	Lutres_Torane	574
221	The_slideV3	570
222	loveseeker	567
223	Historical_Sand	563
224	LotusProject	561
225	Arceus1975	557
226	MangoTheFish	555
227	Kim_Jong_eel	553
228	remmisrat	540
229	Froste131	537
230	07shiny	533
231	layabout100	530
232	groggregg42	525
232	NameGenerat0r	525
234	lizardfightclub	520
235	Windo_licker	513
236	TheThomas69	512
236	KGTV	512
238	theonlymagikarp	503
239	Scathra	499
240	domagawha	496
241	MinttyFressh	494
242	titanlax	492
242	stavgod	492
244	KeruNatsema	491
245	Aryamanee	488
246	EfficientC52	484
246	NotMeowMix	484
248	MustaLoordi	483
249	Typadopoulos	481
250	Moofyman	480
251	CruncyIsTaken	477
251	microcrisp	477
253	WyngGoy	474
254	_NieToksikpl_	472
255	mobunni	465
256	Noah_Bez	461
257	_8man	460
258	soundad	454
259	jnp_gaming	453
260	Malorn_Aetherius	452
260	GravitySaint	452
262	Fuhrer_Teemo	448
263	_Razar	446
263	Decaying_Lotus	446
265	mawileite	440
266	Myszoaz	437
267	Comma__	431
268	The_Fulgurator	430
269	ShedJr_	419
270	JohnnyFyes	418
270	Onennon	418
272	ClemenPine	415
273	Kowcio_	412
274	Yahrto	410
275	Tmb1	409
275	_Boipl_	409
277	krutas2000	408
278	Captain_Nasty	406
279	emrekn	403
279	whoaluv	403
281	PortlyPete69	402
282	littlesophiagirl	397
283	Nesquiczek	394
284	BobDeBouwer1337	391
285	intropass	387
286	chipklip	386
287	Warlord324	383
288	Kubeusz2010	372
289	KG1999	370
290	TAKrules	364
291	DemTechAlpha	360
291	fffMike	360
293	Kegradigm	359
293	roxycherry	359
295	H72l9w	358
296	Kkanot	356
297	HolyVenom	355
298	SteveWithClout	354
299	Krasnal1337	353
299	Segotep999	353
