rank	username	minecraft:mined/minecraft:mangrove_leaves
1	Smoke____	31913
2	corvidpartyfor6	27257
3	Touched_Bread	12323
4	Mr_Byzantine	11102
5	luseis	10043
6	hanaryheatwave	6413
7	Enderxz3	4759
8	pintsizedrogue	4315
9	beeperbeeper5	3567
10	Mattesco	3198
11	MineMaster0012	2705
12	Steelynan	2025
13	Soplight	1440
14	Mahoose	1225
15	bearlystraight	1062
16	Hermanni__	955
17	k_ce	895
18	Merv__	849
19	500am	790
20	ECstardust	643
21	RoofTyler	566
22	UCP_TheKingK	473
23	Jimb0nat0r	379
24	Fuad_R	349
25	Smashic	233
26	Jonafrog99	229
27	T045RTY	206
28	EngagedGrub41	164
29	Jackattack53	144
30	Spacewardharpy7	97
31	mihimihimihi	91
32	Nicserso	85
33	Huwulling	68
34	RealGroot	62
35	thewindmillman	49
36	MrKrabOnCoke	36
37	Hyp3rion_	30
38	Alteriity	26
39	DinoDoctor_	24
40	00000000-0000-0000-0009-01ff0c3e5e4f	21
41	binman420	15
41	Kowcio_	15
43	SteveCraftBlocks	14
44	AlexxO_o	13
45	00000000-0000-0000-0009-01fc3bb26159	12
46	xxPipperDipperxx	10
47	SkinnyBois	9
48	TheSecondLord	6
48	YungMaki	6
48	PlasticOtari	6
51	jessewegottacook	5
52	Marbz_	4
52	thebaddruid	4
52	CattSoup	4
55	Cavetorch	3
56	FazeObama69	2
56	noam464	2
56	Rebytre	2
59	PazinGaming	1
59	EMC_	1
59	Da_Boss_Rani	1
