rank	username	minecraft:mined/minecraft:granite
1	joethahobo	245391
2	gcaisawesome	205534
3	Spacewardharpy7	203784
4	HellsSponge	89260
5	Werbe	87519
6	PigDab	85763
7	EMC_	81222
8	Smoke____	74861
9	Di_infiri	69070
10	Ezekson	65681
11	YungMaki	65183
12	noam464	64468
13	TheShyPig	62920
14	EcksD	62500
15	Miko_Fullbuster	52291
16	Blaiku	48598
17	Steelynan	43311
18	beeperbeeper5	42345
19	12Magner05	39497
20	lordpipe	39221
21	Zythose	38341
22	vandmanden	31922
23	Menthas	31878
24	pintsizedrogue	30342
25	m_be9	28196
26	Deathkob	28005
27	RebelAndroid	25609
28	Skippeh	22618
29	Mewar	21162
30	EveryonesUncle	20919
31	TheSecondLord	17624
32	eitanzaki	16542
33	MyNameIsJobo	16013
34	Hyp3rion_	15725
35	MeetTheWollo	15314
36	500am	13726
37	Cowison	13436
38	Blackberry1310	13084
39	Franco093	12721
40	Kakolbus	11977
41	Xclax101	11333
42	Mahoose	11311
43	El_Jalapeno	11138
44	SuperPooch06	10611
45	Marbz_	10448
46	Spenduh	10345
47	CoffeeNoir	10198
48	FallenCorps	9903
49	Maenara	9805
50	FelixPSY375	9762
51	Enderslayerxz3	9602
52	Snowflowe	9409
53	Hisiste	9378
54	MilleGrug	9369
55	PhantomsGhost_	9238
56	Jackattack53	9219
57	ImpavidArcher	9154
58	kekhon	9142
59	Inchef	9110
60	ProfessorBee	9098
61	thescout7	9037
62	obzii	8974
63	thewindmillman	8833
64	rarrq	8686
65	Lord_Jord	8607
66	Freak_Genius	8571
67	Onennon	8020
68	Legendosh	8011
69	Rasmanden	7939
70	Frozil12	7624
71	FishyBoy3811	7588
72	ApophisNova	7574
72	MyNamaSheff	7574
74	fluddd	7513
75	BobDeBouwer1337	7358
76	set67	7215
77	Shogunite	7177
78	Rocco_Lane	6969
79	Hermanni__	6898
80	Bumpy419	6847
81	Dedalus36	6768
82	TechnoNinja64	6526
83	Fullut	6451
84	PlzNoBM	6446
85	Rumpletaezer	6414
86	Skylord_Luke	6359
87	T045RTY	6352
88	alderban107	6207
89	stahouo	6154
90	Inbefour	6125
91	KG1999	6040
92	mwrty	5964
93	Zoeyfortnite	5824
94	lillips	5655
95	_Karmaa	5632
96	Nicserso	5619
97	bigstankyy	5458
98	_Virify_	5416
99	Quotary	5333
100	audiocracked	5316
101	SingedBread	5300
102	cedric72	5286
103	anbbang	5222
104	MinttyFressh	5162
105	M_Patata	5023
106	Winklepicker279	5014
107	MightyWertu	4969
108	NameGenerat0r	4908
109	Deodorante	4889
110	chipklip	4858
111	livingdaydreams	4851
112	GlitchyPlate810	4845
113	Historical_Sand	4782
114	MasterNueve	4771
115	soundad	4721
116	h2p_emrld	4668
117	TheThomas69	4662
118	claivin	4630
119	XboxPanda	4527
120	Hoid_the_Roamer	4476
121	BumbleBeever	4466
122	Blu3beast	4442
123	Arceus1975	4374
124	eviltunix	4324
125	_Nuf	4246
126	Groundler	4242
127	CollinMH06	4236
128	Soplight	4202
129	Racengan	4198
130	Akoot_	4175
131	Jiminie	4075
132	q_wq	4041
133	Groovy_MoonBird	3956
134	SammiWolfGirl	3934
135	awesomeoneme	3916
136	NoChumpChange	3875
137	PortlyPete69	3780
138	TooManyDuck	3684
139	lotarp	3674
140	SkateboardR6	3655
141	Steven1282598	3645
142	NomadicRobin_	3638
143	r123moore	3631
144	jnp_gaming	3621
145	fffMike	3617
146	Jovaphobic	3609
147	teslawolf38	3579
148	CalebDHawk	3558
149	Njensen7	3531
150	Awyrlas	3529
151	Quincannon	3498
152	WET_WET_WET	3431
153	I_Am_Mushkin	3369
154	SvenskaHugo	3318
155	Sral7	3242
156	_Dean_123	3201
157	SaucyDark	3165
158	LordSpeed37	3138
159	6king6colt6	3135
160	Fuhrer_Teemo	3111
161	UltraZombie	3104
162	ssleepless	3085
163	Kubelz	3050
164	Chromary	3035
165	The11thDoctor	3017
166	SpaceGrenadier	2975
167	mariominejedi	2923
168	__tomato	2906
169	pixelviolin	2905
170	gabriels543	2862
171	himak1	2845
172	Airem_Core	2839
173	censorsheep	2834
174	Cocoamallows	2830
175	ROY4LE	2795
176	Eraxa	2783
177	DTwenty	2740
178	fred870d	2720
179	_TCARREIRA_	2698
180	Gab4101	2651
181	Scathra	2646
182	JEWISHBadenBeele	2637
183	MrExplorer	2629
184	Strangemonkey71	2626
185	Lutres_Torane	2625
186	Comma__	2610
187	Nagasaki_Riku	2590
188	OverallConcept	2580
189	DemTechAlpha	2553
190	WyngGoy	2525
191	TheSeismicDuck	2499
192	DarlaMeow	2475
193	diamondgolem35	2470
194	Malorn_Aetherius	2444
195	oxfordschool	2423
196	Hiryu27	2410
197	BlankityMcBlank	2365
198	Wooptey	2232
199	xxPipperDipperxx	2201
200	Prodiginus	2170
201	Windo_licker	2164
202	Dreamdbr14	2151
203	trexgb	2127
204	Segotep999	2103
205	Soap_Bender	2093
206	surfinggiraffejp	2091
207	sp00ky_ghost977	2088
208	Swexti	2086
209	KingMatthew506	2078
210	Corbsman	2073
211	AuroraValkyrie	2060
212	EcksDofficial	2006
213	yulgur1	2002
214	Leyna3	2000
215	ExtraDumb	1952
216	_Bguette_	1938
217	egglapras	1933
218	Covalents	1929
219	Barlycorn	1921
220	ElectricDragon81	1904
221	Toriankel	1902
222	Zaridey	1875
222	laron58	1875
224	Kowcio_	1874
225	theonlymagikarp	1869
226	stavgod	1866
227	Winston_Ingram	1854
228	little_dUki	1846
229	GoofyBread	1832
230	drumine	1785
231	Zedducius	1751
232	eiC_	1750
233	DanTheBuilderino	1738
234	jcool7	1734
235	selectrix	1695
236	Vetral1	1692
237	Drlzyy	1679
238	Powowowow	1659
239	07shiny	1650
240	Sabby65	1638
241	Ecplosive	1636
242	Sheldor097	1634
243	Ssor69	1632
244	lizardfightclub	1593
244	HesDemonPants	1593
246	Warlord324	1583
247	seramalen	1564
248	SquadMonster	1559
249	p4lp	1556
250	burbankbuilder28	1554
251	valkam13	1553
252	Flapjacker687	1534
252	TheOuterCore	1534
254	Ryker	1530
255	The_Quack_Dealer	1526
256	lcvezra	1518
257	Jonte0599	1507
258	emrekn	1504
259	_8man	1494
260	RyuNeko932000	1477
261	Xalithia	1467
262	TheDankPlatypus	1460
263	Wolverine4302	1453
264	FirsTimeGamingTV	1451
265	Bandito_Roamer	1450
266	nataliecool	1432
267	bloodbiter	1423
268	KarlKaek	1421
269	Typadopoulos	1374
270	fkGrim	1363
271	AlphaWolfPlaysMC	1353
272	NotMeowMix	1350
273	BronkerBrum	1330
274	Erased_Identity	1316
275	jushykins	1310
275	Queen_Jalapeno	1310
277	SSytex_X	1298
278	ShedJr_	1290
279	djancak	1280
280	FishisTTV	1270
281	Kferno	1266
282	UncreativeArtist	1262
283	Merv__	1260
284	Nycteus_	1249
285	kinas45y5	1248
286	Wowful	1235
287	hcb238	1221
288	Meatlaugh	1218
289	The_slideV3	1208
290	IAmTheWalrus910	1205
291	Afinnity	1165
291	SexcMf	1165
293	Quaintster	1157
294	pappaberg	1145
295	Gooberkid223	1133
295	CrateOfBoxes	1133
297	_czarny	1130
298	ayamefag	1127
299	ediballbearings	1125
300	2blox	1124
