rank	username	minecraft:mined/minecraft:mangrove_stairs
1	crashomon	317
2	skitzxo	173
3	Enderxz3	102
4	Steelynan	81
5	TheWickedBird	76
6	Mr_Byzantine	72
7	k_ce	52
8	oscminus	39
9	KamFurnace	30
9	Jimb0nat0r	30
11	Merv__	25
11	Olib3ar	25
13	Werbe	24
14	Yamdalorian	22
15	Kondzik2008	21
16	pintsizedrogue	20
16	hanaryheatwave	20
18	Lez_	17
19	beeperbeeper5	16
20	bl1ss0	14
21	luseis	12
22	ECstardust	11
23	PazinGaming	10
24	Kowcio_	9
24	CalebDHawk	9
26	Jackattack53	8
26	SvenskaHugo	8
28	FiguraDei	7
29	Sleepy_Time_	6
29	XxCookiequeenxX	6
31	Mahoose	5
31	Touched_Bread	5
31	Soplight	5
31	Legendosh	5
35	MrShojo	4
36	12Magner05	3
37	fragrantmonke444	2
37	Mattesco	2
37	CarryLine	2
37	00000000-0000-0000-0009-01fc3bb26159	2
41	Napoleonpancake	1
41	KarlKaek	1
41	skroobiez	1
41	Jonafrog99	1
41	Manaateee	1
41	Nicserso	1
