rank	username	minecraft:mined/minecraft:glow_lichen
1	pintsizedrogue	2029
2	Jiminie	697
3	thewindmillman	330
4	Enderslayerxz3	317
5	500am	261
6	PlasticOtari	248
7	beeperbeeper5	134
8	Lutres_Torane	83
9	EMC_	81
10	sebastiensaborio	65
11	SuperPooch06	45
12	RoskobiOne	44
13	12Magner05	38
14	Smoke____	35
15	_Boipl_	34
15	NomadicRobin_	34
17	WYFYoyo	24
18	RebelAndroid	23
18	Blackberry1310	23
20	Mahoose	20
20	ShedJr_	20
22	Kakolbus	19
23	Kowcio_	18
24	AuroraSkies	16
25	orxngejuice	14
25	Kubelz	14
25	Legendosh	14
28	gcaisawesome	10
29	EtherealEspresso	9
30	Deathkob	8
31	TerraVl	6
31	_Karmaa	6
31	Spacewardharpy7	6
31	lordpipe	6
35	MinttyFressh	5
35	Rebytre	5
35	Toasty_Tom	5
35	Freak_Genius	5
35	Vegvisir	5
35	SvenskaHugo	5
35	YungMaki	5
35	TheALV	5
35	Quotary	5
44	KarlKaek	4
44	Inchef	4
44	Hyp3rion_	4
44	kyouma777	4
44	mobunni	4
49	hm947	3
49	Flores991	3
49	crying_wolf_13	3
49	lizardfightclub	3
49	TJawesome09	3
49	Lord_Jord	3
55	Merv__	2
55	q_wq	2
55	eitanzaki	2
55	CoffeeNoir	2
55	MSK__	2
55	Khelvoryk	2
55	_Dean_123	2
55	benediktine1	2
55	Winklepicker279	2
55	eli_tschki	2
55	cwartzo	2
55	Jimi7hits	2
55	DarkS0L	2
55	Nycteus_	2
55	Frozil12	2
55	Segotep999	2
55	MilleGrug	2
55	Skippeh	2
55	Ezekson	2
74	_stets	1
74	soundad	1
74	Drlzyy	1
74	neurotic_a	1
74	Begformurrcy	1
74	rachcl	1
74	_Razar	1
74	tuckerdoodle	1
74	Myszoaz	1
74	joethahobo	1
74	Enigma0251	1
74	Ithaca_GC	1
74	CharlieButt	1
74	TheDankPlatypus	1
74	Billious	1
74	ApophisNova	1
74	wilgot_	1
74	SpaggeDR	1
74	PigDab	1
74	Jonte0599	1
74	HolyVenom	1
74	Akoot_	1
74	Lord_Zacler	1
74	EveryonesUncle	1
74	MyNameIsDakar	1
74	MAns_44	1
74	Steven1282598	1
74	Racengan	1
74	SingedBread	1
74	DolphinLaugh	1
74	sp00ky_ghost977	1
74	pixelviolin	1
74	starbits140	1
74	Soplight	1
74	Spenduh	1
74	GlitchyPlate810	1
74	Hermanni__	1
74	alderban107	1
74	EcksD	1
74	RadarHz	1
74	MyNamaSheff	1
74	Weepingbiel	1
74	obtusely	1
74	_Dri_	1
74	00000000-0000-0000-0009-01f898304150	1
