rank	username	minecraft:mined/minecraft:stripped_cherry_log
1	Mattesco	666
2	StarCookiees_	486
3	Lez_	405
4	Reneedium	325
5	xolstoi	258
6	pintsizedrogue	227
7	OreTheBear	125
8	Kowcio_	71
9	MattieHD	55
10	Rebytre	49
11	Hyp3rion_	35
12	icim	34
13	oscminus	28
14	TheSecondLord	15
15	Mr_Sun15	13
16	luseis	10
16	pixelviolin	10
18	Apollo_993	9
18	Jackattack53	9
20	Archsam	7
21	Merv__	6
21	ECstardust	6
21	beeperbeeper5	6
21	Legendosh	6
25	Krowuss	5
26	lillips	4
27	SpacesickPrism	2
28	k_ce	1
28	KarlKaek	1
28	ItsHydroMC	1
28	EveryonesUncle	1
28	MineMaster0012	1
