rank	username	minecraft:mined/minecraft:crimson_hyphae
1	joethahobo	564
2	Mahoose	204
3	AdmiralSmoke	122
4	YungMaki	99
5	CliffEmAll	85
6	Kowcio_	65
7	ZoomieZoomie	59
8	xxPipperDipperxx	53
9	olliebollie48	44
10	mwrty	42
11	Hermanni__	34
12	PazinGaming	31
13	Huwulling	25
14	Marbz_	20
15	r123moore	13
16	soundad	12
16	Crowman1	12
18	Steelynan	9
18	CattSoup	9
20	beeperbeeper5	8
20	500am	8
20	thewindmillman	8
23	BobDeBouwer1337	7
24	SuperPooch06	4
25	Blackberry1310	3
25	Kubelz	3
27	k_ce	2
27	12Magner05	2
29	burbankbuilder28	1
29	LazySupport00	1
29	ConnorDanky_	1
29	Jimb0nat0r	1
29	PlasticOtari	1
29	00000000-0000-0000-0009-01ff0c3e5e4f	1
