rank	username	minecraft:mined/minecraft:red_sandstone_stairs
1	ImpavidArcher	36
2	Mahoose	32
3	TheShyPig	27
4	Groovy_MoonBird	26
5	ROY4LE	17
6	RatatJuice	12
7	skitzxo	11
8	El_Jalapeno	9
9	Frozil20	8
10	Huwulling	4
10	ooga47	4
12	FreakGenius	3
13	Di_infiri	2
14	kekhon	1
14	crashomon	1
14	Xclax101	1
14	Skippeh	1
