rank	username	minecraft:mined/minecraft:birch_sapling
1	Smoke____	494
2	TheShyPig	176
3	El_Jalapeno	125
4	Blackberry1310	70
5	sp00ky_ghost977	60
6	PortlyPete69	56
7	MyNameIsJobo	42
8	Malorn_Aetherius	37
9	Freak_Genius	34
10	rarrq	33
11	EcksD	28
12	MightyWertu	27
13	Mr_Byzantine	26
13	bigstankyy	26
15	Snowflowe	25
16	ShedJr_	23
17	nocturne78	22
17	Di_infiri	22
17	Ezekson	22
20	kekhon	21
21	Kubelz	18
21	purpolepickle	18
21	Spacewardharpy7	18
21	HesDemonPants	18
25	WET_WET_WET	17
25	lordpipe	17
27	_Cloverbelle_	16
27	Groundler	16
29	ProfessorBee	15
30	Meatlaugh	14
31	xPixelRainx	13
31	Drewen24	13
31	Soplight	13
34	The_Great_Jake	12
34	_Nuf	12
34	The_slideV3	12
34	_Karmaa	12
38	Legendosh	11
39	pintsizedrogue	10
39	Cowison	10
39	EveryonesUncle	10
39	blimpeey	10
39	diggydog67	10
44	KarlKaek	9
44	eitanzaki	9
44	beeperbeeper5	9
44	xxPipperDipperxx	9
44	monky_irl	9
44	Hermanni__	9
50	ImpavidArcher	8
50	SLASHZEERA	8
50	Gamergirl420628	8
50	Arceus1975	8
50	thewindmillman	8
50	natajimi	8
56	Dedalus36	7
56	ItzYaBoiPicard	7
56	Kryktal	7
56	LeeMcGee30	7
60	RebelAndroid	6
60	CoffeeNoir	6
60	Blu3beast	6
60	BumbleBeever	6
60	Phoenix_Diacou	6
65	Zedducius	5
65	intropass	5
65	DermeinUser	5
65	Inbefour	5
65	Deerfoot	5
65	jaimshae	5
71	Lukeee33	4
71	cowgirlkasia	4
71	ashetrays	4
71	TheThomas69	4
71	thescout7	4
71	LavenderBi1ch	4
71	Crasswolf	4
71	The11thDoctor	4
71	MonitorLizards	4
71	DTwenty	4
71	ceAndy200	4
71	djancak	4
71	MissCeleste7	4
71	Quotary	4
71	Enderslayerxz3	4
71	TechnoNinja64	4
71	MelodyGaysharks	4
88	SaucyDark	3
88	dopplexd	3
88	Fullut	3
88	DSYisDizzy	3
88	falcn15	3
88	killmeiamtraitor	3
88	Bumpy419	3
88	ADEXTV	3
88	Lord_Jord	3
88	Fuhrer_Teemo	3
88	DemTechAlpha	3
88	Soul_Atreus	3
88	_AAZAR	3
88	Powowowow	3
88	DkansK	3
103	Bandito_Roamer	2
103	PhantomsGhost_	2
103	hollowww	2
103	Wooptey	2
103	joethahobo	2
103	IWorkAtIkea	2
103	heckface	2
103	12Magner05	2
103	Hamsanders	2
103	AdvertisingMerc	2
103	500am	2
103	G1ldor	2
103	set67	2
103	LikeableSausage	2
103	Stiar	2
103	eiC_	2
103	__Fanda__	2
103	CarltheCuck	2
103	Zythose	2
103	ooga47	2
103	Onennon	2
103	skelctal	2
103	KeruNatsema	2
103	Blamphe	2
103	MAns_44	2
103	Frozil12	2
103	Blaiku	2
103	Paigefly	2
103	IAmTheWalrus910	2
103	33sudo	2
103	ediballbearings	2
103	lcvezra	2
103	_TCARREIRA_	2
103	HAruSAme14	2
103	sebastiensaborio	2
103	MineCryptian	2
103	FelixPSY375	2
103	Lowjinx	2
103	jnp_gaming	2
142	Krasnal1337	1
142	seanitoo	1
142	_Virify_	1
142	LittleBug562	1
142	Paint	1
142	not_a_duck_23	1
142	Merv__	1
142	Iagoku	1
142	ssleepless	1
142	BlancoFlaco	1
142	Hormones	1
142	Mahoose	1
142	Myszoaz	1
142	Swexti	1
142	Atroxes	1
142	picardred	1
142	titanlax	1
142	shdesolt	1
142	DarkFisto	1
142	Lentapple3922	1
142	TheSecondLord	1
142	Adlair	1
142	bloodbiter	1
142	Nicky_H225	1
142	ThePoliteG	1
142	SteveCraftBlocks	1
142	_Dean_123	1
142	Jokerman369	1
142	leaf26	1
142	crying_wolf_13	1
142	Nach0Bear	1
142	Dali1465	1
142	himak1	1
142	DataHawk2	1
142	PegLegPete93	1
142	killerzant	1
142	Mewar	1
142	Zaridey	1
142	MethylRadical	1
142	Ecplosive	1
142	swag_bro2004	1
142	loveseeker	1
142	Jackattack53	1
142	Norrhede	1
142	Rumpletaezer	1
142	burbankbuilder28	1
142	MustardDrinker	1
142	grislgrobl	1
142	Muffindrake	1
142	ApophisNova	1
142	Kynigito	1
142	wrinkledpiglet	1
142	Kokeech	1
142	Big_Nate_36	1
142	Cattoh	1
142	brycepants	1
142	theofiel	1
142	YahooScreen9000	1
142	lizardfightclub	1
142	Maenara	1
142	tt4yy4	1
142	JollyDroopy52	1
142	fkGrim	1
142	privatemeekly	1
142	KlausVonStiglitz	1
142	ori0le	1
142	lillips	1
142	godipose	1
142	Quincannon	1
142	claivin	1
142	DukBob	1
142	Steven1282598	1
142	marumochis	1
142	SingedBread	1
142	Barlycorn	1
142	DamagedSin	1
142	NotMeowMix	1
142	SUN_DREAM	1
142	Optiprimus	1
142	LordSpeed37	1
142	IdeallyGrey	1
142	ReyTheLegend	1
142	CACTUSLAD	1
142	BioKing99	1
142	stahouo	1
142	Deguns123	1
142	ItsJunoIGuess	1
142	Sheldor097	1
142	how_are_you	1
142	Vellu21	1
142	RealBuddy	1
142	oxfordschool	1
142	MyNamaSheff	1
142	OnlyOfficial	1
142	momis24	1
142	EcksDofficial	1
