rank	username	minecraft:mined/minecraft:scaffolding
1	joethahobo	30104
2	PigDab	17752
3	AdmiralSmoke	17625
4	PlasticOtari	14193
5	NatalieTW	12391
6	burbankbuilder28	10294
7	beeperbeeper5	10280
8	Merv__	9512
9	pintsizedrogue	9363
10	FreakGenius	9277
11	Mahoose	8811
12	500am	8543
13	rarrq	7999
14	Blackberry1310	7977
15	Legendosh	7704
16	Kakolbus	6751
17	lordpipe	6258
18	Ezekson	5762
19	Lord_Jord	4887
20	HellsSponge	4876
21	Hyp3rion_	4674
22	TheShyPig	4671
23	m_be9	4205
24	xxPipperDipperxx	4171
25	Kowcio_	3727
26	kekhon	3392
27	YungMaki	3305
28	ImpavidArcher	3204
29	Soplight	3189
30	Fullut	3151
31	thewindmillman	3004
32	cedric72	2973
33	ooga47	2751
34	TheSecondLord	2651
35	Onennon	2529
36	Manaateee	2511
37	SuperPooch06	2507
38	KarlKaek	2479
39	luseis	2434
40	_Dean_123	2412
41	Spacewardharpy7	2396
42	MyNameIsJobo	2388
43	Lutres_	2323
44	jacxhadow	2275
45	Euclidoris	2208
46	Werbe	2200
47	Arceus1975	2188
48	Tommhh	2097
49	EngagedGrub41	1989
50	lillips	1939
51	MineMaster0012	1910
52	EcksD	1865
53	EveryonesUncle	1816
54	fkGrim	1761
55	ZoomieZoomie	1748
56	TechnoNinja64	1627
57	Meatlaugh	1598
58	Xclax101	1561
59	VentiHilton	1548
60	Iamthejo	1510
61	Lez_	1477
62	Xalithia	1456
63	titanlax	1454
64	PazinGaming	1452
65	ShedJr_	1450
66	Fuad_R	1444
67	Nicserso	1433
68	xolstoi	1415
69	BobDeBouwer1337	1414
70	hanaryheatwave	1373
71	DanTheBuilderino	1355
72	Malorn_Aetherius	1349
73	Smiguli_	1332
74	12Magner05	1315
75	Darkgon	1309
76	_Karmaa	1287
77	Akoot_	1279
78	__tomato	1233
79	Marbz_	1232
80	The_slideV3	1152
81	Stiar	1145
82	PhantomsGhost_	1132
83	_stets	1131
84	SammiWolfGirl	1097
85	lcvezra	1061
86	Shogunite	1030
87	eitanzaki	1015
87	MAns_44	1015
89	eiC_	970
90	Druid95	963
91	Luigipunch989	961
92	Mr_Byzantine	930
93	PaperCanvas	916
94	LAVA129	899
95	Nicky_H225	889
96	Saucepeh	885
97	Elastiq	883
98	oscminus	858
99	Natty	828
100	TheWildMateo	807
101	Steelynan	793
102	Eraxa	778
103	pixelviolin	766
104	RatatJuice	765
105	Megarboh	750
106	CoffeeNoir	745
107	M_Patata	732
108	anbbang	723
109	Ryker	721
110	Alteriity	708
111	Zythose	695
112	_Huge_Male_	684
113	AuroraValkyrie	680
114	Mattesco	676
115	UCP_TheKingK	668
116	Jackattack53	634
117	6king6colt6	626
118	heckface	623
118	SkateboardR6	623
120	Rumpletaezer	619
121	eviltunix	605
121	bearlystraight	605
123	BumbleBeever	601
124	himak1	581
125	TheTrueClipse	558
126	Di_infiri	556
126	MasterNueve	556
128	Enderxz3	548
129	PortlyPete69	545
130	gcaisawesome	544
131	Sorry_Arey	543
132	k_ce	540
133	Apollo_993	524
134	Inbefour	522
135	claivin	517
136	EMC_	515
137	IWorkAtIkea	504
138	Frozil20	499
139	Hermanni__	495
140	Blu3beast	493
141	2Stout	487
142	StanceTB	480
143	Ssor69	475
144	NotMeanttoChange	473
145	whoaluv	461
146	KingMatthew506	460
147	bigstankyy	458
148	MissCeleste7	457
149	xzvu	446
150	impossibleteapot	433
151	IamCL4SSY	431
151	Deerfoot	431
153	Inchef	430
154	jessewegottacook	427
154	The11thDoctor	427
156	H72l9w	425
157	ECstardust	424
157	Hpdinosaur	424
159	Krowuss	419
160	Chromary	413
161	_TCARREIRA_	408
162	Quotary	403
163	Deathkob	395
164	Cryptacity	394
165	The_SlideV5	391
166	XxCookiequeenxX	385
166	weabis	385
168	Hisiste	379
169	TooManyDuck	363
170	LexMakesHistory	362
171	jnp_gaming	359
172	jushykins	351
172	Jimi7hits	351
174	ProfessorBee	349
175	CarryLine	346
175	NomadicRobin_	346
175	Airem_Core	346
178	dopplexd	345
179	legal_tax_evader	336
180	Soap_Bender	334
181	livingdaydreams	328
182	ReyTheLegend	325
183	Smashic	321
184	iSammael	320
185	Touched_Bread	319
186	Crowman1	315
187	Ryan_GEMS	312
188	rotten_mango	304
188	MightyWertu	304
190	Pineapplesugr	303
191	Groovy_MoonBird	297
192	DemTechAlpha	296
193	SteveCraftBlocks	292
194	T045RTY	285
195	Racengan	283
196	SexcMf	279
197	_Meow_Mix	278
198	TheThomas69	272
199	Secret_Canary	271
199	Jimb0nat0r	271
201	Candad_	269
202	CalebDHawk	268
203	fw3xy74	265
203	sp00ky_ghost977	265
205	drunkeeez	261
205	DarlaMeow	261
207	Bandito_Roamer	259
208	intropass	257
208	Kim_Jong_eel	257
210	SaucyDark	253
211	prizm_	250
212	SpouHn	249
213	Huwulling	247
214	AuroraSkies	242
215	mihimihimihi	241
216	lunathelemon	239
217	CollinMH06	237
218	ratglock	236
219	thescout7	232
220	AstreaTSS	230
220	Optiprimus	230
222	ConnorDanky_	221
223	MattieHD	217
223	skrongus	217
225	AnnieBathory	204
225	Bumpy419	204
227	FelixPSY375	201
228	bloodbiter	200
229	G1ldor	199
230	ExtraDumb	198
231	MoistMicrowave	194
231	StinkyDiplomat	194
233	Awyrlas	187
234	RebelAndroid	185
235	thgrocks	183
236	calamariclam_I	181
237	Swexti	180
238	Cowison	178
238	mennorovers	178
240	H0UNDFRMH3LL	177
240	MrExplorer	177
240	Burge_r	177
243	Covalents	175
244	diggydog67	174
245	ColeSnyder	173
246	r123moore	172
247	ROY4LE	171
248	pappaberg	168
249	dongli	167
249	slkiey	167
251	noam464	166
251	Drewen24	166
253	ElectricDragon81	165
254	AlexxO_o	164
254	Fizznut909	164
256	Prodiginus	163
257	Fuhrer_Teemo	161
258	Hiryu27	159
259	Myntsys	157
260	Segotep999	156
261	RobotMinion101	152
262	AngalexikCZ	151
