rank	username	minecraft:mined/minecraft:repeater
1	noam464	4976
2	thescout7	2065
3	Di_infiri	1396
4	HellsSponge	1338
5	Smoke____	1261
6	eitanzaki	1153
7	PigDab	1044
8	beeperbeeper5	782
9	Jackattack53	704
10	Akoot_	565
11	thewindmillman	549
12	Spacewardharpy7	544
13	Blaiku	515
14	ProfessorBee	445
15	m_be9	391
16	Blu3beast	261
17	Hiryu27	258
18	Arceus1975	247
19	FreakGenius	243
20	Soplight	231
21	EMC_	228
22	Zythose	226
23	El_Jalapeno	223
24	TechnoNinja64	197
25	EcksD	179
26	sp00ky_ghost977	174
26	fffMike	174
28	MightyWertu	169
29	MyNameIsJobo	166
30	StinkyDiplomat	162
30	obzii	162
32	Frozil20	159
33	Warlord324	157
34	ssleepless	154
35	Kakolbus	153
36	Snowflowe	148
37	SteveCraftBlocks	141
38	gusstationwerker	138
39	Hyp3rion_	128
40	WyngGoy	127
41	Werbe	126
41	Onennon	126
43	starbits140	124
44	Awyrlas	123
45	Inbefour	120
46	PhantomsGhost_	115
47	Swexti	114
48	Xclax101	109
49	slkiey	101
50	xxPipperDipperxx	97
51	Historical_Sand	95
52	Fullut	94
53	12Magner05	93
54	Ezekson	92
55	Zoeyfortnite	89
56	kekhon	85
57	Eczbek	84
58	YungMaki	82
59	Vorlice	78
60	masskedman	77
60	mihimihimihi	77
62	Mahoose	76
63	lorpus	75
63	Deathkob	75
63	PlasticOtari	75
66	T045RTY	74
66	FreddyFart	74
68	Rumpletaezer	73
68	ConnorDanky_	73
70	Racengan	70
71	TheSecondLord	65
72	eviltunix	60
73	CrateOfBoxes	59
74	Fuad_R	58
75	MilleGrug	56
76	jcool7	55
77	Marbz_	54
77	fw3xywashere	54
79	domagawha	53
80	RebelAndroid	52
80	BlankityMcBlank	52
82	Blackberry1310	51
82	TheShyPig	51
82	Hermanni__	51
82	jnp_gaming	51
86	joethahobo	50
86	Xalithia	50
86	MangoTheFish	50
86	Maenara	50
90	ese_wn_po	48
90	LexMakesHistory	48
90	lcvezra	48
93	Skylord_Luke	46
93	groofles	46
93	SSytex_X	46
93	Enderxz3	46
97	07shiny	44
