rank	username	minecraft:mined/minecraft:blue_wool
1	thewindmillman	2748
2	Merv__	2136
3	beeperbeeper5	1365
4	_witch_craft_	1225
5	Ezekson	895
6	SpacesickPrism	748
7	xxPipperDipperxx	695
8	Mattesco	599
9	Xclax101	492
10	LuvLuvLove	319
11	doublemaki	307
12	Archsam	305
13	Steelynan	253
14	Soplight	247
15	powercas_gamer	220
16	ShedJr_	202
17	TheShyPig	192
18	lordpipe	191
19	weabis	188
20	hermmm_	176
21	FreakGenius	169
22	mwrty	139
23	ImpavidArcher	113
24	Blackberry1310	111
24	PlasticOtari	111
26	NomadicRobin_	108
27	noam464	105
28	Motsaro	92
29	royal_2	89
30	ROY4LE	87
31	Wooptey	85
32	TheSecondLord	84
33	Werbe	80
34	Blaiku	78
35	rarrq	76
36	Lez_	75
37	corvidpartyfor6	71
38	Fuhrer_Teemo	68
39	k_ce	64
39	IWorkAtIkea	64
41	theonlymagikarp	63
42	CLG_Kata	62
43	heckface	59
44	6king6colt6	58
45	Bumpy419	56
46	PazinGaming	51
46	T045RTY	51
48	Secret_Canary	49
48	fw3xy	49
48	Legendosh	49
51	TheRomanNoodles1	46
52	kekhon	43
52	EcksD	43
54	Crowman1	42
55	mymayowasgone	39
56	Smashic	38
56	Spacewardharpy7	38
58	Yamdalorian	35
59	EveryonesUncle	34
60	hanaryheatwave	33
61	bl1ss0	32
62	fkGrim	31
63	SuperPooch06	30
64	HellsSponge	28
64	TechnoNinja64	28
66	CaracolCxnt	26
67	Bonzwoeri	25
67	Jimb0nat0r	25
69	TheWildMateo	24
70	MattieHD	23
71	LeauVox4921	22
71	Eraxa	22
73	BadenStayFly	21
73	The_slideV3	21
73	MakeHistory157	21
73	RoboTramp7865	21
77	Frozil20	20
77	ScootOfBoot	20
77	Lord_Jord	20
80	_Dean_123	19
80	NameGenerat0r	19
80	ConnorDanky_	19
83	Jackattack53	18
83	cuddlyMonster	18
85	joethahobo	17
85	Cruncy_	17
87	Fullut	16
87	SSytex_X	16
89	Nostrom	15
89	Sral7	15
91	GingerNeutron	13
91	CattSoup	13
93	CoffeeNoir	12
94	WyngGoy	11
95	U_Mos_	10
95	Iamthejo	10
97	TheMaster972	8
97	MrQuanQuan	8
99	Rumpletaezer	7
99	Snowflowe	7
99	blackeemperor	7
102	EMC_	6
102	RebelAndroid	6
102	_Duckery	6
102	impossibleteapot	6
102	luseis	6
102	Fuad_R	6
108	diamondgolem35	5
108	PeteO1995	5
108	Dooinfe	5
108	_flud	5
108	Kyrum2169	5
108	Kijiki	5
114	Mahoose	4
114	NieToksikpl	4
114	oscminus	4
114	StinkyDiplomat	4
114	El_Jalapeno	4
114	__Auspicious	4
114	THEKINGLyric10	4
114	Kowcio_	4
114	xzvu	4
123	Kakolbus	3
123	shadowthemonkey	3
123	milltesco	3
123	DarlaMeow	3
123	Spenduh	3
128	seanitoo	2
128	skatch212	2
128	teslawolf38	2
128	eitanzaki	2
128	Alteriity	2
128	Kronos42	2
128	nocturne78	2
128	yheece	2
128	RohnJosin	2
128	AlexxO_o	2
128	thgrocks	2
128	Deerfoot	2
128	pablopickle	2
128	SammiWolfGirl	2
128	robonya_	2
128	PlzNoBM	2
128	Enderxz3	2
128	TwinTowerV2	2
146	ECstardust	1
146	SaucyDark	1
146	Huwulling	1
146	_AceOfSpace_	1
146	Scathra	1
146	Eman__1	1
146	craaaash	1
146	yaboo88	1
146	emreknugrlu	1
146	Manaateee	1
146	claivin	1
146	Groundler	1
146	Buuck_	1
146	lunkuku	1
146	SvenskaHugo	1
146	Pumpkin_P_Patch	1
146	miramyu	1
146	VentiHilton	1
146	Quotary	1
146	es0th	1
