rank	username	minecraft:mined/minecraft:potted_pink_tulip
1	kekhon	14
2	Mahoose	5
2	Lez_	5
4	Sleepy_Evelyn	2
4	MattieHD	2
4	GingerNeutron	2
4	xxPipperDipperxx	2
4	Kakolbus	2
4	Arceus1975	2
4	burbankbuilder28	2
4	Steelynan	2
4	Ezekson	2
13	pintsizedrogue	1
13	SlowMoNinja1994	1
13	SaucyDark	1
13	poopybh	1
13	500am	1
13	LeauVox4921	1
13	AJplaysMC_	1
13	wTXop	1
13	Vetral1	1
13	TheShyPig	1
13	Maenara	1
13	Nicky19	1
13	luseis	1
13	DarlaMeow	1
13	HellsSponge	1
13	Avocadogerms	1
13	fluddd	1
13	Druid95	1
13	MakeHistory157	1
13	Soplight	1
13	miramyu	1
13	lickerofacid	1
13	skitzxo	1
