rank	username	minecraft:mined/minecraft:polished_granite
1	beeperbeeper5	2029
2	joethahobo	1545
3	El_Jalapeno	1336
4	Smoke____	1011
5	MightyWertu	920
6	Xclax101	877
7	Rasmanden	738
8	awesomeoneme	677
9	m_be9	651
10	Quincannon	642
11	bpmm	606
12	Winklepicker279	601
13	seramalen	583
14	Hoid_the_Roamer	406
15	BobDeBouwer1337	345
16	TheShyPig	317
17	DebbieBrunswick	304
18	Lord_Jord	291
19	EveryonesUncle	244
20	Zythose	232
21	CrateOfBoxes	223
22	MustardDrinker	218
23	Kakolbus	217
24	Onennon	213
25	burbankbuilder28	210
26	AuroraValkyrie	196
27	bloodbiter	193
28	Jiminie	184
29	Legendosh	180
30	chipklip	157
31	vandmanden	154
32	Deerfoot	147
33	_Karmaa	146
34	Maenara	142
35	r123moore	139
35	Fuhrer_Teemo	139
37	aec9	137
37	ProbsNotNova	137
39	Matorz	136
40	ThePoliteG	134
41	OfficerAnvil	125
42	pixelviolin	116
43	12Magner05	113
44	Touched_Bread	111
45	CoffeeNoir	110
46	Frozil12	107
47	Jackster03	102
48	Meatlaugh	100
49	Steelynan	98
50	theonlymagikarp	95
51	Merv__	90
52	sammidk	82
52	AlphaWolfPlaysMC	82
54	Wolverine4302	81
55	PlasticOtari	79
56	Quotary	76
57	youhjjhhhjj	74
58	Blackberry1310	73
59	scarletwarrior1	72
60	Zaridey	68
61	diamondgolem35	67
62	DemTechAlpha	65
62	Enderslayerxz3	65
64	Mr_Byzantine	64
65	Soplight	62
66	Stiar	59
67	Optiprimus	58
68	Snowflowe	57
69	ROY4LE	49
70	Ezekson	48
71	Arteriana	47
71	Hermanni__	47
73	Sky_light_KING	46
74	Jokerman369	44
74	Di_infiri	44
76	HolyVenom	43
76	iHuntWeeaboos	43
78	mwrty	42
79	sufjanlover	41
80	kekhon	40
80	fkndweeb	40
82	Malorn_Aetherius	39
83	Fildyr	38
84	monolu	37
85	DSYisDizzy	36
86	TheSecondLord	35
86	pappaberg	35
88	audiocracked	34
88	Zoeyfortnite	34
90	Fullut	33
91	I_Am_Mushkin	32
91	_Bguette_	32
91	Darkgon	32
94	rarrq	31
94	MyNameIsDakar	31
96	eviltunix	30
96	stellarjay	30
98	ILoveCarrot	28
99	pintsizedrogue	27
99	Bazongoman	27
99	Freak_Genius	27
102	Mahoose	26
102	Doom_melon	26
102	stahouo	26
105	Ardennes	25
105	NoraTheYandere	25
105	markaus77	25
105	Kowcio_	25
109	_TCARREIRA_	23
110	crying_wolf_13	22
111	dongli	21
111	PlasticPrinter	21
111	Mariopreeet	21
111	dualvoidzz	21
111	Shiirazuku	21
116	brycepants	20
116	Karbl	20
116	BumbleBeever	20
119	SaucyDark	18
119	Natty	18
119	ShedJr_	18
119	Mewar	18
123	himak1	17
123	Xalithia	17
123	2Stout	17
123	Felenov	17
123	EcksD	17
128	oxfordschool	16
129	MyNameIsJobo	15
130	Comma__	14
130	jacxhadow	14
130	NotMeanttoChange	14
130	NotoriousNina	14
130	Conrad139	14
130	EcksDofficial	14
136	_Dean_123	13
136	BilboBaggins23	13
136	mariominejedi	13
136	RobotMinion101	13
136	NameGenerat0r	13
136	Racengan	13
136	djancak	13
143	KlausVonStiglitz	12
143	AssFullaCum	12
143	Tristankill	12
146	MattieHD	11
146	Allanon1235	11
146	500am	11
146	DarlaMeow	11
146	07shiny	11
146	CalebDHawk	11
152	Groovy_MoonBird	10
152	Drlzyy	10
152	ImpavidArcher	10
152	Jackattack53	10
152	NNikitas	10
152	SingedBread	10
152	YungMaki	10
152	BlankityMcBlank	10
152	starbits140	10
161	eitanzaki	9
161	SteveCraftBlocks	9
161	CaptainDeadBread	9
161	LordSpeed37	9
161	mobunni	9
166	MousePlays	8
166	_Crimson_Legate	8
166	NoChumpChange	8
166	Luigipunch989	8
166	Vellu21	8
166	Skippeh	8
172	LoganDSA	7
172	Historical_Sand	7
172	Kubelz	7
172	andy_rex	7
172	JESS_THE_RERE	7
172	SkateboardR6	7
172	radioactv_jelly	7
172	MineMaster0012	7
172	Spenduh	7
172	Zipstor	7
182	Gundam_Steven	6
182	Lumien_	6
182	noam464	6
182	fallingemma	6
182	Tergandius	6
182	Blaiku	6
182	sp00ky_ghost977	6
182	obzii	6
182	krutas2000	6
182	Sheldor097	6
182	h2p_emrld	6
193	6king6colt6	5
193	bbrothers_5	5
193	brrh	5
193	loveseeker	5
193	SuperPooch06	5
193	yaboo88	5
193	Werbe	5
193	Ajax6	5
193	ElderRifken	5
193	Barlycorn	5
193	__hinterland__	5
193	FallenCorps	5
205	Jovaphobic	4
205	PhantomsGhost_	4
205	_Razar	4
205	H72l9w	4
205	Inchef	4
205	cedric72	4
205	m9_meltdown_	4
205	MAns_44	4
205	WyngGoy	4
205	UCP_TheKingK	4
205	PortlyPete69	4
205	Nicserso	4
217	Bandito_Roamer	3
217	TildaAndrea	3
217	Mocha_Mug	3
217	Hyugo	3
217	Franco093	3
217	MOSS000	3
217	thescout7	3
217	SellyZ	3
217	hcb238	3
217	mick407	3
217	AnnieBathory	3
217	Donutt	3
217	ApophisNova	3
217	k1ngGilgamesh	3
217	lizardfightclub	3
217	madderfall	3
217	HellsSponge	3
217	claivin	3
217	419mmurphy	3
217	Vicemaniac	3
217	Kyrum2169	3
217	SammiWolfGirl	3
217	pk1297	3
217	xof_on_microwave	3
217	jcool7	3
217	Njensen7	3
217	KingMatthew506	3
217	MyNamaSheff	3
245	SlowMoNinja1994	2
245	Sabby65	2
245	gaziter10	2
245	egglapras	2
245	Kazekage	2
245	SeverianTheLame	2
245	TableTim	2
245	NotSoJamie	2
245	Rumpletaezer	2
245	Arceus1975	2
245	Skylord_Luke	2
245	fred870d	2
245	Kim_Jong_eel	2
245	Drewen24	2
245	RodSerlingCringe	2
245	Nicky19	2
245	natajimi	2
245	Deathkob	2
245	Blu3beast	2
245	GravitySaint	2
245	ProfessorDiaper	2
245	Typadopoulos	2
245	Vorlice	2
245	Spacewardharpy7	2
245	Airem_Core	2
245	layabout100	2
245	ayamefag	2
245	Segotep999	2
245	BreadBacon	2
245	Yogscast_Manden	2
245	Jordan_R	2
245	diggydog67	2
277	Gary_	1
277	dudcreeper	1
277	jspwn	1
277	Incinere	1
277	Myszoaz	1
277	Swalt	1
277	Zorgalorg	1
277	TheEnusa	1
277	heckface	1
277	CliffEmAll	1
277	Cortexia	1
277	lilsay	1
277	slkiey	1
277	Smashic	1
277	Kamflame10	1
277	PegLegPete93	1
277	hayybails	1
277	Covalents	1
277	WET_WET_WET	1
277	Hyp3rion_	1
277	Bumpy419	1
277	Nickitoe	1
277	ItsAki_	1
277	p4lp	1
