rank	username	minecraft:mined/minecraft:stripped_spruce_wood
1	beeperbeeper5	2468
2	pintsizedrogue	554
3	EveryonesUncle	533
4	kekhon	449
5	Rebytre	383
6	PlasticOtari	293
7	noam464	220
8	ItsMrRamen	187
9	H0UNDFRMH3LL	186
10	Mahoose	155
11	Manaateee	153
12	Enderxz3	152
13	_Huge_Male_	131
14	xxPipperDipperxx	130
15	Merv__	128
15	EMC_	128
15	YungMaki	128
18	SpacesickPrism	126
19	rarrq	111
20	AdmiralSmoke	108
21	PazinGaming	96
21	Leyna3	96
23	Marbz_	85
24	M_Patata	75
25	Groundler	66
26	MasterNueve	57
27	JESS_THE_RERE	50
28	Legendosh	46
29	diamondgolem35	40
30	Eraxa	38
30	Soplight	38
32	valkam13	33
33	JokoFiskare	30
34	PigDab	28
34	Ezekson	28
36	Harotio	26
36	500am	26
38	MyNameIsJobo	24
38	Inbefour	24
38	Jimb0nat0r	24
41	ImpavidArcher	22
42	Deathkob	21
43	Frozil20	20
44	Mr_Byzantine	18
44	xolstoi	18
46	Kowcio_	17
47	Creativebuilder2	16
47	Inchef	16
47	Ze_BaronKrigler	16
50	NameGenerat0r	14
51	SmashingPump	13
52	BlancoFlaco	12
53	Blackberry1310	9
53	Fullut	9
53	Spacewardharpy7	9
53	Segotep999	9
53	zOnlyKroks	9
53	EcksD	9
59	Touched_Bread	8
59	TechnoNinja64	8
61	__lizi	7
61	BreadBacon	7
63	Kakolbus	6
63	Rasmanden	6
63	Tyrannosplart	6
63	SvenskaHugo	6
67	wwwwinnebagoooo	5
67	SammiWolfGirl	5
69	NatalieTW	4
69	eitanzaki	4
69	_Boipl_	4
69	HolyVenom	4
69	luseis	4
69	Cavetorch	4
69	Spenduh	4
69	Steelynan	4
69	diggydog67	4
78	Lez_	3
78	ITDV	3
78	12Magner05	3
78	Chromary	3
78	hanaryheatwave	3
78	Mattesco	3
78	TheShyPig	3
78	Akoot_	3
78	_Karmaa	3
87	powercas_gamer	2
87	Di_infiri	2
87	oscminus	2
87	kairosIV	2
87	Vetral1	2
87	J4k__	2
87	GooseWithin	2
87	claivin	2
87	Racengan	2
87	Hisiste	2
87	IdeallyGrey	2
87	WYFYoyo	2
99	CloroxBleach385	1
99	rachcl	1
99	TooManyDuck	1
99	Jackster03	1
99	Historical_Sand	1
99	Dblikstad	1
99	m_be9	1
99	Enigma0251	1
99	Tmb1	1
99	Kkanot	1
99	GLLogan2	1
99	ROY4LE	1
99	Zythose	1
99	SvenskaSara	1
99	KeruNatsema	1
99	LeonelSalamanca	1
99	lordpipe	1
99	MineMaster0012	1
