rank	username	minecraft:mined/minecraft:end_rod
1	Hyp3rion_	2649
2	Jackattack53	2218
3	masskedman	2027
4	MightyWertu	1649
5	Mahoose	1035
6	mwrty	952
7	FreakGenius	865
8	500am	793
9	PlasticOtari	726
10	lordpipe	718
11	beeperbeeper5	620
12	kekhon	601
13	m_be9	545
14	Ezekson	514
15	Lez_	495
16	noam464	486
17	eiC_	435
18	eitanzaki	432
19	YungMaki	417
20	thescout7	363
21	AuroraValkyrie	341
22	HellsSponge	340
23	pintsizedrogue	289
23	Groundler	289
25	Smashic	269
26	Kowcio_	262
27	Fullut	245
28	Blaiku	238
29	titanlax	234
30	Merv__	225
31	Comma__	219
32	Blackberry1310	202
33	ImpavidArcher	198
33	TheSecondLord	198
35	burbankbuilder28	194
36	Rich_Kat	183
37	EveryonesUncle	180
38	Skippeh	177
39	Marbz_	170
40	oreee	166
41	AdmiralSmoke	164
42	k_ce	158
43	Bandito_Roamer	157
44	Maenara	155
45	jnp_gaming	154
46	Akoot_	151
47	NameGenerat0r	145
48	Razzgriz	144
49	Manaateee	141
50	Sral7	136
51	MineMaster0012	127
52	CollinMH06	126
53	joethahobo	124
53	Krowuss	124
55	TheShyPig	121
56	Frozil20	120
57	Inchef	119
58	Di_infiri	118
59	hanaryheatwave	114
60	PhantomsGhost_	110
60	MoistMicrowave	110
62	Hisiste	108
63	Quotary	105
64	TechnoNinja64	104
65	Huwulling	101
66	xolstoi	100
67	surfinggiraffejp	98
68	jushykins	95
68	Mattesco	95
68	luseis	95
71	xxPipperDipperxx	90
72	Spacewardharpy7	88
73	pappaberg	87
74	himak1	86
75	Iagoku	85
75	EcksD	85
77	gcaisawesome	83
78	Mewar	81
78	Inbefour	81
80	SteveCraftBlocks	79
80	_Mythic____	79
82	legal_tax_evader	78
83	Hermanni__	76
84	ROY4LE	74
84	Rumpletaezer	74
86	Iamthejo	73
87	Soplight	71
88	Buuck_	70
89	Werbe	68
89	F_Uhre	68
89	ProbsNotNova	68
92	Eczbek	67
93	6king6colt6	66
93	CoffeeNoir	66
93	_Karmaa	66
96	Racengan	65
97	KingEgg1	64
97	Onennon	64
99	RobotMinion101	63
100	2Stout	62
101	Arceus1975	60
102	Alteriity	58
102	audiocracked	58
102	PortlyPete69	58
102	Steelynan	58
102	ConnorDanky_	58
107	Ailmast	56
107	TooManyDuck	56
107	yulgur1	56
107	SammiWolfGirl	56
111	Ssor69	54
111	Snowflowe	54
113	mihimihimihi	52
114	Kakolbus	51
114	iSammael	51
114	OG_Songsee	51
117	MakeHistory157	50
117	Jimb0nat0r	50
119	r123moore	49
119	MAns_44	49
119	lcvezra	49
122	bigstankyy	47
122	Blu3beast	47
124	zorin123	45
124	oscminus	45
124	__tomato	45
124	Enderxz3	45
128	_Huge_Male_	44
128	crying_wolf_13	44
128	Rebytre	44
128	Powowowow	44
132	ssleepless	43
132	_TCARREIRA_	43
134	lizardfightclub	42
134	sp00ky_ghost977	42
136	q_wq	41
136	Zythose	41
136	claivin	41
136	Njensen7	41
140	Historical_Sand	40
140	PigDab	40
142	rarrq	39
142	poopybh	39
142	Eczbox	39
142	NomadicRobin_	39
142	MissCeleste7	39
147	Groovy_MoonBird	38
148	Apollo_993	37
149	Eraxa	36
150	BodaciousCake	35
151	_Meow_Mix	34
151	SpacesickPrism	34
151	vandmanden	34
154	excelsionprime	33
154	Ecplosive	33
154	Winklepicker279	33
154	ElectricDragon81	33
158	thewindmillman	32
158	skrongus	32
160	MyNameIsJobo	31
160	TheTrueClipse	31
160	xzvu	31
163	Incinere	30
163	Cambo5000	30
163	StarCookiees_	30
163	SvenskaHugo	30
167	T045RTY	29
167	obzii	29
169	SmashingPump	28
169	fluddd	28
169	Nicserso	28
172	jessewegottacook	27
172	Donutt	27
172	CalebDHawk	27
172	UrbanPlanningEx	27
176	Rasmanden	26
177	ShedJr_	25
177	pixelviolin	25
177	_i_ERROR_i_	25
177	Sorins	25
181	MilleGrug	24
182	Lepthymo	22
182	Dogcorn69420	22
182	KingMatthew506	22
185	livingdaydreams	21
185	Chromary	21
185	wezzzi	21
185	alderban107	21
185	2blox_	21
190	Myszoaz	20
190	OreTheBear	20
190	TheSeismicDuck	20
190	TheBananaKat	20
194	seanitoo	19
194	pr33tu	19
194	bearlystraight	19
194	Lord_Doob	19
194	striker90333	19
194	laron58	19
200	H0UNDFRMH3LL	18
200	dabloons	18
200	ITDV	18
200	yheece	18
200	Bumpy419	18
200	tartanboy	18
200	Legendosh	18
207	Batman922	17
207	AlexxO_o	17
209	IamCL4SSY	16
209	MovingFish7	16
211	PazinGaming	15
211	mariominejedi	15
211	DarlaMeow	15
211	The_slideV3	15
211	Segotep999	15
211	Zoeyfortnite	15
217	ExtraDumb	14
217	Hpdinosaur	14
217	Cyanide4Kitten	14
217	Swexti	14
217	12Magner05	14
217	Covalents	14
217	Nycteus_	14
217	_k2x	14
217	Burge_r	14
217	stavgod	14
217	Fizznut909	14
217	Vellu21	14
217	erkada	14
230	ECstardust	13
230	Crowman1	13
230	cedric72	13
230	CarryLine	13
230	Fuad_R	13
230	Spenduh	13
236	jimintyy	12
236	Awyrlas	12
236	drunkeeez	12
236	Jiminbub	12
236	Quincannon	12
236	Shogunite	12
236	wwwwinnebagoooo	12
236	Winston_Ingram	12
236	h2p_emrld	12
245	diamondgolem35	11
245	Xalithia	11
245	WET_WET_WET	11
245	ApophisNova	11
245	Quaintster	11
245	TheDumbHuman	11
251	MattieHD	10
251	Truckoss	10
251	El_Jalapeno	10
251	ItsDeltaMC	10
255	teslawolf38	9
255	set67	9
255	olliebollie48	9
255	ougstur	9
255	DTwenty	9
255	Syropatathe	9
255	YungWali	9
255	MustaLoordi	9
255	stellarjay	9
255	The_SlideV5	9
265	Auseawesome	8
265	Cellcorgi649	8
265	killmeiamtraitor	8
265	MustardDrinker	8
265	HyperCave	8
265	TheEnderMan548	8
271	j5ylim	7
271	Mr_Byzantine	7
271	SailiXX	7
271	SoftSix	7
271	Motsaro	7
271	SellyZ	7
271	Zaridey	7
271	SvenskaSara	7
271	LeGold	7
271	Luminad3	7
271	Leyna3	7
271	_Bguette_	7
271	Xclax101	7
271	Barlycorn	7
271	33sudo	7
271	ayamefag	7
287	SaucyDark	6
287	Euclidoris	6
287	ProfessorBee	6
287	Avrelion	6
287	Aneurysmas	6
287	Ender_Souls	6
287	XxCookiequeenxX	6
287	Tyrannosplart	6
287	ItsJWolff	6
287	Paigefly	6
287	felincaus	6
287	JayToe	6
287	FishisTTV	6
300	KarlKaek	5
