rank	username	minecraft:mined/minecraft:waxed_cut_copper_slab
1	Mattesco	252
2	TheWickedBird	197
3	12Magner05	179
4	Mr_Byzantine	175
5	Lez_	96
6	thewindmillman	62
7	beeperbeeper5	58
8	Nicserso	36
9	hanaryheatwave	34
10	Merv__	29
11	pintsizedrogue	23
12	Spaghettatron	15
13	TheSecondLord	11
13	SteveCraftBlocks	11
15	Huwulling	10
15	Secret_Canary	10
15	Solar_Power	10
18	EMC_	6
18	Buuck_	6
20	MyMawgDonaldsGon	5
21	MAns_44	3
22	net_flex	2
22	oscminus	2
22	cutelilreno	2
22	TheKingK_	2
22	Soplight	2
22	pizzarel_	2
28	CLG_Kata	1
28	Manaateee	1
28	KamFurnace	1
28	Jimb0nat0r	1
28	Yamdalorian	1
