rank	username	minecraft:mined/minecraft:cherry_planks
1	Lez_	671
2	Moofyman	581
3	StarCookiees_	382
4	skitzxo	352
5	Lazy_geniusig	250
6	11Brewer	249
7	OreTheBear	210
8	robonya_	202
9	XxCookiequeenxX	201
10	Dynamic_wolf_1	178
11	_witch_craft_	173
12	Alteriity	136
13	_Huge_Male_	77
14	bl1ss0	76
15	Krowuss	71
15	ItzClutch_	71
17	Reneedium	70
18	RatatJuice	69
19	Enderxz3	66
20	MattieHD	65
21	k_ce	62
22	RebytreGT	56
23	pretty_pink_reno	54
24	Werbe	43
25	Archsam	40
26	Huwulling	39
27	fragrantmonke444	31
28	lordpipe	30
29	AstreaTSS	20
30	Mr_Byzantine	19
30	royal_2	19
32	FiguraDei	18
33	pintsizedrogue	15
34	Yamdalorian	14
35	Kowcio_	13
36	Tersea_	10
36	kaiwill0w	10
38	Napoleonpancake	9
39	ECstardust	8
39	Sleepy_Evelyn	8
39	Mikael_Kuningas	8
42	myaccountwasgone	7
42	Pumpkin_P_Patch	7
42	Myrulfan3	7
45	Hashises	6
45	Jackattack53	6
47	gabukun_	5
47	NATE_the_HALO	5
49	Hetti301	3
49	_Duckery	3
51	PazinGaming	2
51	Manaateee	2
51	Cache3	2
51	DairyNickel756	2
55	CLG_Kata	1
55	shineh10	1
55	beeperbeeper5	1
55	QuiCreans	1
55	Fullut	1
55	nstuartwilliams1	1
55	Kondzik2008	1
55	Mattesco	1
55	luseis	1
