rank	username	minecraft:mined/minecraft:gray_banner
1	Eraxa	18
2	PlasticOtari	12
3	Incinere	8
4	Awyrlas	7
4	jnp_gaming	7
6	SteveCraftBlocks	4
6	Onennon	4
8	Lez_	3
8	beeperbeeper5	3
8	Blackberry1310	3
8	Snowflowe	3
8	SammiWolfGirl	3
13	teslawolf38	2
13	Gregward_Smith	2
13	MinuteMira	2
13	ConnorDanky_	2
17	Mr_Byzantine	1
17	eitanzaki	1
17	rarrq	1
17	TheSecondLord	1
17	olliebollie48	1
17	Chromary	1
17	EdGalbraith	1
17	EveryonesUncle	1
17	Manaateee	1
17	Blaiku	1
17	Spacewardharpy7	1
17	TheKingK_	1
17	starbits140	1
17	Steelynan	1
17	TheWickedBird	1
