rank	username	minecraft:mined/minecraft:small_dripleaf
1	500am	123
2	Enderslayerxz3	68
3	Legendosh	24
4	PlasticOtari	15
5	thewindmillman	11
6	2blox	10
7	pixelviolin	7
8	EtherealEspresso	5
9	Spacewardharpy7	4
9	Hylo482y	4
9	Miko_Fullbuster	4
12	EMC_	2
12	hm947	2
12	beeperbeeper5	2
12	12Magner05	2
12	Jackattack53	2
12	Rebytre	2
12	Deathkob	2
19	pintsizedrogue	1
19	RoskobiOne	1
19	q_wq	1
19	Mahoose	1
19	Valoth	1
19	Marbz_	1
19	eli_tschki	1
19	Klerick	1
19	monky_irl	1
19	ItsDeltaMC	1
19	SvenskaHugo	1
19	AltnumberF4	1
19	_Dri_	1
