rank	username	minecraft:mined/minecraft:horn_coral_block
1	Legendosh	1638
2	Enderxz3	910
3	TheShyPig	695
4	ImpavidArcher	458
5	_Dean_123	384
6	pintsizedrogue	330
7	doublemaki	320
8	Nicserso	289
9	Kouridragon	285
10	craaaash	278
11	HellsSponge	273
12	Hyp3rion_	236
13	Mattesco	207
14	Di_infiri	200
15	Vetral1	192
16	Lez_	150
17	MyMawgDonaldsGon	149
18	EcksD	143
19	RoskobiOne	134
20	500am	133
21	TheSecondLord	132
22	Merv__	131
23	fkGrim	127
24	Mewar	112
25	12Magner05	111
26	ApophisNova	103
26	MyNamaSheff	103
28	Jackattack53	95
29	Eerini	94
30	lordpipe	93
31	Inbefour	91
32	Onennon	83
33	eiC_	81
34	diamondgolem35	80
34	Xalithia	80
34	_3Stump_	80
37	AuroraValkyrie	77
38	Fullut	74
39	TheSeismicDuck	72
40	livingdaydreams	71
40	Maenara	71
42	Ssor69	69
43	skroobiez	68
43	Marbz_	68
43	EdGalbraith	68
46	excelsionprime	65
47	Jovaphobic	63
48	Archsam	62
49	Rumpletaezer	57
50	thewindmillman	56
51	j5ylim	53
51	Noah_Bez	53
53	Mahoose	50
54	r123moore	47
55	Kura2218	44
55	Yamdalorian	44
57	Groovy_MoonBird	43
57	burbankbuilder28	43
57	Deathkob	43
60	beeperbeeper5	42
60	SuperPooch06	42
60	TheWickedBird	42
63	eitanzaki	41
63	Manaateee	41
65	Druid95	38
66	kekhon	36
66	mihimihimihi	36
68	BodaciousCake	33
68	PortlyPete69	33
70	_Nat666	32
71	censorsheep	31
72	Bandito_Roamer	30
72	Inchef	30
72	__tomato	30
75	hollowww	28
76	Krowuss	27
77	surfinggiraffejp	26
77	Arceus1975	26
77	djancak	26
80	YungWali	25
81	_witch_craft_	23
81	noam464	23
81	Rebytre	23
81	Karbl	23
81	ZoharGoldMine	23
81	KingMatthew506	23
87	ShedJr_	22
87	Skippeh	22
89	aec9	21
89	Xclax101	21
89	Fizznut909	21
92	CoffeeNoir	20
92	stellarjay	20
94	XxCookiequeenxX	18
94	Typadopoulos	18
96	fw3xy	17
96	laron58	17
98	urbeans	16
98	Kakolbus	16
98	Blaiku	16
98	SpacesickPrism	16
102	SaucyDark	15
102	IdeallyGrey	15
102	11Brewer	15
105	joethahobo	14
105	Historical_Sand	14
105	NameGenerat0r	14
105	PlasticOtari	14
109	hm947	13
109	sp00ky_ghost977	13
109	Spaghettatron	13
112	Prismyst	12
112	Powowowow	12
114	emrekn	10
114	oscminus	10
114	AlexxO_o	10
114	claivin	10
114	miramyu	10
114	h2p_emrld	10
120	poopybh	9
120	Kowcio_	9
120	Jimb0nat0r	9
123	T045RTY	8
123	XboxPanda	8
123	hanaryheatwave	8
123	Jiminbub	8
123	1442	8
123	_Karmaa	8
123	El_Jalapeno	8
123	DarkLawD	8
123	cytotoxaint	8
123	erkada	8
133	abramgray	7
133	StinkyDiplomat	7
133	TechnoNinja64	7
136	6king6colt6	6
136	RobotMinion101	6
136	AspenLightVT	6
136	kalzor	6
136	TwinTowerV2	6
141	NotoriousNina	5
141	CollinMH06	5
141	FreakGenius	5
141	Blu3beast	5
141	Wolverine4302	5
146	RatatJuice	4
146	himak1	4
146	TheDankPlatypus	4
146	Silvo614	4
146	Bumpy419	4
146	Voxin2K	4
146	Hahaa_0	4
146	EveryonesUncle	4
146	weabis	4
146	GravitySaint	4
146	LordSpeed37	4
146	pixelviolin	4
146	diggydog67	4
159	PazinGaming	3
159	crying_wolf_13	3
159	milltesco	3
159	F_Uhre	3
159	Moofyman	3
159	IAmTheWalrus910	3
159	Spenduh	3
159	Ezekson	3
167	Stynxy	2
167	Blackberry1310	2
167	Secret_Canary	2
167	sandmire	2
167	Zaridey	2
167	HolyVenom	2
167	DarlaMeow	2
167	AvaRosey	2
175	Ryker	1
175	the_fireminer	1
175	AlazelTheReal	1
175	gaziter10	1
175	Shazzyling	1
175	ratglock	1
175	jacxhadow	1
175	bloodbiter	1
175	Nicky_H225	1
175	Studio4x32	1
175	Kubelz	1
175	Azmodan_246	1
175	Skylord_Luke	1
175	Cruncy_	1
175	LilLizardWizard	1
175	groofles	1
175	wezzzi	1
175	kkatsuragi	1
175	Gryglu583	1
175	Russiancat1	1
175	luseis	1
175	sufjanlover	1
175	jambvds	1
175	Renchi19	1
175	Tyrannosplart	1
175	Fuad_R	1
175	Lekol	1
175	Paul_Katan	1
175	Quaintster	1
175	QueenShuvi	1
175	Warlord324	1
175	Spacewardharpy7	1
175	iSammael	1
175	Western_1	1
175	Njensen7	1
175	OfficerAnvil	1
175	HuangMeiHua	1
175	jnp_gaming	1
