rank	username	minecraft:mined/minecraft:crafter
1	Ezekson	33
2	thewindmillman	27
3	Spaghettatron	17
4	11Brewer	16
5	pixelviolin	15
6	Pumpkin_P_Patch	11
7	Secret_Canary	10
8	DJzombiehunter	8
9	McCakeAh	5
9	LeCavalier636	5
9	Enderxz3	5
12	oscminus	3
13	U_Mos_	2
13	lordpipe	2
15	lpinfinity	1
15	DisgruntledKoala	1
15	Umprella	1
