rank	username	minecraft:mined/minecraft:dark_prismarine_slab
1	joethahobo	3337
2	12Magner05	1180
3	EcksD	884
4	pintsizedrogue	753
5	skitzxo	748
6	PlasticOtari	654
7	beeperbeeper5	444
8	TheShyPig	367
9	MightyWertu	325
10	Chromary	315
11	gcaisawesome	296
12	KarlKaek	276
13	Arceus1975	246
14	Snowflowe	244
15	PigDab	224
16	Fullut	221
17	CoffeeNoir	198
18	Mr_Byzantine	167
19	EveryonesUncle	164
20	Ezekson	156
21	Legendosh	131
22	ConnorDanky_	127
23	YungMaki	84
24	Merv__	75
25	Winklepicker279	71
26	Mahoose	68
27	SmashingPump	66
28	Zythose	64
29	AuroraValkyrie	63
30	Z3braYTIL	61
31	eitanzaki	54
32	rarrq	49
33	PazinGaming	46
34	Spacewardharpy7	43
34	BeardBois	43
36	Steelynan	39
37	Eraxa	38
37	hermmm_	38
39	Kowcio_	35
40	TheSecondLord	34
41	Druid95	30
42	2blox_	29
43	k_ce	26
43	ImpavidArcher	26
45	CliffEmAll	25
45	catandmoose	25
45	Skippeh	25
48	Blaiku	22
49	Buuck_	21
50	luseis	20
51	goldyx	19
51	Biites	19
53	WET_WET_WET	17
53	Yamdalorian	17
55	Iagoku	16
56	Marbz_	15
56	Maenara	15
58	stavgod	14
59	Frozil20	13
59	noam464	13
59	Racengan	13
62	LittleBug562	12
62	m_be9	12
62	Powowowow	12
65	mwrty	11
65	Bumpy419	11
65	Enderxz3	11
68	SpacesickPrism	10
69	Alteriity	8
69	djancak	8
71	xDraggin	7
71	SvenskaHugo	7
71	Kubeusz2010	7
74	set67	6
74	Azmodan_246	6
74	LeEricc	6
77	Hiryu27	5
77	groofles	5
77	Soplight	5
80	Smashic	4
80	EngagedGrub41	4
80	KamFurnace	4
83	oscminus	3
83	Werbe	3
83	TheKingK_	3
86	_Huge_Male_	2
86	RebelAndroid	2
86	titanlax	2
86	Moyd_	2
86	poopybh	2
86	Masssonnn	2
86	thescout7	2
86	thewindmillman	2
86	Skylord_Luke	2
86	Mattesco	2
86	fw3xy74	2
86	masskedman	2
86	NameGenerat0r	2
86	501g	2
86	Pundehoo	2
86	Iamthejo	2
102	SyntheticSurgeon	1
102	Lez_	1
102	skroobiez	1
102	Hetti301	1
102	kekhon	1
102	Secret_Canary	1
102	Di_infiri	1
102	fragrantmonke444	1
102	Lil_Breadboy	1
102	Manaateee	1
102	The_slideV3	1
102	claivin	1
102	weabis	1
102	trashmammals	1
102	Pumpkin_P_Patch	1
102	scarletwarrior1	1
102	TechnoNinja64	1
