rank	username	minecraft:mined/minecraft:dead_bubble_coral_block
1	Legendosh	118
2	eitanzaki	65
3	thewindmillman	19
4	Di_infiri	13
4	PortlyPete69	13
6	ZoharGoldMine	12
7	Skylord_Luke	11
8	Jiminie	9
9	Jackattack53	7
10	Lord_Jord	6
10	1442	6
12	BodaciousCake	5
13	ImpavidArcher	4
13	RobotMinion101	4
15	hollowww	3
15	HellsSponge	3
15	__tomato	3
18	RebelAndroid	2
18	titanlax	2
18	TheSecondLord	2
18	Z3braYTIL	2
18	eiC_	2
18	burbankbuilder28	2
18	RodSerlingCringe	2
18	Nicky19	2
18	501g	2
18	ItzWqlfy	2
28	pintsizedrogue	1
28	Bandito_Roamer	1
28	KarlKaek	1
28	_Dean_123	1
28	Fullut	1
28	Paintz	1
28	DermeinUser	1
28	ApophisNova	1
28	TheShyPig	1
28	sufjanlover	1
28	_Karmaa	1
28	Eraxa	1
28	YungMaki	1
28	Ezekson	1
28	MyNamaSheff	1
28	TechnoNinja64	1
