rank	username	minecraft:mined/minecraft:granite_wall
1	TheShyPig	285
2	weabis	190
3	Meatlaugh	139
4	Kubelz	112
5	Mahoose	98
6	Fuhrer_Teemo	71
7	Yamdalorian	59
8	BobDeBouwer1337	40
9	HellsSponge	35
10	Merv__	22
11	TheSecondLord	21
12	MightyWertu	18
12	Kowcio_	18
14	Doom_melon	17
14	Snowflowe	17
16	TheWildMateo	14
16	AlphaWolfPlaysMC	14
16	Enderxz3	14
19	Stiar	12
20	fragrantmonke444	11
20	Optiprimus	11
22	beeperbeeper5	10
23	Onennon	8
23	skitzxo	8
25	CoffeeNoir	7
25	SprinklerMan	7
25	561cool	7
28	AuroraValkyrie	6
28	Frozil20	6
28	eitanzaki	6
28	thescout7	6
28	Hoid_the_Roamer	6
28	cedric72	6
28	Maenara	6
35	KarlKaek	5
35	Steelynan	5
37	jewbacaman	4
37	Dakar_	4
37	Nicserso	4
40	joethahobo	3
40	Werbe	3
42	Mr_Byzantine	2
42	titanlax	2
42	TheDankPlatypus	2
42	DemTechAlpha	2
42	DarlaMeow	2
42	PlasticOtari	2
48	TAKrules	1
48	rarrq	1
48	500am	1
48	noam464	1
48	drunkeeez	1
48	killmeiamtraitor	1
48	Felenov	1
48	DC_XII	1
48	AspenLightVT	1
48	Manaateee	1
48	Legendosh	1
