rank	username	minecraft:mined/minecraft:light_gray_wall_banner
1	Mahoose	26
2	lcvezra	14
3	kekhon	11
4	TheShyPig	10
5	m_be9	9
6	Winklepicker279	8
7	_Dean_123	6
8	Xclax101	5
9	pappaberg	4
9	Fuhrer_Teemo	4
9	Enderslayerxz3	4
9	Legendosh	4
13	beeperbeeper5	3
13	EveryonesUncle	3
13	HellsSponge	3
16	Incinere	2
16	CoffeeNoir	2
16	RobotMinion101	2
16	Dusk_95	2
16	Kowcio_	2
16	EcksD	2
22	Bk2Lumby4You	1
22	Isaac70096	1
22	LionelHutzESQ	1
22	SquadMonster	1
22	titanlax	1
22	Blackberry1310	1
22	ROY4LE	1
22	noam464	1
22	YoshikageBites	1
22	Smoke____	1
