rank	username	minecraft:mined/minecraft:yellow_wool
1	beeperbeeper5	2099
2	EMC_	904
3	Smoke____	756
4	diamondgolem35	625
5	heckface	558
6	MangoTheFish	492
7	Freak_Genius	299
8	EcksDofficial	244
9	Legendosh	228
10	Fuhrer_Teemo	218
11	xxPipperDipperxx	208
12	ShedJr_	201
13	Ezekson	199
14	nitram49b	188
15	Di_infiri	186
16	FishyBoy3811	180
17	500am	155
18	PlasticOtari	148
19	PeteO1995	144
20	thewindmillman	117
21	mwrty	116
21	PortlyPete69	116
23	Werbe	107
23	TheShyPig	107
25	IWorkAtIkea	93
26	rotten_mango	92
26	claivin	92
28	Deathkob	87
28	YungMaki	87
28	Soplight	87
31	ROY4LE	85
32	oreee	78
33	Blackberry1310	77
34	Xclax101	76
35	oxfordschool	69
36	SteveCraftBlocks	67
37	2Stout	65
38	dezxalo	62
39	PigDab	59
40	TechnoNinja64	57
41	El_Jalapeno	53
42	sufjanlover	48
43	bigstankyy	46
44	fffMike	44
45	Hermanni__	43
46	SkateboardR6	39
47	pintsizedrogue	37
47	gabriels543	37
49	TheSecondLord	36
50	Groovy_MoonBird	35
51	Spacewardharpy7	33
52	KingMatthew506	32
53	eitanzaki	30
54	Wooptey	29
54	mariominejedi	29
56	noam464	27
57	Merv__	26
58	6king6colt6	25
59	seanitoo	24
59	JEWISHBadenBeele	24
59	Balthie	24
62	Skylord_Luke	23
62	stavgod	23
64	teslawolf38	22
64	EveryonesUncle	22
64	HellsSponge	22
67	NameGenerat0r	20
68	ImpavidArcher	19
68	Frozil12	19
70	Cowison	17
70	Mahoose	17
72	Hoid_the_Roamer	14
72	SSytex_X	14
74	Sky_light_KING	9
74	lordpipe	9
76	theonlymagikarp	8
76	r123moore	8
76	Rumpletaezer	8
76	PlzNoBM	8
76	EcksD	8
81	T045RTY	7
81	Jiminie	7
81	WyngGoy	7
84	RebelAndroid	6
84	Megarboh	6
84	swag_bro2004	6
84	Jackattack53	6
84	AJplaysMC_	6
84	Truckoss	6
90	Mr_Byzantine	5
90	joethahobo	5
90	Blaiku	5
93	kekhon	4
93	Bumpy419	4
93	LetsDoItLive	4
93	sebastiensaborio	4
97	soundad	3
97	rarrq	3
97	Stynxy	3
97	Fullut	3
97	Drewen24	3
97	420BreadLizard	3
97	NomadicRobin_	3
97	Inbefour	3
97	Lord_Zacler	3
97	Lutres_Torane	3
107	1ochi	2
107	Under1	2
107	Zaridey	2
107	HAIRYCLOUD626	2
107	HyperCave	2
107	Akoot_	2
107	Spenduh	2
107	Nekomin0	2
107	jcool7	2
107	anbbang	2
107	Sral7	2
118	tgamemode	1
118	dabloons	1
118	bloodbiter	1
118	pr33tu	1
118	Smashic	1
118	NotKaden_	1
118	mimbo1211	1
118	0nly_sn1per	1
118	Kynigito	1
118	Skomo	1
118	Lord_Jord	1
118	Agent108	1
118	LexMakesHistory	1
118	Katthaj	1
118	mafiKiwi	1
118	Blu3beast	1
118	Nycteus_	1
118	fluddd	1
118	Groundler	1
118	geekbird	1
118	sp00ky_ghost977	1
118	UCP_TheKingK	1
118	Winston_Ingram	1
118	jnp_gaming	1
118	kinas45y5	1
118	Zoeyfortnite	1
