rank	username	minecraft:mined/minecraft:magma_block
1	HellsSponge	18921
2	thewindmillman	17424
3	Yamdalorian	14850
4	MilleGrug	11657
5	WyngGoy	11372
6	MinttyFressh	10323
7	FirsTimeGamingTV	9915
8	MightyWertu	9870
9	noam464	8882
10	mihimihimihi	8826
11	Lord_Jord	8687
12	Nicserso	8481
13	YungMaki	8311
14	FreakGenius	7723
15	blackeemperor	7167
16	EngagedGrub41	7075
17	NomadicRobin_	6573
18	Soplight	6531
19	bigstankyy	6148
20	Spacewardharpy7	5957
21	set67	5872
22	DanTheBuilderino	5800
23	Di_infiri	5703
24	Hisiste	5691
25	Frozil20	5569
26	_witch_craft_	5515
27	Werbe	4980
28	SkateboardR6	4953
29	Blaiku	4853
30	2blox_	4673
31	Zythose	4544
32	_Virify_	4406
33	Weepingbiel	4007
34	EMC_	3942
35	Winklepicker279	3768
36	AstreaTSS	3566
37	pintsizedrogue	3482
38	diggydog67	3431
39	beeperbeeper5	3357
40	TheShyPig	3188
41	TheSecondLord	3164
42	__tomato	3143
43	Hyp3rion_	3082
44	PigDab	3040
45	cedric72	2946
46	Segotep999	2789
47	m_be9	2734
47	zToasty69z	2734
49	PortlyPete69	2733
50	Gregward_Smith	2727
51	Jackattack53	2630
52	Kakolbus	2516
53	trexgb	2470
54	RebelAndroid	2446
55	Apollo_993	2248
56	LexMakesHistory	2161
57	Ezekson	2008
58	T045RTY	1922
59	Kubeusz2010	1861
60	joethahobo	1841
61	Snowflowe	1781
62	gcaisawesome	1682
63	CoffeeNoir	1594
64	eitanzaki	1581
65	DarlaMeow	1478
66	Sleepy_Time_	1438
67	Da_Boss_Rani	1345
68	BobDeBouwer1337	1316
69	Mewar	1281
70	Legendosh	1262
71	vandmanden	1248
72	Mahoose	1238
73	TheKingK_	1157
74	EveryonesUncle	1057
75	MyNameIsJobo	1050
76	Crowvens	1039
77	Druid95	1015
78	Deathkob	1009
79	RebytreGT	929
80	PlzNoBM	919
81	4774	914
82	CLG_Kata	885
82	NinjaKnifeKill	885
84	Hetti301	872
85	Vizzoid	862
86	07shiny	857
87	ShedJr_	856
88	Njensen7	853
89	Maenara	804
90	Winston_Ingram	802
91	Onennon	746
92	Racengan	730
93	Hahaa_0	726
94	12Magner05	720
95	TechnoNinja64	716
96	Fullut	702
97	BlancoFlaco	687
98	excelsionprime	684
98	r123moore	684
100	himak1	681
101	Scathra	679
102	Groovy_MoonBird	676
103	Barlycorn	671
104	Windo_licker	670
105	Alteriity	669
106	DTwenty	664
107	legal_tax_evader	659
108	Shogunite	635
109	PazinGaming	628
110	soundad	616
111	SSytex_X	615
112	GravitySaint	590
113	F_Uhre	585
114	Blu3beast	576
114	PlasticOtari	576
116	royal_2	566
117	500am	563
118	Xalithia	560
119	Hiryu27	557
120	hermmm_	556
121	luseis	550
122	WET_WET_WET	534
123	IvarEXE	528
124	301851	525
125	fr_ser	519
126	U_Mos_	515
127	jewbacaman	508
128	XeroByMyth	506
129	djancak	494
130	ECstardust	488
131	thescout7	487
132	censorsheep	480
133	JESS_THE_RERE	475
134	RadarHz	474
135	ROY4LE	469
136	Cryptacity	466
137	TheDankPlatypus	465
138	k_ce	460
138	TAKrules	460
140	Manaateee	443
141	UrbanPlanningEx	442
142	mariominejedi	435
143	Smashic	424
144	SingedBread	409
144	SammiWolfGirl	409
144	remmisrat	409
147	FishyBoy3811	407
148	ProfessorBee	404
149	Sheldor097	394
150	AssFullaCum	392
151	Lez_	391
152	Marbz_	385
153	skatch212	373
154	EcksD	364
155	_Mythic____	362
156	StarCookiees_	360
157	MustaLoordi	359
158	Comma__	355
159	non089	354
160	pixelviolin	353
161	Kouridragon	350
162	Sabby65	349
163	surfinggiraffejp	345
164	SuperPooch06	344
165	The_slideV3	343
166	ooga47	338
167	6king6colt6	334
168	Iamthejo	332
169	pretty_pink_reno	330
170	AuroraValkyrie	323
171	Skylord_Luke	322
172	skitzxo	320
173	Chromary	319
174	ayamefag	312
175	Historical_Sand	309
176	Vorlice	305
177	Blackberry1310	296
178	Rasmanden	294
179	Enderxz3	281
180	NatalieTW	280
181	SaucyDark	278
182	Hoid_the_Roamer	276
183	Ssor69	273
184	masskedman	271
185	h2p_emrld	270
186	kekhon	269
187	UltraZombie	267
188	IamCL4SSY	265
188	DairyNickel756	265
190	livingdaydreams	264
191	Smiguli_	259
192	Secret_Canary	258
193	Dreamdbr14	257
194	oscminus	256
194	StinkyDiplomat	256
196	diamondgolem35	253
197	JayToe	251
198	theonlymagikarp	249
199	groofles	248
200	ImpavidArcher	246
201	maxdacatv2	240
201	lizardfightclub	240
203	Chuglyfe	237
204	OreTheBear	232
205	Arceus1975	228
206	El_Jalapeno	225
207	MAns_44	221
207	striker90333	221
209	NameGenerat0r	217
210	tuckerdoodle	215
211	calamariclam_I	212
212	Prismyst	211
213	wwwwinnebagoooo	209
214	I_Am_Mushkin	208
214	Aavermu	208
216	Spenduh	205
217	kubinek69	204
218	Kubelz	203
219	Bandito_Roamer	201
220	Covalents	196
220	lordpipe	196
222	HolyVenom	195
223	Fuad_R	194
224	Skippeh	193
225	lorywithay	191
225	Nargotah	191
227	Ryker	190
227	The11thDoctor	190
229	Seyaboy	189
230	xxPipperDipperxx	181
230	Shortest_Man	181
232	Merv__	180
233	Wolf_Mauler_73	177
234	H0UNDFRMH3LL	175
235	fw3xy74	173
235	nonarso	173
237	Moetis	170
238	NieToksikpl	169
238	yheece	169
240	Saucepeh	166
240	claivin	166
242	Razzgriz	165
243	Samificator	164
243	11Brewer	164
245	DarkS0L	161
246	Yatitay	160
246	Pickel_Lord	160
246	FelixPSY375	160
249	shineh10	159
249	ImDisconnected_	159
251	NoChumpChange	158
252	MSK__	157
252	Awyrlas	157
252	IAmTheWalrus910	157
255	Kowcio_	155
256	Zedducius	154
257	BreadBacon	153
258	_Nuf	151
258	ori0le	151
260	Luminad3	150
261	Julmish	148
261	AspenLightVT	148
261	TheSandwhich_	148
264	Bloo2406	147
265	theofiel	140
266	RosaDoesMC	139
266	hm947	139
266	fffMike	139
269	AuroraSkies	138
270	hijeatsdirt	134
270	selectrix	134
272	fade_emerge78823	133
272	MrMeisterProper	133
274	gustarlep	132
274	cichy096	132
274	Powowowow	132
277	Cowison	131
278	Mr_Byzantine	130
278	DemTechAlpha	130
280	Groundler	129
281	Wowful	128
281	AltnumberF4	128
283	Lord_Doob	127
284	Rumpletaezer	125
285	bloodbiter	124
285	mwrty	124
287	BadenStayFly	123
287	Reamdin	123
289	Killercatty78	119
290	Fizznut909	118
291	SmashingPump	117
291	SquadMonster	117
293	Tobinator_007	115
293	RocketRidge	115
295	SaltineDream	114
296	Bumpy419	113
297	ItsAki_	111
297	NebulousBadger	111
299	RoskobiOne	110
299	starbits140	110
