rank	username	minecraft:mined/minecraft:oak_button
1	Mahoose	57
2	rarrq	48
3	burbankbuilder28	36
4	Jackattack53	35
5	eitanzaki	33
6	Soplight	29
7	ProfessorDiaper	27
8	XboxPanda	25
8	PlasticOtari	25
10	Lord_Zacler	24
11	Kouridragon	23
12	KingFaenor	18
12	thewindmillman	18
14	beeperbeeper5	17
14	xxPipperDipperxx	17
16	Kubeusz2010	16
17	thescout7	14
17	El_Jalapeno	14
19	Cowison	13
19	mwrty	13
21	Merv__	12
21	ThiccExotic	12
21	tsohomie	12
24	Frozil20	10
24	M_Patata	10
24	Di_infiri	10
24	Hiryu27	10
24	sufjanlover	10
24	__tomato	10
30	noam464	9
30	BumbleBeever	9
30	mihimihimihi	9
33	CharlieButt	8
33	Purplehere	8
33	YungMaki	8
33	Legendosh	8
37	Jackster03	7
37	SteveCraftBlocks	7
37	fkGrim	7
37	fluddd	7
37	Ze_BaronKrigler	7
42	Jovaphobic	6
42	tuckerdoodle	6
42	Lez_	6
42	jessewegottacook	6
42	Ardennes	6
42	kekhon	6
42	500am	6
42	gcaisawesome	6
42	Soap_Bender	6
42	HellsSponge	6
42	Groundler	6
42	Invintic	6
42	MilleGrug	6
42	CattSoup	6
56	Bandito_Roamer	5
56	teslawolf38	5
56	ssleepless	5
56	Zenlou	5
56	benediktine1	5
56	Akoot_	5
56	MasterNueve	5
56	PabloGonza02	5
56	Ezekson	5
56	ConnorDanky_	5
56	xolstoi	5
56	calamariclam_I	5
56	diggydog67	5
69	CoffeeNoir	4
69	bloodbiter	4
69	12Magner05	4
69	_Nuf	4
69	purpolepickle	4
69	legal_tax_evader	4
69	domagawha	4
69	Btabtab	4
69	ooga47	4
69	DeeDeeThonk	4
69	epiksk8erduck	4
69	ogoa	4
69	RoofTyler	4
69	Warlord324	4
69	Spacewardharpy7	4
69	Jordan_R	4
85	pintsizedrogue	3
85	seanitoo	3
85	T045RTY	3
85	fr0stss	3
85	Blackberry1310	3
85	TheSecondLord	3
85	tortillatitan	3
85	jushykins	3
85	Rich_Kat	3
85	m_be9	3
85	shyshyannne	3
85	Smashic	3
85	excelsionprime	3
85	Awyrlas	3
85	NotKaden_	3
85	Karetoko	3
85	Arceus1975	3
85	Onennon	3
85	Drewen24	3
85	Syropatathe	3
85	Blu3beast	3
85	Nycteus_	3
85	Xclax101	3
85	MightyWertu	3
85	IAmTheWalrus910	3
85	Kyrum2169	3
85	BlankityMcBlank	3
85	tsitrawhy	3
85	Sheldor097	3
85	laron58	3
85	EcksD	3
85	Quotary	3
85	Smoke____	3
118	chipklip	2
118	abramgray	2
118	Sleek_Storm_721	2
118	Esme_1	2
118	HollieDaNugget	2
118	Franco093	2
118	stevewithclout	2
118	joethahobo	2
118	prizm_	2
118	Hyp3rion_	2
118	_Boipl_	2
118	kars0n	2
118	tobinwilliams	2
118	Bumpy419	2
118	TheShyPig	2
118	zToasty69z	2
118	SaintJosie	2
118	masskedman	2
118	SpouHn	2
118	NYJ	2
118	ChocolatePepsi	2
118	Tyrannosplart	2
118	handsome_strong	2
118	Fuad_R	2
118	DanTheBuilderino	2
118	Charleszetoast	2
118	GravitySaint	2
118	Racengan	2
118	SkateboardR6	2
118	AvaRosey	2
118	Burge_r	2
118	Pickel_Lord	2
118	Mythic1130	2
118	cichy096	2
118	Jimb0nat0r	2
153	heysushii	1
153	JohnnyFyes	1
153	The_Thund	1
153	PhantomsGhost_	1
153	dimondking777	1
153	ItsColin11	1
153	Lapbottom	1
153	bigstankyy	1
153	ImpavidArcher	1
153	livingdaydreams	1
153	Swexti	1
153	nocturne78	1
153	ccormacs	1
153	Euclidoris	1
153	titanlax	1
153	prelutrinae	1
153	ratglock	1
153	ThePoliteG	1
153	Fullut	1
153	Mariopreeet	1
153	PegLegPete93	1
153	SUSUGAM	1
153	FennYuzuna	1
153	Ecplosive	1
153	Sagaram	1
153	MyNameIsJobo	1
153	SuperPooch06	1
153	andy_rex	1
153	RyuNeko932000	1
153	MangoTheFish	1
153	ApophisNova	1
153	HyperCave	1
153	Oragious	1
153	MousePlays	1
153	CaptainAvenger7	1
153	Rasmanden	1
153	Jimi7hits	1
153	Maenara	1
153	Elastiq	1
153	IamCL4SSY	1
153	Nicky19	1
153	ILoveCarrot	1
153	FreddyFart	1
153	Inbefour	1
153	NoChumpChange	1
153	luseis	1
153	avalan64	1
153	_Bguette_	1
153	weabis	1
153	Typadopoulos	1
153	NotMeowMix	1
153	WyngGoy	1
153	Eraxa	1
153	Shin69	1
153	Kowcio_	1
153	starbits140	1
153	non089	1
153	Kferno	1
153	Eczbek	1
153	OfficerAnvil	1
153	MyNamaSheff	1
153	RoboTramp7865	1
153	Enderxz3	1
153	MrMeisterProper	1
153	Yahrto	1
153	zmpeg	1
153	JayToe	1
153	Calbo_	1
153	00000000-0000-0000-0009-01f073f37a91	1
