rank	username	minecraft:mined/minecraft:red_bed
1	ayamefag	134
2	HellsSponge	122
3	Soplight	88
4	EveryonesUncle	68
5	Mattesco	57
6	eitanzaki	54
7	Yamdalorian	53
8	Solar_Power	39
9	kekhon	34
10	beeperbeeper5	33
11	TechnoNinja64	32
12	xxPipperDipperxx	29
13	joethahobo	28
13	Spacewardharpy7	28
15	EMC_	24
15	Eczbek	24
17	Merv__	23
17	SkateboardR6	23
17	SpacesickPrism	23
20	Hpdinosaur	22
20	luseis	22
20	PlasticOtari	22
23	Winklepicker279	20
23	Krowuss	20
23	Shogunite	20
26	m_be9	19
26	gcaisawesome	19
26	StinkyDiplomat	19
29	bigstankyy	17
29	LeeMcGee30	17
31	shineh10	16
31	Literally_Rat	16
31	QuiCreans	16
31	12Magner05	16
31	BumbleBeever	16
31	PortlyPete69	16
37	Racengan	15
37	Steelynan	15
37	Spaghettatron	15
40	Luminad3	13
41	rarrq	12
41	Blackberry1310	12
41	FreakGenius	12
44	Rebytre	11
44	Vetral1	11
46	pintsizedrogue	10
46	gaziter10	10
46	MinttyFressh	10
46	Inchef	10
46	Arceus1975	10
46	El_Jalapeno	10
46	cutelilreno	10
46	robonya_	10
46	Jimb0nat0r	10
55	PaperCanvas	9
55	Akoot_	9
55	Wowful	9
55	Eraxa	9
55	MisfitsMike	9
55	little_dUki	9
55	HesDemonPants	9
62	Apollo_993	8
62	SaucyDark	8
62	_Nuf	8
62	4774	8
62	HolyVenom	8
62	NoChumpChange	8
62	00000000-0000-0000-0009-01ff0c3e5e4f	8
69	Reamdin	7
69	ShedJr_	7
69	MSK__	7
69	jacxhadow	7
69	catandmoose	7
69	wx4z	7
69	Felenov	7
69	Deathkob	7
69	KermitTheKripple	7
69	Segotep999	7
69	jcool7	7
69	TheALV	7
69	Enderxz3	7
82	MikeIsSalty	6
82	BodaciousCake	6
82	TheSecondLord	6
82	bloodbiter	6
82	noam464	6
82	Chromary	6
82	AnnieBathory	6
82	DAD_1996	6
82	Vol_Rod33	6
82	stellarjay	6
82	StamWolf	6
82	EcksD	6
94	jspwn	5
94	Mahoose	5
94	ccwildfire1	5
94	Prodiginus	5
94	arcanemagic	5
94	shadowthemonkey	5
94	thewindmillman	5
94	RyuNeko932000	5
94	drompje	5
94	nut_e	5
94	Chuvacevedo	5
94	TheShyPig	5
94	Lord_Jord	5
94	TheSeismicDuck	5
94	Syropatathe	5
94	thatsjustfrankie	5
94	Blu3beast	5
94	miramyu	5
94	Iamthejo	5
113	jjettii	4
113	RoskobiOne	4
113	dimondking777	4
113	ECstardust	4
113	RatatJuice	4
113	Lez_	4
113	Swalt	4
113	Crowman1	4
113	jushykins	4
113	_Dean_123	4
113	TheDiamondCG	4
113	Kamflame	4
113	mwrty	4
113	Covalents	4
113	Windo_licker	4
113	Marbz_	4
113	Di_infiri	4
113	andy_rex	4
113	LordZacler	4
113	SvenskaSara	4
113	ooga47	4
113	PigDab	4
113	Tou3bann	4
113	Lord_Zacler	4
113	Meatlaugh	4
113	AstreaTSS	4
113	weabis	4
113	_flud	4
113	SingedBread	4
113	chiakirice	4
113	Sral7	4
144	Groovy_MoonBird	3
144	Harotio	3
144	diamondgolem35	3
144	Gundam_Steven	3
144	remgrandt	3
144	cheerytomato	3
144	Saucepeh	3
144	Sleepy_Evelyn	3
144	Jakobo1337	3
144	corvidpartyfor6	3
144	cyrusisntgay	3
144	r123moore	3
144	NLKBuilder	3
144	Gzrdy	3
144	Snowflowe	3
144	RobotMinion101	3
144	Jimi7hits	3
144	a_d_e_x	3
144	Jiminbub	3
144	Russiancat1	3
144	Twighst	3
144	the__Reaper4999	3
144	DarkLawD	3
144	Airem_Core	3
144	FiguraDei	3
144	Thunder_bird4337	3
144	ConnorDanky_	3
144	RadarHz	3
144	CattSoup	3
144	smogfrogg	3
144	jnp_gaming	3
144	00000000-0000-0000-0009-01f73aa9620f	3
176	SaltineDream	2
176	Elprone266	2
176	Vlorox	2
176	robertsnose	2
176	TildaAndrea	2
176	6king6colt6	2
176	Caribouse	2
176	sapphyllia	2
176	Killercatty78	2
176	lorywithay	2
176	Alteriity	2
176	Natty	2
176	Archsam	2
176	Luna_Rosie	2
176	Swexti	2
176	Dblikstad	2
176	royal_2	2
176	NieToksikpl	2
176	shdesolt	2
176	Megarboh	2
176	poopybh	2
176	Fullut	2
176	slkiey	2
176	knarian	2
176	Kkanot	2
176	emrekn	2
176	Xalithia	2
176	ROY4LE	2
176	John6970	2
176	mimbo1211	2
176	fallingemma	2
176	craaaash	2
176	SuperStreetCat	2
176	yheece	2
176	SlayerCrypto	2
176	Jackattack53	2
176	whoaluv	2
176	Rumpletaezer	2
176	Aakvaa	2
176	WolfthePiggy	2
176	Parcc	2
176	Oliver_Frost	2
176	Werbe	2
176	fxiryglitch	2
176	ougstur	2
176	DrProfAwesome	2
176	GooseWithin	2
176	Roikdean	2
176	EdGalbraith	2
176	JakobDylanC	2
176	Meepcraft	2
176	Sorry_Arey07	2
176	the_russell1611	2
176	Tyrannosplart	2
176	JESS_THE_RERE	2
176	Manaateee	2
176	The_slideV3	2
176	queenalina123	2
176	Quaintster	2
176	RedcatVII	2
176	MS_Pryxx	2
176	nagyvad	2
176	ZeaBaron	2
176	Optiprimus	2
176	stavgod	2
176	Kowcio_	2
176	doublemaki	2
176	KayleeGrace58	2
176	GustavoMS_64	2
176	xzvu	2
176	Celeste_121	2
176	MineCryptian	2
176	KingMatthew506	2
176	athereall	2
176	tartanboy	2
176	Ezekson	2
176	_AAZAR	2
176	FelixPSY375	2
176	Legendosh	2
176	momis24	2
176	BiggieDawg	2
176	camando92	2
176	coobert42	2
176	JohnPrice	2
260	kurulen	1
260	AikoShayz	1
260	Zee_zey	1
260	Mr_Byzantine	1
260	Froste131	1
260	CLG_Kata	1
260	nev_s	1
260	Argraol	1
260	teslawolf38	1
260	Ryan_GEMS	1
260	superfred2010	1
260	JokoFiskare	1
260	Incinere	1
260	RebelAndroid	1
260	nattybears	1
260	Jahara	1
260	SyntheticSurgeon	1
260	WarHammer3	1
260	Lazy_geniusig	1
260	iElijahi	1
260	lobgn	1
260	FirsTimeGamingTV	1
260	Ozixar	1
260	Nicky_H225	1
260	zorin123	1
260	Secret_Canary	1
260	philandr	1
260	Zopir	1
260	Motsaro	1
260	LordDiabolos	1
260	theonlymagikarp	1
260	XboxPanda	1
260	drunkeeez	1
260	bl1ss0	1
260	thatbeanyboi	1
260	okCrypto	1
260	BeastyBoi954911	1
260	popcanter	1
260	King_Pancake1	1
260	killmeiamtraitor	1
260	U_Mos_	1
