rank	username	minecraft:mined/minecraft:waxed_oxidized_copper
1	Enderxz3	1269
2	thewindmillman	1248
3	Buuck_	896
4	MyMawgDonaldsGon	361
5	CLG_Kata	303
6	Secret_Canary	235
7	Yamdalorian	58
8	pixelviolin	48
9	Spaghettatron	44
10	pintsizedrogue	37
11	k_ce	28
12	PlasticOtari	26
13	MattieHD	24
14	oscminus	17
15	net_flex	13
16	luseis	12
17	Merv__	8
18	MSK__	4
18	Kowcio_	4
20	Werbe	3
20	Manaateee	3
20	TheKingK_	3
20	Soplight	3
20	00000000-0000-0000-0009-01fe065167f0	3
25	beeperbeeper5	2
25	_Mythic____	2
25	Steelynan	2
25	Jimb0nat0r	2
29	Mr_Byzantine	1
29	Caribouse	1
29	skroobiez	1
29	Reneedium	1
29	HolyVenom	1
29	Eczbek	1
