rank	username	minecraft:mined/minecraft:end_stone_brick_stairs
1	mwrty	2078
2	fkGrim	212
3	sebastiensaborio	204
4	Mewar	140
5	m_be9	127
5	PigDab	127
7	NomadicRobin_	119
8	burbankbuilder28	76
9	jcool7	62
10	WET_WET_WET	53
11	Mahoose	46
12	Smoke____	33
13	TheEnderman548	27
14	500am	24
15	6king6colt6	23
16	brofrickcheaters	17
17	claivin	11
18	elicobnoah	8
18	AuroraValkyrie	8
18	ayqq	8
18	noam464	8
18	Nicserso	8
23	Blu3beast	7
23	Racengan	7
25	eitanzaki	6
25	MyNameIsJobo	6
25	SuperPooch06	6
28	pintsizedrogue	5
29	KarlKaek	3
29	12Magner05	3
31	thewindmillman	2
31	OtariCharlie	2
31	chipklip	2
31	YungMaki	2
35	_stets	1
35	Incinere	1
35	eclipseboi	1
35	eiC_	1
35	Arceus1975	1
35	TheShyPig	1
35	Quaintster	1
35	fluddd	1
