rank	username	minecraft:mined/minecraft:granite_slab
1	Steelynan	972
2	HellsSponge	415
3	Merv__	363
4	TheShyPig	289
5	Snowflowe	236
6	bruh072	203
7	Hpdinosaur	188
8	noam464	137
9	radioactv_jelly	124
10	Mahoose	123
11	skitzxo	121
12	Stiar	112
13	titanlax	111
14	SingedBread	110
15	Lord_Jord	84
16	Enderxz3	80
17	kekhon	69
18	Frozil20	63
18	Yamdalorian	63
20	Mr_Byzantine	60
21	Crizma_	59
22	KarlKaek	48
23	SkateboardR6	45
24	YungMaki	43
25	AspenLightVT	41
26	PlasticOtari	33
27	2Stout	30
28	jewbacaman	28
28	Soplight	28
30	ImpavidArcher	23
31	valkam13	22
31	KamFurnace	22
33	joethahobo	18
34	eitanzaki	16
34	groofles	16
34	Nicserso	16
37	NameGenerat0r	15
38	q_wq	14
39	Felenov	13
40	Ajax6	12
41	Vizzoid	11
42	GLLogan2	10
42	Pumpkin_P_Patch	10
42	FGamerJ	10
42	Legendosh	10
46	Inchef	9
46	wwwwinnebagoooo	9
48	NomadicRobin_	8
49	PazinGaming	7
49	Saucepeh	7
49	12Magner05	7
49	500am	7
49	Racengan	7
49	SexcMf	7
55	Malorn_Aetherius	6
55	Fullut	6
55	TTPumpkin	6
55	DanTheBuilderino	6
55	PortlyPete69	6
60	luseis	5
60	Meatlaugh	5
60	fluddd	5
63	bigstankyy	4
63	91stCataclysm	4
63	TheKingK_	4
66	pintsizedrogue	3
66	Groovy_MoonBird	3
66	Gzrdy	3
66	Jekyll	3
66	Mattesco	3
66	pretty_pink_reno	3
72	SteveCraftBlocks	2
72	Smashic	2
72	r123moore	2
72	fragrantmonke444	2
72	Blaiku	2
72	Eraxa	2
72	xzvu	2
72	vandmanden	2
80	EMC_	1
80	TerraVl	1
80	PegLegPete93	1
80	Antek_Kicek	1
80	Di_infiri	1
80	XxCookiequeenxX	1
80	TiborSterle	1
80	TheImperial	1
80	Eczbek	1
80	tartanboy	1
