rank	username	minecraft:mined/minecraft:potted_dead_bush
1	RatatJuice	34
2	Mahoose	19
3	Kim_Jong_eel	15
4	FreakGenius	12
5	Awyrlas	10
6	Ezekson	8
7	burbankbuilder28	7
8	Inchef	6
8	PlasticOtari	6
10	500am	5
10	Steelynan	5
12	SaucyDark	4
12	WarMachina	4
14	pintsizedrogue	3
14	CLG_Kata	3
14	kekhon	3
14	TheDankPlatypus	3
14	Marbz_	3
14	ougstur	3
14	Soplight	3
21	corvidpartyfor6	2
21	Secret_Canary	2
21	4774	2
21	luseis	2
21	Kowcio_	2
21	Luigipunch989	2
21	CalebDHawk	2
21	jnp_gaming	2
29	_Huge_Male_	1
29	Merv__	1
29	ECstardust	1
29	beeperbeeper5	1
29	Whiterooster001	1
29	Saucepeh	1
29	Cryptacity	1
29	lordsaladito	1
29	xxPipperDipperxx	1
29	gcaisawesome	1
29	Skylord_Luke	1
29	duqboy	1
29	Thomez_	1
29	Tyrannosplart	1
29	MAns_44	1
29	Druid95	1
29	YungMaki	1
29	UCP_TheKingK	1
29	Segotep999	1
29	Hermanni__	1
29	Kubeusz2010	1
29	Nicserso	1
29	Enderxz3	1
29	AdmiralSmoke	1
