rank	username	minecraft:mined/minecraft:polished_blackstone_wall
1	ITDV	450
2	burbankbuilder28	219
3	Mahoose	213
4	FreakGenius	104
5	Jackattack53	84
6	Dusk_95	74
7	RebelAndroid	68
8	500am	59
9	noam464	56
10	jacxhadow	54
11	Creativebuilder2	50
12	beeperbeeper5	45
13	pintsizedrogue	43
14	TheSecondLord	42
15	EcksD	36
16	CalebDHawk	35
17	Spacewardharpy7	33
18	set67	29
19	Hyp3rion_	26
20	Smoke____	24
21	Cowison	23
22	Lord_Jord	17
22	Optiprimus	17
22	Eraxa	17
25	ImpavidArcher	12
26	teslawolf38	11
26	TheShyPig	11
26	Elastiq	11
29	_Razaria	10
29	BobDeBouwer1337	10
29	Mattesco	10
32	Rebytre	8
32	luseis	8
32	Legendosh	8
35	Blackberry1310	6
35	IvarEXE	6
35	Jimb0nat0r	6
38	ShedJr_	5
38	Arceus1975	5
38	PlasticOtari	5
41	himak1	4
41	xxPipperDipperxx	4
43	rarrq	3
43	_Dean_123	3
43	AltnumberF4	3
46	Alteriity	2
46	gustarlep	2
46	Quotary	2
46	Enderxz3	2
50	KarlKaek	1
50	eitanzaki	1
50	Lez_	1
50	Smashic	1
50	Awyrlas	1
50	Antek_Kicek	1
50	Di_infiri	1
50	DanielMmm	1
50	EveryonesUncle	1
50	sp00ky_ghost977	1
50	Winston_Ingram	1
