rank	username	minecraft:mined/minecraft:sculk_vein
1	thewindmillman	5602
2	Smoke____	1102
3	SvenskaHugo	1023
4	EMC_	1002
5	Enderxz3	802
6	hanaryheatwave	475
7	pintsizedrogue	377
8	Kowcio_	360
9	Luminad3	328
10	TheSecondLord	327
11	SyntheticSurgeon	221
12	luseis	218
13	RoofTyler	192
14	Kakolbus	181
15	12Magner05	176
16	Wowful	158
17	MrKrabOnCoke	147
18	Hyp3rion_	127
19	Snowflowe	108
20	RealGroot	95
21	500am	93
22	Mahoose	72
23	non089	64
24	Iamthejo	61
25	joethahobo	53
26	noam464	52
26	Heisenbberrg	52
28	Di_infiri	49
28	Jackattack53	49
30	binman420	46
31	AlexxO_o	36
32	Legendosh	35
33	EcksD	31
34	beeperbeeper5	28
35	FazeObama69	24
35	RatatJuice	24
37	_Boipl_	19
38	ImpavidArcher	17
38	nattybears	17
40	Soplight	16
41	Da_Boss_Rani	12
41	Marbz_	12
43	Alteriity	9
44	Cellcorgi649	8
44	Rebytre	8
46	Killercatty78	7
47	00000000-0000-0000-0009-01ff0c3e5e4f	6
48	k_ce	4
48	MuffinManzz	4
48	diamondgolem35	4
48	ZeroAbyssTTV	4
48	MAns_44	4
48	Jimb0nat0r	4
48	calamariclam_I	4
55	H0UNDFRMH3LL	3
55	DinoDoctor_	3
55	eitanzaki	3
55	Spacewardharpy7	3
55	YungMaki	3
60	Apollo_993	2
60	shineh10	2
60	q_wq	2
60	jessewegottacook	2
60	Sleepy_Time_	2
60	Smashic	2
60	NLKBuilder	2
60	Fuad_R	2
60	ItsDeltaMC	2
60	Eczbek	2
70	_Huge_Male_	1
70	Creativebuilder2	1
70	TheDankPlatypus	1
70	shadowthemonkey	1
70	Mattesco	1
70	THEKINGLyric10	1
70	wwwwinnebagoooo	1
70	Hisiste	1
70	mihimihimihi	1
70	lordpipe	1
70	TheALV	1
