rank	username	minecraft:mined/minecraft:infested_deepslate
1	mihimihimihi	132
2	Lez_	74
3	pintsizedrogue	72
4	fragrantmonke444	61
5	Smashic	39
6	pretty_pink_reno	32
7	gcaisawesome	31
8	Kowcio_	30
9	DairyNickel756	26
10	thewindmillman	23
11	Yamdalorian	21
12	TheALV	19
13	CoffeeNoir	18
13	pixelviolin	18
15	groofles	17
16	luseis	16
17	Apollo_993	15
17	truonggojo777	15
19	Werbe	14
20	ECstardust	12
20	EveryonesUncle	12
20	SingedBread	12
20	00000000-0000-0000-0009-01ff0c3e5e4f	12
24	k_ce	11
24	500am	11
24	EdGalbraith	11
27	Segotep999	10
27	EcksD	10
29	Hahaa_0	9
29	MilleGrug	9
31	excelsionprime	8
32	Solar_Power	7
32	Mattesco	7
32	BungalowBeet	7
32	TheOuterCore	7
32	CattSoup	7
37	BPTY4618	6
37	PazinGaming	6
37	Da_Boss_Rani	6
37	beeperbeeper5	6
37	Crowman1	6
37	SuperPooch06	6
37	ConJaBz	6
37	YungMaki	6
45	EMC_	5
45	lorywithay	5
45	Huwulling	5
45	xPixelRainx	5
45	prizm_	5
45	Kakolbus	5
45	Penguinllama517	5
45	MAns_44	5
53	_stets	4
53	RebelAndroid	4
53	HUNTERmaun	4
53	TheSecondLord	4
53	OreTheBear	4
53	Lord_Zacler	4
53	emreknugrlu	4
53	Moss_2006	4
53	non089	4
53	PlasticOtari	4
63	diamondgolem35	3
63	PhantomBionic	3
63	KeruNatsema	3
63	Invintic	3
63	ZoomieZoomie	3
68	Zee_zey	2
68	RoskobiOne	2
68	Alteriity	2
68	Cyanide4Kitten	2
68	Hydro___________	2
68	Masssonnn	2
68	Gzrdy	2
68	Malware_Mara	2
68	Snowflowe	2
68	Lo_zio_Diego	2
68	ScootOfBoot	2
68	Moofyman	2
68	Mr_Sun15	2
68	Shortest_Man	2
68	Wowful	2
68	Lutres_	2
68	wwwwinnebagoooo	2
68	kyouma777	2
68	_i_ERROR_i_	2
68	hermmm_	2
68	11Brewer	2
89	SmashingPump	1
89	teslawolf38	1
89	ccwildfire1	1
89	U_Mos_	1
89	oscminus	1
89	Finside	1
89	PaperCanvas	1
89	Elastiq	1
89	xKool	1
89	Manaateee	1
89	Vegvisir	1
89	Lord_Doob	1
89	Ze_BaronKrigler	1
89	NATE_the_HALO	1
