rank	username	minecraft:mined/minecraft:cyan_terracotta
1	Jackattack53	7995
2	Hyp3rion_	2603
3	Inbefour	2241
4	Marbz_	1937
5	joethahobo	1933
6	kekhon	1107
7	jcool7	1083
8	Lez_	1069
9	PazinGaming	952
10	thewindmillman	880
11	weabis	808
12	_Karmaa	778
13	TheShyPig	733
14	Kakolbus	714
15	noam464	651
16	rarrq	570
17	__tomato	546
18	ConnorDanky_	534
19	PlasticOtari	530
20	NameGenerat0r	498
21	EveryonesUncle	443
22	Frozil20	372
23	epiksk8erduck	371
24	Akoot_	349
25	Mahoose	340
26	ApophisNova	332
26	MyNamaSheff	332
28	AuroraValkyrie	323
29	StarCookiees_	312
30	Hiryu27	282
31	groofles	270
32	RobotMinion101	267
33	skrongus	257
34	Fullut	246
35	cog	235
36	Mr_Byzantine	222
37	eitanzaki	212
38	shadowthemonkey	204
39	Blackberry1310	194
40	Rebytre	193
41	Alteriity	191
42	NinjaKnifeKill	189
43	DarlaMeow	187
44	pintsizedrogue	184
44	YungMaki	184
46	AdmiralSmoke	177
47	titanlax	174
48	mwrty	168
49	MightyWertu	149
50	Archsam	127
51	12Magner05	114
52	XxCookiequeenxX	112
53	Krowuss	108
54	oscminus	107
55	Ezekson	101
56	TheSecondLord	96
57	dopplexd	94
57	Sral7	94
59	SvenskaHugo	91
60	Blaiku	89
61	Di_infiri	84
62	Karbl	80
63	ImpavidArcher	76
64	KingEgg1	70
65	Ssor69	68
66	Blu3beast	59
67	Manaateee	58
68	Elastiq	52
69	Snowflowe	50
69	Kowcio_	50
69	EcksD	50
72	CoffeeNoir	47
73	Rumpletaezer	46
74	Steelynan	41
75	audiocracked	39
76	TechnoNinja64	37
77	beeperbeeper5	35
77	thescout7	35
77	Jimb0nat0r	35
80	MineMaster0012	34
80	ZoomieZoomie	34
82	pixelviolin	33
83	lorpus	27
84	lillips	25
85	r123moore	24
86	SellyZ	21
87	_Bguette_	20
88	Werbe	19
88	ediballbearings	19
90	T045RTY	18
90	fluddd	18
92	Lunkuku	15
93	KarlKaek	13
93	Spenduh	13
93	Enderxz3	13
93	Zoeyfortnite	13
97	Huwulling	12
97	Mattesco	12
97	DemTechAlpha	12
97	Soplight	12
101	jessewegottacook	11
101	Secret_Canary	11
101	ooga47	11
101	silverpopcorn	11
101	SammiWolfGirl	11
106	itburb	9
106	SuperPooch06	9
108	theonlymagikarp	8
109	xxPipperDipperxx	7
109	Eraxa	7
111	Segotep999	6
112	Merv__	5
112	EMC_	5
112	luseis	5
112	_3Stump_	5
112	Legendosh	5
117	k_ce	4
117	ColeSnyder	4
117	PigDab	4
117	Agent108	4
121	BodaciousCake	3
121	gcaisawesome	3
121	GooseWithin	3
121	Racengan	3
121	Quotary	3
121	jnp_gaming	3
127	CLG_Kata	2
127	Apollo_993	2
127	PhantomsGhost_	2
127	hm947	2
127	Incinere	2
127	wickedword	2
127	ZaneABrain	2
127	MrAdamant209	2
127	Historical_Sand	2
127	NieToksikpl	2
127	eviltunix	2
127	Xalithia	2
127	ROY4LE	2
127	yheece	2
127	_Boipl_	2
127	yulgur1	2
127	Jiminbub	2
127	Deathkob	2
127	__Auspicious	2
127	geekbird	2
127	ItsDeltaMC	2
127	BlankityMcBlank	2
127	Aryamanee	2
127	CattSoup	2
151	Bandito_Roamer	1
151	_Huge_Male_	1
151	abramgray	1
151	Flegneh	1
151	I_Am_Mushkin	1
151	Batman922	1
151	cyuar	1
151	500am	1
151	hanaryheatwave	1
151	Skylord_Luke	1
151	The_Cruncy	1
151	Vetral1	1
151	Maenara	1
151	HellsSponge	1
151	claivin	1
151	Quaintster	1
151	ElectricDragon81	1
151	_Mythic____	1
151	Kyrum2169	1
151	xzvu	1
151	Hermanni__	1
151	Skippeh	1
151	little_dUki	1
151	2blox_	1
151	xolstoi	1
151	Empresario	1
151	00000000-0000-0000-0009-01f9cc38678e	1
