rank	username	minecraft:mined/minecraft:dead_bubble_coral_wall_fan
1	noam464	12
2	HellsSponge	9
3	Mahoose	8
4	Smoke____	7
5	Soplight	4
6	eitanzaki	3
7	Freak_Genius	2
7	PlasticOtari	2
9	ImpavidArcher	1
9	500am	1
9	Di_infiri	1
9	Rebytre	1
9	PigDab	1
9	binman420	1
9	FreddyFart	1
9	MightyWertu	1
9	SkateboardR6	1
9	KG1999	1
