rank	username	minecraft:mined/minecraft:pink_terracotta
1	Inbefour	455
2	Steelynan	381
3	xxPipperDipperxx	377
4	EveryonesUncle	234
5	thewindmillman	232
6	joethahobo	195
7	wobn	101
8	pintsizedrogue	97
9	beeperbeeper5	93
10	MovingFish7	89
11	ProfessorBee	87
12	AdmiralSmoke	82
13	Rumpletaezer	80
14	lordpipe	71
15	oscminus	66
16	mobunni	51
17	xolstoi	44
18	YungMaki	43
19	Lez_	35
20	Huwulling	32
21	Sleek_Storm_721	31
22	duqboy	28
23	Werbe	27
24	KarlKaek	25
25	pixelviolin	24
26	theonlymagikarp	23
26	Manaateee	23
26	Toriankel	23
29	TheSecondLord	22
30	luseis	18
30	Soplight	18
32	mwrty	16
33	Enderxz3	15
34	_Boipl_	14
35	Jimb0nat0r	13
36	AuroraValkyrie	11
36	lunathelemon	11
38	Blu3beast	10
38	Biites	10
40	r123moore	8
41	mariominejedi	6
41	Kim_Jong_eel	6
41	NameGenerat0r	6
41	FreakGenius	6
45	kekhon	5
45	MakeHistory157	5
45	Legendosh	5
48	EMC_	4
48	eitanzaki	4
48	Crowman1	4
48	ApophisNova	4
48	ooga47	4
48	jcool7	4
48	MyNamaSheff	4
48	PlasticOtari	4
56	shineh10	3
56	SvenskaHugo	3
56	Kowcio_	3
56	MineMaster0012	3
56	ZoomieZoomie	3
61	Bandito_Roamer	2
61	ConnorDanky_	2
61	EcksD	2
61	Sral7	2
65	pr33tu	1
65	_HoneySlime_	1
65	Fullut	1
65	MeowMeowMcmuffin	1
65	noam464	1
65	Krowuss	1
65	PigDab	1
65	sxc_	1
65	Nycteus_	1
65	icim	1
65	00000000-0000-0000-0009-01ff0c3e5e4f	1
