rank	username	minecraft:mined/minecraft:bamboo_wall_sign
1	Buuck_	119
2	Yamdalorian	16
3	McCakeAh	14
4	Hoid_the_Roamer	11
5	U_Mos_	10
6	Synthoum	9
7	Jimb0nat0r	8
8	pintsizedrogue	7
8	Bambuino	7
10	robonya_	5
11	lpinfinity	4
12	Mr_Byzantine	3
13	Merv__	2
13	Mr_Froxy	2
13	Enderxz3	2
16	TheSecondLord	1
16	_witch_craft_	1
16	Mr_Sun15	1
