rank	username	minecraft:mined/minecraft:bubble_coral
1	thewindmillman	312
2	Di_infiri	129
3	Kouridragon	106
4	Jackattack53	96
4	Enderxz3	96
6	Legendosh	83
7	12Magner05	59
8	ImpavidArcher	39
9	500am	36
10	beeperbeeper5	35
11	YungMaki	34
12	TheShyPig	31
13	j5ylim	27
13	skroobiez	27
15	Lez_	25
15	Fullut	25
15	Hyp3rion_	25
18	_Dean_123	24
19	pintsizedrogue	20
20	livingdaydreams	19
21	MattieHD	18
22	Merv__	17
22	Mahoose	17
24	Nicserso	16
25	Alteriity	14
25	Vetral1	14
25	djancak	14
28	AuroraValkyrie	13
28	eitanzaki	13
28	Blackberry1310	13
28	HellsSponge	13
28	lordpipe	13
33	RoskobiOne	12
33	PazinGaming	12
33	Onennon	12
33	XxCookiequeenxX	12
37	Ssor69	11
37	Mewar	11
37	HesDemonPants	11
40	luseis	10
40	__tomato	10
42	SaucyDark	9
42	ApophisNova	9
42	MyNamaSheff	9
45	kekhon	8
45	Xalithia	8
45	noam464	8
45	Marbz_	8
49	Mattesco	7
49	mihimihimihi	7
51	Inbefour	6
51	IdeallyGrey	6
53	Jovaphobic	5
53	_Nat666	5
53	crashomon	5
53	NameGenerat0r	5
53	Typadopoulos	5
53	cytotoxaint	5
53	Kowcio_	5
53	Powowowow	5
61	diamondgolem35	4
61	Archsam	4
61	TheSecondLord	4
61	MyNameIsJobo	4
61	SuperPooch06	4
61	Arceus1975	4
61	burbankbuilder28	4
61	Bumpy419	4
61	TheSeismicDuck	4
61	El_Jalapeno	4
61	Blaiku	4
61	pixelviolin	4
61	Luigipunch989	4
61	Jimb0nat0r	4
61	PlasticOtari	4
61	TheWickedBird	4
77	H0UNDFRMH3LL	3
77	dimondking777	3
77	Noah_Bez	3
77	Kakolbus	3
77	fragrantmonke444	3
77	Rumpletaezer	3
77	FreddyFart	3
77	Jiminbub	3
77	Karbl	3
77	Blu3beast	3
77	Druid95	3
77	KingMatthew506	3
89	Bandito_Roamer	2
89	6king6colt6	2
89	KarlKaek	2
89	T045RTY	2
89	titanlax	2
89	ratglock	2
89	excelsionprime	2
89	r123moore	2
89	Covalents	2
89	eiC_	2
89	Chromary	2
89	hanaryheatwave	2
89	Krowuss	2
89	HolyVenom	2
89	Maenara	2
89	EdGalbraith	2
89	Deathkob	2
89	YungWali	2
89	The_slideV3	2
89	_Karmaa	2
89	WyngGoy	2
89	Kura2218	2
89	miramyu	2
89	PortlyPete69	2
89	SpacesickPrism	2
89	fffMike	2
89	Steelynan	2
89	Biites	2
89	Yamdalorian	2
118	Groovy_MoonBird	1
118	Mr_Byzantine	1
118	TildaAndrea	1
118	Iagoku	1
118	RatatJuice	1
118	Paleshield	1
118	Incinere	1
118	Prismyst	1
118	ShedJr_	1
118	Gregward_Smith	1
118	Historical_Sand	1
118	urbeans	1
118	Ozixar	1
118	bloodbiter	1
118	eclipseboi	1
118	BilboBaggins23	1
118	set67	1
118	Blammm	1
118	surfinggiraffejp	1
118	gamerlord1324	1
118	TheDankPlatypus	1
118	NotoriousNina	1
118	CollinMH06	1
118	mexicancharlie	1
118	domagawha	1
118	Hiryu27	1
118	Voxin2K	1
118	RobotMinion101	1
118	AlexxO_o	1
118	PaperCanvas	1
118	Eerini	1
118	Jimi7hits	1
118	groofles	1
118	xDraggin	1
118	EveryonesUncle	1
118	fkGrim	1
118	KlausVonStiglitz	1
118	emreknugrlu	1
118	Manaateee	1
118	DarlaMeow	1
118	1442	1
118	pretty_pink_reno	1
118	Xclax101	1
118	Gus2005	1
118	monky_irl	1
118	sp00ky_ghost977	1
118	ZoharGoldMine	1
118	AssFullaCum	1
118	Soplight	1
118	xzvu	1
118	_i_ERROR_i_	1
118	ZeroKraken	1
118	laron58	1
118	OfficerAnvil	1
118	EcksD	1
118	TechnoNinja64	1
118	Zoeyfortnite	1
118	FishisTTV	1
118	h2p_emrld	1
118	diggydog67	1
