rank	username	minecraft:mined/minecraft:blue_stained_glass_pane
1	beeperbeeper5	649
2	Hyp3rion_	221
3	__tomato	213
4	TheShyPig	195
5	UltraZombie	156
6	Franco093	127
7	ShedJr_	112
8	epiksk8erduck	93
9	El_Jalapeno	71
10	Eraxa	59
11	masskedman	57
12	ImpavidArcher	56
13	noam464	52
14	r123moore	50
15	SkateboardR6	48
16	sp00ky_ghost977	40
17	Akoot_	36
18	MightyWertu	33
19	redikul	28
20	NomadicRobin_	25
21	TheSecondLord	24
22	eitanzaki	22
22	MustardDrinker	22
24	Mahoose	20
25	The11thDoctor	18
26	lcvezra	17
27	jacxhadow	16
27	2Stout	16
27	Wowful	16
30	PeteO1995	15
31	Merv__	14
31	teslawolf38	14
31	phomic	14
31	420BreadLizard	14
35	UncreativeArtist	13
35	Blaiku	13
35	the__Reaper4999	13
35	Legendosh	13
39	Steelynan	12
40	AuroraValkyrie	11
40	Di_infiri	11
40	Smoke____	11
43	T045RTY	10
44	titanlax	9
45	RatatJuice	8
45	Jackster03	8
45	nocturne78	8
45	Blackberry1310	8
45	Jiminie	8
50	burbankbuilder28	7
51	pintsizedrogue	6
51	rarrq	6
51	Jackattack53	6
51	KG1999	6
51	HesDemonPants	6
56	heckface	5
56	xxPipperDipperxx	5
58	KarlKaek	4
58	Hpdinosaur	4
58	walll	4
58	RobotMinion101	4
58	LordSpeed37	4
58	Njensen7	4
58	VentiHilton	4
65	Drlzyy	3
65	m_be9	3
65	Zythose	3
65	Freak_Genius	3
65	TechnoNinja64	3
70	ZaneABrain	2
70	joethahobo	2
70	MrExplorer	2
70	ROY4LE	2
70	Arceus1975	2
70	Onennon	2
70	groofles	2
70	lillips	2
70	Meatlaugh	2
70	NameGenerat0r	2
70	claivin	2
70	Pickel_Lord	2
70	SSytex_X	2
70	Spenduh	2
70	stahouo	2
70	cichy096	2
70	Nicserso	2
70	OnlyOfficial	2
70	kinas45y5	2
70	EcksDofficial	2
90	EMC_	1
90	awesomeoneme	1
90	Notta	1
90	Comma__	1
90	set67	1
90	Cloudspit	1
90	Truckoss	1
90	Kokeech	1
90	ese_wn_po	1
90	lordpipe	1
90	Dusk_95	1
90	sadvavilloso	1
90	Kyrum2169	1
90	Soplight	1
90	ATLDON	1
90	Sheldor097	1
90	Kubeusz2010	1
90	Earlesstrain4	1
