rank	username	minecraft:mined/minecraft:mushroom_stem
1	thewindmillman	48357
2	YungMaki	4090
3	Jimb0nat0r	3895
4	Frozil20	3327
5	Blaiku	1887
6	Alteriity	1790
7	Lez_	1580
8	pintsizedrogue	1513
9	joethahobo	1431
10	Hyp3rion_	1198
11	Enderxz3	1149
12	Werbe	1104
13	Di_infiri	1069
14	_Nuf	997
15	noam464	878
16	PortlyPete69	796
17	EMC_	724
18	GravitySaint	713
19	burbankbuilder28	687
20	AdmiralSmoke	666
21	Kowcio_	664
22	MightyWertu	525
23	PlasticOtari	473
24	Rumpletaezer	440
25	Sral7	427
26	ApophisNova	417
26	MyNamaSheff	417
28	Crowman1	406
29	Soplight	369
30	oscminus	336
30	claivin	336
32	luseis	334
33	xxPipperDipperxx	327
34	Huwulling	284
35	kekhon	282
36	diggydog67	256
37	12Magner05	251
37	corpsecity	251
39	lordpipe	250
40	eitanzaki	235
41	gcaisawesome	232
42	EngagedGrub41	215
43	_Huge_Male_	206
44	Historical_Sand	198
45	AuroraValkyrie	191
46	FreakGenius	178
47	EveryonesUncle	171
48	Manaateee	157
49	TechnoNinja64	151
50	_i_ERROR_i_	144
51	H72l9w	143
52	Arceus1975	142
53	nattybears	138
54	Elastiq	136
55	Mahoose	135
56	Mattesco	134
57	Blazebit	127
58	IamCL4SSY	112
59	Dakar_	111
59	Steelynan	111
59	Ezekson	111
62	Hoid_the_Roamer	105
63	Blackberry1310	103
64	beeperbeeper5	102
65	Marbz_	98
66	Rebytre	96
67	Euclidoris	91
68	Hermanni__	90
69	CoffeeNoir	85
69	titanlax	85
71	Maenara	84
72	Jovaphobic	82
73	ConnorDanky_	81
74	Winston_Ingram	80
75	XxCookiequeenxX	78
76	Fullut	75
77	Tyrannosplart	74
78	TheShyPig	72
78	Xclax101	72
78	calamariclam_I	72
81	Krowuss	68
81	SvenskaSara	68
83	Zoeyfortnite	66
84	m_be9	63
85	PigDab	61
86	CattSoup	60
87	Deathkob	58
88	DinoDoctor_	56
89	Shiirazu	55
89	Spacewardharpy7	55
91	Inchef	54
91	TheDankPlatypus	54
93	teslawolf38	52
93	djancak	52
95	HellsSponge	51
96	NieToksikpl	49
97	Awyrlas	48
97	Hiryu27	48
99	chipklip	47
99	Hpdinosaur	47
101	KomputerDude	46
101	TheFlfthHorseman	46
103	groofles	45
103	NameGenerat0r	45
103	sp00ky_ghost977	45
106	500am	43
107	Ryker	42
107	Paintz	42
107	Chromary	42
110	WET_WET_WET	41
110	SingedBread	41
112	hanaryheatwave	39
113	ShedJr_	38
113	MattieHD	38
115	jnp_gaming	37
116	set67	35
116	CarryLine	35
116	DracZSenpai	35
119	eclipseboi	34
119	excelsionprime	34
119	AlphaWolfPlaysMC	34
119	Hisiste	34
123	carpet4_69	31
124	WithoutPyr	30
124	ImpavidArcher	30
124	Mr_Sun15	30
127	Notta	29
127	RobotMinion101	29
127	wezzzi	29
127	TheSeismicDuck	29
127	lcvezra	29
132	ROY4LE	28
132	Kubelz	28
134	SpaceGrenadier	27
134	El_Jalapeno	27
136	actuallysadie	26
136	PeteO1995	26
136	F_22_	26
136	Lord_Jord	26
136	Sorry_Arey	26
136	censorsheep	26
142	diamondgolem35	25
142	Nicserso	25
144	_Razaria	24
144	gilesmcriles	24
144	LexMakesHistory	24
147	F_Uhre	23
147	GigaSl	23
149	ExtraDumb	22
149	thescout7	22
151	RatatJuice	21
152	Koffeeinz	20
152	LunarRedPanda	20
152	AlexxO_o	20
152	Akoot_	20
152	pixelviolin	20
157	Ananas55	19
157	PazinGaming	19
157	MoistMicrowave	19
157	FirsTimeGamingTV	19
157	TableTim	19
157	Onennon	19
157	Moofyman	19
157	Drewen24	19
157	SaintJosie	19
157	WyngGoy	19
167	MuffinManzz	18
167	SaucyDark	18
167	BilboBaggins23	18
167	stuy9	18
167	Lutres_	18
172	MakeHistory157	17
172	ediballbearings	17
172	CalebDHawk	17
172	TheOnlyRake	17
176	KingFaenor	16
176	ItzYaBoiPicard	16
176	MinerDec	16
176	Darkgon	16
176	UCP_TheKingK	16
176	LeEricc	16
176	stellarjay	16
183	Allchemy	15
183	AngalexikCZ	15
183	Russiancat1	15
183	lillips	15
183	__tomato	15
188	T045RTY	14
188	Windo_licker	14
188	legal_tax_evader	14
188	Jackattack53	14
188	iElijah	14
188	avalan64	14
188	Eraxa	14
188	obzii	14
196	NormanFetus	13
196	Wowful	13
196	The_slideV3	13
199	dudcreeper	12
199	Merv__	12
199	openatheclose	12
199	ProfessorBee	12
199	M_Patata	12
199	JustAWill_	12
199	LeGold	12
199	sq0id	12
199	MasterNueve	12
199	KingMatthew506	12
209	Harotio	11
209	fanofbands101	11
209	Killercatty78	11
209	SyntheticSurgeon	11
209	LeonelSalamanca	11
209	Spenduh	11
209	Kubeusz2010	11
209	Misterkill700	11
217	PhantomsGhost_	10
217	BigBootyHudge	10
217	BINKENSTOCK	10
217	NotMeanttoChange	10
217	PegLegPete93	10
217	whoaluv	10
217	kubinek69	10
217	JESS_THE_RERE	10
217	Lekol	10
217	mihimihimihi	10
217	MovingFish7	10
217	widgewee	10
217	Kyrum2169	10
217	BlankityMcBlank	10
217	TheALV	10
217	tompup	10
233	Seyaboy	9
233	MinttyFressh	9
233	Scattman_	9
233	Crasswolf	9
233	CollinMH06	9
233	Inbefour	9
233	Blu3beast	9
240	Prismyst	8
240	SMELLY_NAPPY	8
240	shadowthemonkey	8
240	SuperPooch06	8
240	nonarso	8
240	EcksD	8
246	MunkaKris	7
246	ECstardust	7
246	CryoInferno_	7
246	Scathra	7
246	eviltunix	7
246	SharpDev	7
246	Fast_Turtle	7
246	Kura2218	7
246	Optiprimus	7
246	EtherealEspresso	7
246	Nekomin0	7
246	trexgb	7
258	seanitoo	6
258	Diamondpanda4	6
258	DrogV2	6
258	nocturne78	6
258	TuesdayEpisode	6
258	lilsay	6
258	crying_wolf_13	6
258	SellyZ	6
258	__TheNorseMan__	6
258	Touched_Bread	6
258	Kakolbus	6
258	andy_rex	6
258	The11thDoctor	6
258	Benjii05	6
258	audiocracked	6
258	BigCronkin	6
258	VilsSwag	6
258	Toriankel	6
258	SUN_DREAM	6
258	IAmTheWalrus910	6
258	xzvu	6
258	anbbang	6
280	Ninzyyy	5
280	_darky1_	5
280	TildaAndrea	5
280	Incinere	5
280	HollieDaNugget	5
280	Franco093	5
280	Whiterooster001	5
280	Stynxy	5
280	Cryptacity	5
280	joppen12	5
280	Austine6698	5
280	Nach0Bear	5
280	Ithaca19	5
280	Asteri05	5
280	ARandomHedge	5
280	benediktine1	5
280	dragonwarrior206	5
280	CharlieButt	5
280	Avrelion	5
280	yheece	5
280	Kynigito	5
