rank	username	minecraft:mined/minecraft:light_blue_wool
1	2bolx_	688
2	thewindmillman	602
3	rarrq	574
4	Smoke____	527
5	12Magner05	460
6	PeteO1995	405
7	mariominejedi	338
8	ShedJr_	332
9	Di_infiri	287
10	Tjhodskins19	269
11	Ezekson	257
12	nitram49b	247
13	kekhon	229
14	Blackberry1310	222
14	sadvavilloso	222
16	YungMaki	207
17	Hoid_the_Roamer	202
18	DarlaMeow	194
19	lorpus	188
20	ConnorDanky_	172
21	Kowcio_	158
22	gusstationwerker	157
23	lordpipe	155
24	pintsizedrogue	143
25	beeperbeeper5	142
26	TheShyPig	132
27	fw3xywashere	127
27	TechnoNinja64	127
29	EMC_	126
30	Wooptey	114
31	Eraxa	107
32	Lez_	106
33	bladeefan2009	105
34	Smashic	104
35	Motsaro	101
36	mwrty	99
36	Bumpy419	99
38	ImpavidArcher	95
39	fkGrim	91
40	Chromary	87
41	joethahobo	84
42	NameGenerat0r	82
43	Legendosh	78
44	Werbe	71
45	TheSecondLord	61
46	Frozil20	56
46	6king6colt6	56
48	Sral7	53
49	xxPipperDipperxx	49
50	olliebollie48	48
50	Hermanni__	48
52	Crowman1	46
53	AlexxO_o	35
54	seanitoo	34
54	Mattesco	34
56	Mahoose	29
57	FishyBoy3811	28
58	Xclax101	27
58	SpacesickPrism	27
60	noam464	26
61	DinoDoctor_	25
61	RebelAndroid	25
61	EveryonesUncle	25
64	Lord_Jord	23
65	RoofTyler	22
65	PortlyPete69	22
67	Merv__	20
67	Winston_Ingram	20
69	k_ce	19
69	hanaryheatwave	19
71	Soplight	18
72	Smussa	17
73	luseis	16
74	500am	15
74	KingMatthew506	15
76	heckface	14
76	HellsSponge	14
78	eitanzaki	13
78	Skylord_Luke	13
78	Sheldor097	13
81	LAVA129	12
81	_Karmaa	12
81	CattSoup	12
84	dabloons	11
85	SaucyDark	10
85	nocturne78	10
85	MattieHD	10
85	Tyrannosplart	10
85	EcksD	10
90	Mr_Sun15	9
91	Hyp3rion_	8
91	MrQuanQuan	8
93	chipklip	7
93	MustaLoordi	7
93	Blaiku	7
93	xzvu	7
93	Enderxz3	7
93	PlasticOtari	7
99	bigstankyy	6
99	Nostrom	6
99	Fuad_R	6
99	Steelynan	6
99	Iamthejo	6
99	Jimb0nat0r	6
105	diamondgolem35	5
105	Akoot_	5
105	Spacewardharpy7	5
105	MakeHistory157	5
105	Zoeyfortnite	5
110	hzs91	4
110	burbankbuilder28	4
110	Kondzik2008	4
110	GooseWithin	4
110	handsome_strong	4
110	Groundler	4
110	SvenskaHugo	4
110	BlankityMcBlank	4
110	PlzNoBM	4
119	Inchef	3
119	Jackattack53	3
119	Truckoss	3
119	Inbefour	3
119	fluddd	3
119	Quotary	3
125	ProbablyNick	2
125	Franco093	2
125	Alteriity	2
125	Myszoaz	2
125	Fullut	2
125	r123moore	2
125	fr_ser	2
125	gabriels543	2
125	Snowflowe	2
125	ooga47	2
125	R1CHY2K	2
125	ChocolatePepsi	2
125	lillips	2
125	StinkyDiplomat	2
139	SmashingPump	1
139	teslawolf38	1
139	q_wq	1
139	Huwulling	1
139	Valoth	1
139	m_be9	1
139	pr33tu	1
139	SoftSix	1
139	_Dean_123	1
139	Covalents	1
139	AJplaysMC_	1
139	WET_WET_WET	1
139	Arceus1975	1
139	Zythose	1
139	ese_wn_po	1
139	jacobsoy	1
139	Awesomely_SYD	1
139	Kyrum2169	1
139	SammiWolfGirl	1
139	Dogcorn69420	1
139	fffMike	1
139	The_SlideV5	1
