rank	username	minecraft:mined/minecraft:purpur_pillar
1	masskedman	2072
2	YungMaki	1915
3	eiC_	1361
4	mwrty	1057
5	PhantomsGhost_	1004
6	m_be9	964
7	lordpipe	723
8	500am	711
9	Bandito_Roamer	687
10	yulgur1	577
11	Mewar	545
12	PigDab	539
13	Ecplosive	532
14	beeperbeeper5	483
15	MightyWertu	465
16	F_Uhre	462
17	6king6colt6	452
18	NameGenerat0r	417
19	Comma__	388
20	fkGrim	314
21	Frozil20	303
22	Maenara	276
23	Werbe	266
24	Blu3beast	245
25	Inbefour	234
26	striker90333	213
27	bigstankyy	205
28	Fullut	203
29	AdmiralSmoke	200
30	mihimihimihi	199
31	OG_Songsee	189
32	TheSecondLord	186
33	Rich_Kat	182
34	vandmanden	179
35	Jackattack53	177
36	Racengan	174
37	Dogcorn69420	159
38	oscminus	158
38	claivin	158
40	noam464	155
41	Awyrlas	150
42	Enderxz3	140
43	thescout7	139
44	jnp_gaming	138
45	lizardfightclub	133
46	AuroraValkyrie	131
46	_TCARREIRA_	131
48	Spacewardharpy7	130
49	Covalents	128
50	Winston_Ingram	125
51	FreakGenius	122
52	surfinggiraffejp	119
53	Iagoku	117
54	Nicserso	114
55	gcaisawesome	109
56	MoistMicrowave	103
56	33sudo	103
58	ROY4LE	100
58	Bumpy419	100
58	MustaLoordi	100
58	Hermanni__	100
62	eitanzaki	96
62	Blaiku	96
64	xzvu	95
65	HellsSponge	89
65	lcvezra	89
67	TooManyDuck	88
68	RoboTramp7865	81
69	crying_wolf_13	78
69	Zythose	78
71	Sral7	72
72	geekbird	71
73	Rumpletaezer	65
74	audiocracked	63
75	TheEnderMan548	61
75	TechnoNinja64	61
77	kekhon	59
78	EveryonesUncle	58
79	yheece	57
79	Onennon	57
79	wwwwinnebagoooo	57
79	laron58	57
83	Historical_Sand	56
83	Hisiste	56
85	Fizznut909	55
86	MinttyFressh	54
86	Warlord324	54
86	JayToe	54
89	Manaateee	53
90	_Meow_Mix	52
91	brofrickcheaters	51
92	Groundler	50
93	legal_tax_evader	49
93	tartanboy	49
93	UrbanPlanningEx	49
96	Afinnity	48
97	mariominejedi	47
98	Razzgriz	46
99	Jij0	45
100	Ryan_GEMS	44
100	Zaridey	44
102	WET_WET_WET	42
102	Shogunite	42
104	poopybh	41
104	MyNameIsJobo	41
106	Di_infiri	39
107	fluddd	38
108	T045RTY	37
108	Xclax101	37
110	Ezekson	35
111	Ailmast	34
112	Secret_Canary	32
112	thewindmillman	32
112	Tyrannosplart	32
115	BodaciousCake	31
116	SellyZ	30
