rank	username	minecraft:mined/minecraft:infested_stone
1	Iamthejo	1760
2	EMC_	678
3	TheSecondLord	637
4	Werbe	507
5	q_wq	251
6	Shogunite	220
7	Inbefour	215
8	EcksD	191
9	Nicserso	190
10	pixelviolin	186
11	TheShyPig	158
12	Hyp3rion_	157
12	Quotary	157
14	YungMaki	144
15	pintsizedrogue	134
15	HellsSponge	134
17	_i_ERROR_i_	106
18	fluddd	100
19	theonlymagikarp	93
20	TheBananaKat	85
21	6king6colt6	80
22	eitanzaki	77
22	Spenduh	77
24	bigstankyy	74
25	The_Quack_Dealer	73
26	h2p_emrld	72
27	PazinGaming	70
27	SvenskaHugo	70
29	Jonte0599	67
29	HelloIamSora	67
31	Fullut	64
32	elliebelle107	63
33	Cowison	62
33	MakeHistory157	62
35	Typadopoulos	61
36	thewindmillman	59
36	oscminus	59
36	claivin	59
39	12Magner05	58
40	Xclax101	56
41	ApophisNova	52
41	MyNamaSheff	52
43	SingedBread	51
43	FishisTTV	51
45	beeperbeeper5	50
46	ReSynced	49
47	Spacewardharpy7	48
48	Hoid_the_Roamer	47
48	Skylord_Luke	47
50	ColeSnyder	46
50	gcaisawesome	46
52	TheOuterCore	45
53	Lez_	44
53	bloodbiter	44
53	Soffbord	44
53	Yamdalorian	44
57	PhantomsGhost_	41
58	joethahobo	40
58	kekhon	40
58	ooga47	40
58	Cocoamallows	40
58	hermmm_	40
63	Soap_Bender	39
63	fffMike	39
65	Flores991	38
65	jacxhadow	38
67	royal_2	37
67	ROY4LE	37
69	Frozil20	34
69	Steelynan	34
69	Skippeh	34
72	El_Jalapeno	33
72	AssFullaCum	33
74	UncreativeArtist	32
74	Blaiku	32
74	TheKingK_	32
77	Gregward_Smith	31
78	benediktine1	30
78	Snowflowe	30
78	Bumpy419	30
78	cytotoxaint	30
82	Di_infiri	29
82	Njensen7	29
84	Comma__	28
84	Zythose	28
84	RedcatVII	28
84	Kowcio_	28
84	trexgb	28
89	CoffeeNoir	27
89	TheThomas69	27
89	Awyrlas	27
89	Windo_licker	27
89	TheTommyGun63	27
89	Chaotic1s	27
89	PortlyPete69	27
96	wezzzi	26
96	UrbanPlanningEx	26
98	livingdaydreams	25
99	Blackberry1310	24
99	PigDab	24
101	Toriankel	23
102	pappaberg	22
103	Franco093	21
103	m_be9	21
103	Winklepicker279	21
103	NomadicRobin_	21
103	luseis	21
103	Fildyr	21
103	Ze_BaronKrigler	21
110	fr0stss	20
110	PeteO1995	20
110	non089	20
110	Enderxz3	20
114	k_ce	19
114	Houstonion	19
114	Julmish	19
114	MOSS000	19
114	Stynxy	19
114	djancak	19
114	ConnorDanky_	19
114	Biites	19
122	BlancoFlaco	18
122	Tolhart	18
122	Kubelz	18
122	Ecplosive	18
122	Strangemonkey71	18
122	07shiny	18
128	Bandito_Roamer	17
128	SaucyDark	17
128	HUNTERmaun	17
128	Zaridey	17
128	ougstur	17
128	Russiancat1	17
128	_Yonk_	17
135	F_Uhre	16
135	Bloo2406	16
135	Racengan	16
135	WyngGoy	16
135	bloomkieren	16
140	SyK7	15
140	_Dean_123	15
140	G1ldor	15
140	CollinMH06	15
140	Eczbox	15
140	Corbsman	15
140	Kouridragon	15
140	SpaggeDR	15
140	KeruNatsema	15
140	StarCookiees_	15
140	Eczbek	15
140	Erased_Identity	15
152	TheBiggestFeller	14
152	Ryan_GEMS	14
152	MyNameIsJobo	14
152	Onennon	14
152	NeoJordache	14
157	seanitoo	13
157	Apollo_993	13
157	teslawolf38	13
157	iElijahi	13
157	500am	13
157	The11thDoctor	13
157	738b4f65-6cbd-4ead-ba31-c14211abfb06	13
157	Deodorante	13
157	rotten_mango	13
157	SwooshBoi	13
157	Kura2218	13
168	Tobinator_007	12
168	_stets	12
168	SmashingPump	12
168	Humpcat	12
