rank	username	minecraft:mined/minecraft:red_concrete
1	TheSecondLord	2933
2	Frozil12	2375
3	Deathkob	2280
4	oxfordschool	2107
5	lordpipe	1847
6	Onennon	1836
7	sebastiensaborio	1774
8	Nicky_H225	1517
9	beeperbeeper5	1454
10	YungMaki	1336
11	SSytex_X	1332
12	Smoke____	1250
13	MousePlays	1105
14	MyNameIsDakar	916
15	Sky_light_KING	788
16	NoChumpChange	725
16	jnp_gaming	725
18	Arceus1975	713
19	EveryonesUncle	657
20	emrekn	623
21	FirsTimeGamingTV	552
22	noodlepack	537
23	Jovaphobic	534
24	Blackberry1310	529
25	Spacewardharpy7	489
26	AuroraValkyrie	485
27	Merv__	455
28	h2p_emrld	392
29	chipklip	390
30	Optiprimus	365
31	Omar_Alone	355
32	Fullut	340
33	ElKaySVK	331
34	GoofyBread	328
34	fluddd	328
36	master9067	325
37	m_be9	319
38	EMC_	314
39	LetsDoItLive	313
40	EcksDofficial	271
41	bloodbiter	268
42	Groovy_MoonBird	264
43	Freak_Genius	249
44	Xovalt_	240
45	Notta	220
46	TheDankPlatypus	219
47	IAmTheWalrus910	216
48	HellsSponge	208
49	rarrq	195
49	__tomato	195
51	Soplight	156
52	PlasticOtari	155
53	Chromary	151
54	heckface	148
55	kinas45y5	140
56	PortlyPete69	139
57	bigstankyy	131
58	WET_WET_WET	129
59	El_Jalapeno	128
60	lcvezra	123
61	pixelviolin	111
62	TechnoNinja64	109
63	lillips	103
64	ShedJr_	101
64	PlzNoBM	101
66	ImpavidArcher	99
67	500am	90
68	thewindmillman	89
69	CaptainDeadBread	78
70	TheTommyGun63	71
71	ROY4LE	70
72	noam464	65
72	Soap_Bender	65
72	YoshikageBites	65
75	Ssor69	64
75	MakeHistory157	64
75	Sheldor097	64
78	12Magner05	63
79	SquadMonster	56
80	obzii	54
81	thescout7	45
82	Blaiku	41
83	StanceTB	39
84	Xalithia	38
85	Eraxa	36
86	burbankbuilder28	34
87	kekhon	33
88	Mahoose	30
89	MissCeleste7	24
90	MightyWertu	22
90	Kowcio_	22
92	6king6colt6	19
92	eitanzaki	19
94	Akoot_	18
95	Werbe	15
96	moist_jellyfish	11
97	ReverendSmith	10
98	joethahobo	9
99	himak1	8
99	Queen_Jalapeno	8
99	Quinasin	8
99	_Bguette_	8
99	LexMakesHistory	8
104	CollinMH06	7
104	SkateboardR6	7
106	Ezekson	6
106	diggydog67	6
108	Ahketen	5
108	Warlord324	5
110	epiksk8erduck	4
110	Poppy235	4
112	_NieToksikpl_	3
112	mwrty	3
112	Di_infiri	3
112	CruncyIsTaken	3
116	susbakaimpostor	2
116	Paleshield	2
116	Felaxo12	2
116	Digcove	2
116	LoboTheLobster	2
116	Inchef	2
116	pappaberg	2
116	wordboy107	2
116	Dogcorn69420	2
116	KingMatthew506	2
116	Sral7	2
127	ProbablyNick	1
127	ColeSnyder	1
127	Incinere	1
127	MattieHD	1
127	wiqor	1
127	a24680	1
127	eli_tschki	1
127	Jackattack53	1
127	vampgey	1
127	wTXop	1
127	Skylord_Luke	1
127	k1ngGilgamesh	1
127	Mattesco	1
127	TheShyPig	1
127	NameGenerat0r	1
127	claivin	1
127	Ze_BaronKrigler	1
127	Spenduh	1
127	stahouo	1
127	SammiWolfGirl	1
127	MilleGrug	1
127	EcksD	1
127	Legendosh	1
127	UrbanPlanner1978	1
