rank	username	minecraft:mined/minecraft:dropper
1	noam464	1788
2	Di_infiri	888
3	HellsSponge	788
4	thescout7	653
5	eitanzaki	611
6	Jackattack53	477
7	Eczbek	394
8	Werbe	362
9	Hyp3rion_	290
10	Blaiku	270
11	ProfessorBee	265
12	m_be9	261
13	Spacewardharpy7	237
14	PigDab	207
15	thewindmillman	200
16	Eczbox	168
17	FreakGenius	167
18	Alteriity	160
19	non089	134
20	EcksD	132
21	Sral7	115
22	_Mythic____	110
23	Lez_	107
24	EMC_	104
25	12Magner05	98
26	Arceus1975	92
27	AdmiralSmoke	87
28	WyngGoy	86
29	MightyWertu	76
30	Deathkob	72
31	mihimihimihi	70
32	fffMike	64
33	MyNameIsJobo	60
34	sp00ky_ghost977	57
35	pixelviolin	54
36	Fildyr	52
37	SteveCraftBlocks	51
38	Ryan_GEMS	49
39	Jimb0nat0r	48
40	pintsizedrogue	46
41	Soplight	45
42	Fuad_R	43
43	mariominejedi	39
43	PortlyPete69	39
43	FishisTTV	39
46	skrongus	38
47	Kakolbus	36
48	Wowful	35
49	Inchef	33
49	UCP_TheKingK	33
51	Awyrlas	32
52	Archsam	31
53	beeperbeeper5	30
54	Historical_Sand	27
54	Eraza	27
56	Mattesco	26
56	Lord_Jord	26
56	Groundler	26
56	tsitrawhy	26
60	ConnorDanky_	25
61	Kowcio_	24
61	Ezekson	24
63	YungMaki	22
63	PlasticOtari	22
65	jnp_gaming	21
66	gcaisawesome	20
66	Zythose	20
66	El_Jalapeno	20
66	EngagedGrub41	20
70	Apollo_993	19
70	TechnoNinja64	19
72	Hoid_the_Roamer	18
72	yatsuta	18
74	Merv__	17
74	kekhon	17
76	eiC_	16
76	Snowflowe	16
76	The_slideV3	16
79	Winklepicker279	15
79	ReSynced	15
79	BartekB19	15
82	_Huge_Male_	14
82	mwrty	14
82	r123moore	14
82	Warlord324	14
86	selectrix	13
86	Inbefour	13
88	NotP0tato	12
88	IgnoredBee	12
88	Fullut	12
88	Tmb1	12
88	IamCL4SSY	12
88	EveryonesUncle	12
88	Manaateee	12
88	AstreaTSS	12
88	Blu3beast	12
88	Barlycorn	12
98	Franco093	11
98	Huwulling	11
98	Marbz_	11
98	TheShyPig	11
98	Racengan	11
98	lordpipe	11
98	Spenduh	11
98	Zoeyfortnite	11
106	TheSecondLord	10
106	Scathra	10
106	Rumpletaezer	10
106	MilleGrug	10
110	SmashingPump	9
110	Frozil20	9
110	livingdaydreams	9
110	_Nuf	9
110	CarltheCuck	9
110	Onennon	9
110	Maenara	9
110	fluddd	9
110	iSammael	9
110	Quotary	9
120	Jindong	8
120	ImpavidArcher	8
120	Quincannon	8
120	obzii	8
120	Legendosh	8
125	_Virify_	7
125	diamondgolem35	7
125	Swexti	7
125	TheDankPlatypus	7
125	Akoot_	7
125	Jordan_R	7
131	q_wq	6
131	nattybears	6
131	Smashic	6
131	xxPipperDipperxx	6
131	FishyBoy3811	6
131	luseis	6
131	Dogcorn69420	6
138	joethahobo	5
138	bloodbiter	5
138	Paintz	5
138	M_Patata	5
138	SlayerCrypto	5
138	Skylord_Luke	5
138	_Bguette_	5
138	MasterNueve	5
138	MineMaster0012	5
138	Segotep999	5
138	djancak	5
149	heckface	4
149	500am	4
149	Eraxa	4
149	Kijiki	4
149	__tomato	4
149	Winston_Ingram	4
149	CattSoup	4
149	HesDemonPants	4
157	T045RTY	3
157	H72l9w	3
157	Rich_Kat	3
157	SellyZ	3
157	Covalents	3
157	ARandomHedge	3
157	ibarker21	3
157	_8man	3
157	Darkgon	3
157	censorsheep	3
157	SkateboardR6	3
157	MovingFish7	3
157	Druid95	3
157	voiding_	3
157	PlzNoBM	3
157	tartanboy	3
157	Enderxz3	3
157	UrbanPlanningEx	3
157	calamariclam_I	3
176	Mr_Byzantine	2
176	ECstardust	2
176	Incinere	2
176	Wooptey	2
176	RebelAndroid	2
176	Prodiginus	2
176	Blackberry1310	2
176	ItsHydroMC	2
176	TheThomas69	2
176	lorpus	2
176	Zaridey	2
176	Felenov	2
176	AlexxO_o	2
176	J4k__	2
176	bearlystraight	2
176	Xclax101	2
176	GravitySaint	2
176	Typadopoulos	2
176	CornOnTheCobalt	2
176	starbits140	2
176	ProbsNotNova	2
176	Logain42	2
176	jcool7	2
176	Hermanni__	2
176	erkada	2
176	xolstoi	2
202	ItsGrayWolf	1
202	Tobinator_007	1
202	dimondking777	1
202	Ailmast	1
202	I_Am_Mushkin	1
202	ssleepless	1
202	tuckerdoodle	1
202	Mahoose	1
202	ShedJr_	1
202	rarrq	1
202	Mercadies	1
202	NieToksikpl	1
202	Saucepeh	1
202	MinttyFressh	1
202	catandmoose	1
202	Guillemet	1
202	_Dean_123	1
202	excelsionprime	1
202	emrekn	1
202	KGTV	1
202	benediktine1	1
202	prizm_	1
202	Purplehere	1
202	shadowthemonkey	1
202	hanaryheatwave	1
202	Nyxiom_	1
202	Krowuss	1
202	Hiryu27	1
202	seramalen	1
202	F_Uhre	1
202	theofiel	1
202	Drewen24	1
202	HolyVenom	1
202	FreddyFart	1
202	Fuhrer_Teemo	1
202	MAns_44	1
202	BumbleBeever	1
202	Factoroni	1
202	ItsDeltaMC	1
202	StarCookiees_	1
202	SvenskaHugo	1
202	FadedSpade82	1
202	Kyrum2169	1
202	_TCARREIRA_	1
202	_i_ERROR_i_	1
202	KingMatthew506	1
202	anbbang	1
202	2blox_	1
202	vandmanden	1
202	Wanjibon	1
