rank	username	minecraft:mined/minecraft:deepslate_tile_slab
1	thewindmillman	1014
2	Ryker	252
3	Ezekson	249
4	Hyp3rion_	212
5	Megarboh	195
6	500am	191
7	Jimi7hits	180
8	Smoke____	174
9	00000000-0000-0000-0009-01ff0c3e5e4f	164
10	ImpavidArcher	160
11	LeauVox4921	140
12	Jackattack53	129
13	SvenskaHugo	104
14	EMC_	90
15	rarrq	87
16	RebelAndroid	86
16	Solar_Power	86
18	groofles	75
19	Marbz_	68
20	pintsizedrogue	58
21	Hermanni__	53
22	benediktine1	50
23	The_Fulgurator	39
24	SquadMonster	38
25	Mahoose	32
26	Winklepicker279	31
27	12Magner05	30
28	Kowcio_	25
29	Lord_Doob	24
30	PlasticOtari	23
31	kyouma777	22
32	breadbowlgamer	20
33	TAKrules	15
34	hm947	14
34	91stCataclysm	14
34	Steelynan	14
37	Arceus1975	12
38	beeperbeeper5	9
39	AltnumberF4	6
40	Inchef	5
40	PigDab	5
40	UCP_TheKingK	5
40	CalebDHawk	5
44	RadarHz	4
45	T045RTY	3
45	Blackberry1310	3
47	Sleepy_Time_	2
47	TheSecondLord	2
47	lordpipe	2
47	sp00ky_ghost977	2
47	microcrisp	2
52	Moofyman	1
52	mobunni	1
