rank	username	minecraft:mined/minecraft:waxed_oxidized_cut_copper_slab
1	pintsizedrogue	110
2	Manaateee	14
3	luseis	10
4	fragrantmonke444	6
5	pretty_pink_reno	4
6	Enderxz3	3
7	Pumpkin_P_Patch	2
