rank	username	minecraft:mined/minecraft:polished_andesite_slab
1	burbankbuilder28	2006
2	Mahoose	1728
3	joethahobo	1273
4	Rebytre	1204
5	Ezekson	1151
6	12Magner05	1132
7	Spenduh	1016
8	Lord_Jord	863
9	NomadicRobin_	841
10	TheShyPig	610
11	El_Jalapeno	580
12	PlasticOtari	515
13	Xclax101	498
14	500am	495
15	m_be9	415
16	rarrq	403
17	Dedalus36	400
18	valkam13	397
19	EcksDofficial	383
20	Hyp3rion_	378
21	CalebDHawk	377
22	Historical_Sand	331
23	Di_infiri	313
24	EveryonesUncle	262
25	LeauVox4921	220
26	titanlax	213
27	beeperbeeper5	211
28	_Karmaa	162
29	HellsSponge	154
30	Arceus1975	143
31	eitanzaki	139
32	Soplight	136
33	mawileite	135
33	Quotary	135
35	the_fireminer	130
36	awesomeoneme	123
37	Jackster03	121
38	6king6colt6	99
39	The_slideV3	97
40	kekhon	96
41	LazySupport00	95
42	Blu3beast	90
43	Comma__	81
44	Steelynan	80
45	Sleek_Storm_721	79
46	Snowflowe	73
46	obzii	73
48	DarkS0L	69
49	CharlieButt	66
50	2Stout	65
50	_TCARREIRA_	65
52	07shiny	63
53	Natty	62
54	ApophisNova	58
54	pixelviolin	58
54	MyNamaSheff	58
57	Smoke____	57
58	oxfordschool	55
59	Merv__	53
60	Ssor69	50
61	Sky_light_KING	49
62	noam464	46
62	xX_Stalin69_Xx	46
64	Eraxa	44
64	kyouma777	44
66	Touched_Bread	43
67	xxPipperDipperxx	42
68	DemTechAlpha	41
68	fluddd	41
70	ShedJr_	40
71	Inchef	38
71	Groundler	38
71	Yahir091	38
74	_stets	37
74	SellyZ	37
76	Onennon	35
77	cog	34
77	Racengan	34
79	TheThomas69	31
79	Maenara	31
79	Spacewardharpy7	31
82	pintsizedrogue	30
83	Stiar	29
84	Skylord_Luke	28
85	impossibleteapot	27
85	dendydoom	27
87	Groovy_MoonBird	25
88	Motsaro	23
88	camando92	23
90	Megarboh	22
90	DermeinUser	22
90	Zythose	22
93	HyperCave	21
93	Jiminie	21
93	_Dri_	21
96	seanitoo	19
96	Segotep999	19
96	VentiHilton	19
99	Enderslayerxz3	18
99	Sral7	18
101	himak1	17
101	Nycteus_	17
103	Tommhh	16
103	Hpdinosaur	16
103	NotMeanttoChange	16
103	fkndweeb	16
103	Meatlaugh	16
103	Jamstroxian	16
109	Smashic	15
109	CrookedKaptain	15
109	ItsAki_	15
112	MrExplorer	13
112	Chromary	13
114	lilsay	12
114	_Boipl_	12
114	GravitySaint	12
117	T045RTY	11
117	SquadMonster	11
117	StinkyDiplomat	11
117	Princesse_Louise	11
121	G1ldor	10
121	prizm_	10
121	Jackattack53	10
124	Kijiki	9
125	jimintyy	8
125	Cryptacity	8
125	audiocracked	8
125	claivin	8
125	Legendosh	8
130	mwrty	7
130	00000000-0000-0000-0009-01f898304150	7
132	NoxxxxiS	6
132	proxivitoid	6
132	BumbleBeever	6
132	underscore_2	6
132	TechnoNinja64	6
137	YungJakobo	5
137	SuperPooch06	5
137	censorsheep	5
137	Frozil12	5
137	YungMaki	5
142	ImpavidArcher	4
142	Blackberry1310	4
142	TheSecondLord	4
142	chipklip	4
146	susbakaimpostor	3
146	youhjjhhhjj	3
146	thewindmillman	3
146	k1ngGilgamesh	3
146	Inbefour	3
146	Matorz	3
146	UCP_TheKingK	3
146	YoshikageBites	3
154	RoskobiOne	2
154	teslawolf38	2
154	Sabby65	2
154	Dogbound	2
154	FirsTimeGamingTV	2
154	groggregg42	2
154	thescout7	2
154	r123moore	2
154	SamZombie	2
154	Werbe	2
154	yulgur1	2
154	_Bguette_	2
154	Soap_Bender	2
154	Warlord324	2
154	WyngGoy	2
154	carbo_bro	2
154	Zoeyfortnite	2
154	h2p_emrld	2
172	fanofbands101	1
172	dabloons	1
172	KarlKaek	1
172	ssleepless	1
172	Incinere	1
172	_themselves	1
172	Myszoaz	1
172	Swexti	1
172	tramizu	1
172	LoboTheLobster	1
172	SDMNAEK	1
172	jacxhadow	1
172	MinttyFressh	1
172	Sloths_Ender	1
172	ROY4LE	1
172	gcaisawesome	1
172	Bazongoman	1
172	loveseeker	1
172	CrateOfBoxes	1
172	Hiryu27	1
172	HAIRYCLOUD626	1
172	ooga47	1
172	Drewen24	1
172	fw3xywashere	1
172	Blaiku	1
172	Chaotic1s	1
172	Kowcio_	1
172	Dogcorn69420	1
172	Hermanni__	1
172	Nicserso	1
172	Lowjinx	1
172	The_SlideV5	1
