rank	username	minecraft:mined/minecraft:cherry_door
1	MattieHD	21
2	Lez_	15
3	Spaghettatron	11
4	KamFurnace	9
5	Reneedium	8
5	OreTheBear	8
7	Merv__	7
7	RatatJuice	7
9	Mr_Byzantine	5
9	craaaash	5
11	LovableFemboy	4
11	IlkeCookes_	4
11	MisfitsMike	4
14	shineh10	3
14	MyMawgDonaldsGon	3
14	TheSecondLord	3
14	Werbe	3
14	thatsjustfrankie	3
19	Moofyman	2
19	cutelilreno	2
19	CacheOut	2
19	11Brewer	2
23	CLG_Kata	1
23	Napoleonpancake	1
23	Krowuss	1
23	Soplight	1
23	robonya_	1
23	Steelynan	1
23	Enderxz3	1
