rank	username	minecraft:mined/minecraft:waxed_oxidized_cut_copper_stairs
1	Marbz_	9
1	Manaateee	9
1	Spaghettatron	9
4	MyMawgDonaldsGon	8
4	Secret_Canary	8
6	thewindmillman	5
7	oscminus	4
8	CLG_Kata	3
8	skroobiez	3
10	net_flex	2
10	Buuck_	2
12	k_ce	1
12	Mr_Byzantine	1
12	milltesco	1
